22195,22195d,22269,22269d,22322,22322d,22345,22345d,22423,22423d,22470,22470d,22530,22530d,22673,22673d,22740,22740d,22741,22741d,22748,22748d
86,317,,19,,,619,497,1523,1058,792,408,641,330,,,,,,,,
108,253,15,,542,429,,22,29,41,920,477,,,,,404,286,163,166,,
,22,,,21,,,,,,,,665,303,,,,,18,,,
,,111,122,,,,,,,,,,,,,,,,,46,75
126,467,521,694,,,,,,,751,479,,,,,,,,,,
15,46,,,,,,,657,391,,,,,,,,,,,,
,,452,402,,,,,,,,,,,775,268,,,,8,574,690
8,,,,,,,,,,,,,,,,,,,,9,
,,,,,,,,,,,,,,,,61,59,,,,
,,,,227,196,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,320,104,,,,,,
,,,,520,400,,,,,,,,,,,651,433,438,269,,10
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,40,81,,,,,,,,22,,
6,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,29,18,,,,,,,,,,,,
,,,,,,,,,,,,,,,,286,340,,,,
,,,,,,258,188,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,529,391,,21,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,232,223,,,,,,,,,,,,,,,,
,,,,,,,,34,21,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,38,67,,,,
