"INDIVIDUAL_ID","SPECIES","CLASS","HYBRID_ZONE","REFERENCE_SP","H_INDEX","GENETIC_SP","GENOME_WIDE","LOCALITY"
"16563","aegyptiaca","I","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",3.1e-05,"Bardawil"
"16564","aegyptiaca","I","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",3.2e-05,"Bardawil"
"16565","aegyptiaca","I","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",3.2e-05,"Bardawil"
"16566","aegyptiaca","I","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",3.2e-05,"Bardawil"
"16567","aegyptiaca","I","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",3.1e-05,"Bardawil"
"16568","aegyptiaca","I","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",3.2e-05,"Bardawil"
"16569","aegyptiaca","I","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",3.2e-05,"Bardawil"
"16570","aegyptiaca","I","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",3.2e-05,"Bardawil"
"16571","aegyptiaca","I","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",3e-05,"Bardawil"
"16572","aegyptiaca","I","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",3.3e-05,"Bardawil"
"16595","aegyptiaca","I","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",5.8e-05,"Tunis"
"16596","aegyptiaca","I","aegyptiaca_senegalensis","senegalensis",1,"SENEGALENSIS",5.2e-05,"Tunis"
"16597","aegyptiaca","I","aegyptiaca_senegalensis","senegalensis",0.724,"SENEGALENSIS",5.2e-05,"Tunis"
"16598","aegyptiaca","I","aegyptiaca_senegalensis","senegalensis",0.405,"SENEGALENSIS",5.2e-05,"Tunis"
"16599","aegyptiaca","I","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",4.6e-05,"Tunis"
"16600","aegyptiaca","I","aegyptiaca_senegalensis","senegalensis",0.405,"SENEGALENSIS",5.2e-05,"Tunis"
"16601","aegyptiaca","I","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",0.254482,"Tunis2"
"16602","aegyptiaca","I","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",3.1e-05,"Bardawil"
"16603","aegyptiaca","I","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",3.2e-05,"Bardawil"
"16604","aegyptiaca","I","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",3.2e-05,"Bardawil"
"16605","aegyptiaca","I","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",3.1e-05,"Bardawil"
"16606","aegyptiaca","I","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",3.1e-05,"Bardawil"
"16607","aegyptiaca","I","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",3.2e-05,"Bardawil"
"16608","aegyptiaca","I","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",3.1e-05,"Bardawil"
"16609","aegyptiaca","I","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",3.2e-05,"Bardawil"
"16627","aegyptiaca","I","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",8.3e-05,"Tunis2"
"16628","aegyptiaca","I","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",0.012327,"Tunis2"
"16629","aegyptiaca","I","aegyptiaca_senegalensis","senegalensis",0.195,"SENEGALENSIS",0.019853,"Tunis2"
"16630","aegyptiaca","I","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",4.3e-05,"Tunis2"
"16631","aegyptiaca","I","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",0.079399,"Tunis2"
"16632","aegyptiaca","I","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",4.5e-05,"Tunis2"
"16636","aegyptiaca","I","aegyptiaca_senegalensis","senegalensis",0.013,"SENEGALENSIS",0.003829,"Tunis2"
"16637","aegyptiaca","I","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",6.1e-05,"Tunis2"
"16638","aegyptiaca","I","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",0.012418,"Tunis2"
"16639","aegyptiaca","I","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",6.8e-05,"Tunis2"
"16640","aegyptiaca","I","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",0.010571,"Tunis2"
"16641","aegyptiaca","I","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",0.015247,"Tunis2"
"16642","aegyptiaca","I","aegyptiaca_senegalensis","senegalensis",0.202,"SENEGALENSIS",0.003422,"Tunis2"
"16643","aegyptiaca","I","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",0.018025,"Tunis2"
"16644","aegyptiaca","I","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",0.032689,"Tunis2"
"16645","aegyptiaca","I","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",0.101854,"Tunis2"
"16646","aegyptiaca","I","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",0.038633,"Tunis2"
"16647","aegyptiaca","I","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",0.231533,"Tunis2"
"16648","aegyptiaca","I","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",4.4e-05,"Tunis2"
"16671","aegyptiaca","I","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",3.6e-05,"Bahiret-el-Bibane"
"16672","aegyptiaca","I","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",3.5e-05,"Bahiret-el-Bibane"
"16673","aegyptiaca","I","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",3.5e-05,"Bahiret-el-Bibane"
"16674","aegyptiaca","I","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",3.4e-05,"Bahiret-el-Bibane"
"16675","aegyptiaca","I","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",3.5e-05,"Bahiret-el-Bibane"
"16676","aegyptiaca","I","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",3.7e-05,"Bahiret-el-Bibane"
"16677","aegyptiaca","I","aegyptiaca_senegalensis","senegalensis",0.002,"SENEGALENSIS",3.6e-05,"Chergui"
"16678","aegyptiaca","I","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",3.4e-05,"Chergui"
"16679","aegyptiaca","I","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",3.6e-05,"Chergui"
"16680","aegyptiaca","I","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",3.4e-05,"Chergui"
"16681","aegyptiaca","I","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",3.5e-05,"Chergui"
"16682","aegyptiaca","I","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",3.4e-05,"Chergui"
"16683","aegyptiaca","I","aegyptiaca_senegalensis","senegalensis",0,"SENEGALENSIS",3.4e-05,"Chergui"
