"INDIVIDUAL_ID","Q","CLASS","HYBRID_ZONE"
"16563","0","I","aegyptiaca_senegalensis"
"16564","0","I","aegyptiaca_senegalensis"
"16565","0","I","aegyptiaca_senegalensis"
"16566","0","I","aegyptiaca_senegalensis"
"16567","0","I","aegyptiaca_senegalensis"
"16568","0","I","aegyptiaca_senegalensis"
"16569","0","I","aegyptiaca_senegalensis"
"16570","0","I","aegyptiaca_senegalensis"
"16571","0","I","aegyptiaca_senegalensis"
"16572","0","I","aegyptiaca_senegalensis"
"16595","0","I","aegyptiaca_senegalensis"
"16596","0.086","I","aegyptiaca_senegalensis"
"16597","0.06","I","aegyptiaca_senegalensis"
"16598","0.085","I","aegyptiaca_senegalensis"
"16599","0","I","aegyptiaca_senegalensis"
"16600","0.059","I","aegyptiaca_senegalensis"
"16601","0","I","aegyptiaca_senegalensis"
"16602","0","I","aegyptiaca_senegalensis"
"16603","0","I","aegyptiaca_senegalensis"
"16604","0.001","I","aegyptiaca_senegalensis"
"16605","0","I","aegyptiaca_senegalensis"
"16606","0","I","aegyptiaca_senegalensis"
"16607","0","I","aegyptiaca_senegalensis"
"16608","0","I","aegyptiaca_senegalensis"
"16609","0","I","aegyptiaca_senegalensis"
"16627","0.001","I","aegyptiaca_senegalensis"
"16628","0","I","aegyptiaca_senegalensis"
"16629","0","I","aegyptiaca_senegalensis"
"16630","0","I","aegyptiaca_senegalensis"
"16631","0.001","I","aegyptiaca_senegalensis"
"16632","0.001","I","aegyptiaca_senegalensis"
"16636","0","I","aegyptiaca_senegalensis"
"16637","0","I","aegyptiaca_senegalensis"
"16638","0","I","aegyptiaca_senegalensis"
"16639","0","I","aegyptiaca_senegalensis"
"16640","0","I","aegyptiaca_senegalensis"
"16641","0.001","I","aegyptiaca_senegalensis"
"16642","0","I","aegyptiaca_senegalensis"
"16643","0.001","I","aegyptiaca_senegalensis"
"16644","0","I","aegyptiaca_senegalensis"
"16645","0","I","aegyptiaca_senegalensis"
"16646","0","I","aegyptiaca_senegalensis"
"16647","0","I","aegyptiaca_senegalensis"
"16648","0","I","aegyptiaca_senegalensis"
"16649","0.072","I","aegyptiaca_senegalensis"
"16671","0","I","aegyptiaca_senegalensis"
"16672","0","I","aegyptiaca_senegalensis"
"16673","0","I","aegyptiaca_senegalensis"
"16674","0","I","aegyptiaca_senegalensis"
"16675","0","I","aegyptiaca_senegalensis"
"16676","0","I","aegyptiaca_senegalensis"
"16677","0","I","aegyptiaca_senegalensis"
"16678","0","I","aegyptiaca_senegalensis"
"16679","0","I","aegyptiaca_senegalensis"
"16680","0","I","aegyptiaca_senegalensis"
"16681","0","I","aegyptiaca_senegalensis"
"16682","0.001","I","aegyptiaca_senegalensis"
"16683","0","I","aegyptiaca_senegalensis"
"16684","0.001","I","aegyptiaca_senegalensis"
"16685","0","I","aegyptiaca_senegalensis"
"16686","0","I","aegyptiaca_senegalensis"
"16687","0","I","aegyptiaca_senegalensis"
"16688","0","I","aegyptiaca_senegalensis"
"16689","0","I","aegyptiaca_senegalensis"
"16690","0","I","aegyptiaca_senegalensis"
"16709","0","I","aegyptiaca_senegalensis"
"16710","0","I","aegyptiaca_senegalensis"
"16712","0","I","aegyptiaca_senegalensis"
"16713","0","I","aegyptiaca_senegalensis"
"16714","0","I","aegyptiaca_senegalensis"
"16715","0.001","I","aegyptiaca_senegalensis"
"16716","0","I","aegyptiaca_senegalensis"
"16717","0.001","I","aegyptiaca_senegalensis"
"16718","0","I","aegyptiaca_senegalensis"
"16573","0","I","aegyptiaca_senegalensis"
"16574","0","I","aegyptiaca_senegalensis"
"16575","0","I","aegyptiaca_senegalensis"
"16576","0.067","I","aegyptiaca_senegalensis"
"16577","0","I","aegyptiaca_senegalensis"
"16578","0","I","aegyptiaca_senegalensis"
"16579","0","I","aegyptiaca_senegalensis"
"16580","0","I","aegyptiaca_senegalensis"
"16581","0","I","aegyptiaca_senegalensis"
"16583","0.001","I","aegyptiaca_senegalensis"
"16584","0","I","aegyptiaca_senegalensis"
"16585","0.001","I","aegyptiaca_senegalensis"
"16586","0.001","I","aegyptiaca_senegalensis"
"16587","0","I","aegyptiaca_senegalensis"
"16588","0.001","I","aegyptiaca_senegalensis"
"16589","0","I","aegyptiaca_senegalensis"
"16590","0","I","aegyptiaca_senegalensis"
"16611","0","I","aegyptiaca_senegalensis"
"16612","0.004","I","aegyptiaca_senegalensis"
"16613","0","I","aegyptiaca_senegalensis"
"16614","0.004","I","aegyptiaca_senegalensis"
"16617","0.001","I","aegyptiaca_senegalensis"
"16622","0","I","aegyptiaca_senegalensis"
"16626","0","I","aegyptiaca_senegalensis"
"16652","0","I","aegyptiaca_senegalensis"
"16653","0","I","aegyptiaca_senegalensis"
"16657","0","I","aegyptiaca_senegalensis"
"16721","0.001","I","aegyptiaca_senegalensis"
"16724","0","I","aegyptiaca_senegalensis"
"16725","0","I","aegyptiaca_senegalensis"
"16726","0","I","aegyptiaca_senegalensis"
"16727","0","I","aegyptiaca_senegalensis"
"16728","0","I","aegyptiaca_senegalensis"
"16729","0.001","I","aegyptiaca_senegalensis"
"16730","0","I","aegyptiaca_senegalensis"
"16731","0","I","aegyptiaca_senegalensis"
"16732","0","I","aegyptiaca_senegalensis"
"16733","0","I","aegyptiaca_senegalensis"
"16734","0","I","aegyptiaca_senegalensis"
"16735","0","I","aegyptiaca_senegalensis"
"16736","0","I","aegyptiaca_senegalensis"
"16737","0","I","aegyptiaca_senegalensis"
"16659","0","I","aegyptiaca_senegalensis"
"16660","0.001","I","aegyptiaca_senegalensis"
"16661","0","I","aegyptiaca_senegalensis"
"16662","0","I","aegyptiaca_senegalensis"
"16663","0","I","aegyptiaca_senegalensis"
"16664","0","I","aegyptiaca_senegalensis"
"16665","0","I","aegyptiaca_senegalensis"
"16666","0","I","aegyptiaca_senegalensis"
"16667","0","I","aegyptiaca_senegalensis"
"16669","0","I","aegyptiaca_senegalensis"
"16670","0","I","aegyptiaca_senegalensis"
"16691","0","I","aegyptiaca_senegalensis"
"16692","0","I","aegyptiaca_senegalensis"
"16693","0","I","aegyptiaca_senegalensis"
"16694","0","I","aegyptiaca_senegalensis"
"16695","0","I","aegyptiaca_senegalensis"
"16696","0","I","aegyptiaca_senegalensis"
"16697","0.001","I","aegyptiaca_senegalensis"
"16698","0","I","aegyptiaca_senegalensis"
"16699","0.032","I","aegyptiaca_senegalensis"
"16700","0","I","aegyptiaca_senegalensis"
"16701","0","I","aegyptiaca_senegalensis"
"16702","0","I","aegyptiaca_senegalensis"
"16703","0","I","aegyptiaca_senegalensis"
"16704","0","I","aegyptiaca_senegalensis"
"16705","0","I","aegyptiaca_senegalensis"
"16706","0","I","aegyptiaca_senegalensis"
"16707","0","I","aegyptiaca_senegalensis"
"16708","0","I","aegyptiaca_senegalensis"
"16563","0.029","II","aegyptiaca_senegalensis"
"16564","0.158","II","aegyptiaca_senegalensis"
"16565","0.307","II","aegyptiaca_senegalensis"
"16566","0.020","II","aegyptiaca_senegalensis"
"16567","0.122","II","aegyptiaca_senegalensis"
"16568","0.021","II","aegyptiaca_senegalensis"
"16569","0.062","II","aegyptiaca_senegalensis"
"16570","0.371","II","aegyptiaca_senegalensis"
"16571","0.024","II","aegyptiaca_senegalensis"
"16572","0.034","II","aegyptiaca_senegalensis"
