FID,ID,TRANSECT,DISTANCE
"1","1",A,0
"2","1",A,100
"3","1",A,200
"4","1",A,300
"5","1",A,400
"6","1",A,500
"7","1",A,600
"8","1",A,700
"9","1",A,800
"10","1",A,900
"11","1",A,1000
"12","1",A,1100
"13","1",A,1200
"14","1",A,1300
"15","1",A,1400
"16","1",A,1500
"17","1",A,1600
"18","1",A,1700
"19","1",A,1800
"20","1",A,1900
"21","1",A,2000
"22","1",A,2100
"23","1",A,2200
"24","1",A,2300
"25","1",A,2400
"26","1",A,2500
"27","1",A,2600
"28","1",A,2700
"29","1",A,2800
"30","1",A,2900
"31","1",A,3000
"32","1",A,3100
"33","1",A,3200
"34","1",A,3300
"35","1",A,3400
"36","1",A,3500
"37","1",A,3600
"38","1",A,3700
"39","1",A,3800
"40","1",A,3900
"41","1",A,4000
"42","1",A,4100
"43","1",A,4200
"44","1",A,4300
"45","1",A,4400
"46","1",A,4500
"47","1",A,4600
"48","1",A,4700
"49","1",A,4800
"50","1",A,4900
"51","1",A,5000
"52","1",A,5100
"53","1",A,5200
"54","1",A,5300
"55","1",A,5400
"56","1",A,5500
"57","1",A,5600
"58","1",A,5700
"59","1",A,5800
"60","1",A,5900
"61","1",A,6000
"62","1",A,6100
"63","1",A,6200
"64","1",A,6300
"65","1",A,6400
"66","1",A,6500
"67","1",A,6600
"68","1",A,6700
"69","1",A,6800
"70","1",A,6900
"71","1",A,7000
"72","1",A,7100
"73","1",A,7200
"74","1",A,7300
"75","1",A,7400
"76","1",A,7500
"77","1",A,7600
"78","1",A,7700
"79","1",A,7800
"80","1",A,7900
"81","1",A,8000
"82","1",A,8100
"83","1",A,8200
"84","1",A,8300
"85","1",A,8400
"86","1",A,8500
"87","1",A,8600
"88","1",A,8700
"89","1",A,8800
"90","1",A,8900
"91","1",A,9000
"92","1",A,9100
"93","1",A,9200
"94","1",A,9300
"95","1",A,9400
"96","1",A,9500
"97","1",A,9600
"98","1",A,9700
"99","1",A,9800
"100","1",A,9900
"101","1",A,10000
"102","1",A,10100
"103","1",A,10200
"104","1",A,10300
"105","1",A,10400
"106","1",A,10500
"107","1",A,10600
"108","1",A,10700
"109","1",A,10800
"110","1",A,10900
"111","1",A,11000
"112","1",A,11100
"113","1",A,11200
"114","1",A,11300
"115","1",A,11400
"116","1",A,11500
"117","1",A,11600
"118","1",A,11700
"119","1",A,11800
"120","1",A,11900
"121","1",A,12000
"122","1",A,12100
"123","1",A,12200
"124","1",A,12300
"125","1",A,12400
"126","1",A,12500
"127","1",A,12600
"128","1",A,12700
"129","1",A,12800
"130","1",A,12900
"131","1",A,13000
"132","1",A,13100
"133","1",A,13200
"134","1",A,13300
"135","1",A,13400
"136","1",A,13500
"137","1",A,13600
"138","1",A,13700
"139","1",A,13800
"140","1",A,13900
"141","1",A,14000
"142","1",A,14100
"143","1",A,14200
"144","1",A,14300
"145","1",A,14400
"146","1",A,14500
"147","1",A,14600
"148","1",A,14700
"149","1",A,14800
"150","1",A,14900
"151","1",A,15000
"152","1",A,15100
"153","1",A,15200
"154","1",A,15300
"155","1",A,15400
"156","1",A,15500
"157","1",A,15600
"158","1",A,15700
"159","1",A,15800
"160","1",A,15900
"161","1",A,16000
"162","1",A,16100
"163","1",A,16200
"164","1",A,16300
"165","1",A,16400
