"INDIVIDUAL_ID","HYBRID_ZONE","TYPE"
"16563","aegyptiaca_senegalensis","allo"
"16564","aegyptiaca_senegalensis","allo"
"16565","aegyptiaca_senegalensis","allo"
"16566","aegyptiaca_senegalensis","allo"
"16567","aegyptiaca_senegalensis","allo"
"16568","aegyptiaca_senegalensis","allo"
"16569","aegyptiaca_senegalensis","allo"
"16570","aegyptiaca_senegalensis","allo"
"16571","aegyptiaca_senegalensis","allo"
"16572","aegyptiaca_senegalensis","allo"
"16602","aegyptiaca_senegalensis","allo"
"16603","aegyptiaca_senegalensis","allo"
"16604","aegyptiaca_senegalensis","allo"
"16605","aegyptiaca_senegalensis","allo"
"16606","aegyptiaca_senegalensis","allo"
"16607","aegyptiaca_senegalensis","allo"
"16608","aegyptiaca_senegalensis","allo"
"16609","aegyptiaca_senegalensis","allo"
"16649","aegyptiaca_senegalensis","allo"
"16671","aegyptiaca_senegalensis","allo"
"16672","aegyptiaca_senegalensis","allo"
"16673","aegyptiaca_senegalensis","allo"
"16674","aegyptiaca_senegalensis","allo"
"16675","aegyptiaca_senegalensis","allo"
"16676","aegyptiaca_senegalensis","allo"
"16709","aegyptiaca_senegalensis","allo"
"16710","aegyptiaca_senegalensis","allo"
"16712","aegyptiaca_senegalensis","allo"
"16713","aegyptiaca_senegalensis","allo"
"16714","aegyptiaca_senegalensis","allo"
"16715","aegyptiaca_senegalensis","allo"
"16716","aegyptiaca_senegalensis","allo"
"16717","aegyptiaca_senegalensis","allo"
"16718","aegyptiaca_senegalensis","allo"
"16581","aegyptiaca_senegalensis","allo"
"16583","aegyptiaca_senegalensis","allo"
"16584","aegyptiaca_senegalensis","allo"
"16585","aegyptiaca_senegalensis","allo"
"16586","aegyptiaca_senegalensis","allo"
"16612","aegyptiaca_senegalensis","allo"
"16613","aegyptiaca_senegalensis","allo"
"16614","aegyptiaca_senegalensis","allo"
"16721","aegyptiaca_senegalensis","allo"
"16595","aegyptiaca_senegalensis","para"
"16596","aegyptiaca_senegalensis","para"
"16597","aegyptiaca_senegalensis","para"
"16598","aegyptiaca_senegalensis","para"
"16599","aegyptiaca_senegalensis","para"
"16600","aegyptiaca_senegalensis","para"
"16677","aegyptiaca_senegalensis","para"
"16678","aegyptiaca_senegalensis","para"
"16679","aegyptiaca_senegalensis","para"
"16680","aegyptiaca_senegalensis","para"
"16681","aegyptiaca_senegalensis","para"
"16682","aegyptiaca_senegalensis","para"
"16683","aegyptiaca_senegalensis","para"
"16684","aegyptiaca_senegalensis","para"
"16685","aegyptiaca_senegalensis","para"
"16686","aegyptiaca_senegalensis","para"
"16687","aegyptiaca_senegalensis","para"
"16688","aegyptiaca_senegalensis","para"
"16689","aegyptiaca_senegalensis","para"
"16690","aegyptiaca_senegalensis","para"
"16573","aegyptiaca_senegalensis","para"
"16574","aegyptiaca_senegalensis","para"
"16575","aegyptiaca_senegalensis","para"
"16576","aegyptiaca_senegalensis","para"
"16577","aegyptiaca_senegalensis","para"
"16578","aegyptiaca_senegalensis","para"
"16579","aegyptiaca_senegalensis","para"
"16580","aegyptiaca_senegalensis","para"
"16611","aegyptiaca_senegalensis","para"
