"INDIVIDUAL_ID","MARKER","BOMBINA","VARIEGATA","SPECIES","CLEAR","HYBRID_ZONE"
"22577","653_SNP",0.01,0.99,"variegata",TRUE,"bombina_variegata"
"22578","653_SNP",0.016,0.984,"variegata",TRUE,"bombina_variegata"
"22579","653_SNP",0.005,0.995,"variegata",TRUE,"bombina_variegata"
"22580","653_SNP",0.004,0.996,"variegata",TRUE,"bombina_variegata"
"22581","653_SNP",0.004,0.996,"variegata",TRUE,"bombina_variegata"
"22582","653_SNP",0.014,0.986,"variegata",TRUE,"bombina_variegata"
"22583","653_SNP",0.011,0.989,"variegata",TRUE,"bombina_variegata"
"22589","inferred",0.00914285714285714,0.990857142857143,"variegata",TRUE,"bombina_variegata"
"22592","inferred",0.00914285714285714,0.990857142857143,"variegata",TRUE,"bombina_variegata"
"22603","inferred",0.00914285714285714,0.990857142857143,"variegata",TRUE,"bombina_variegata"
"22623","inferred",0.00914285714285714,0.990857142857143,"variegata",TRUE,"bombina_variegata"
"22254","inferred",0,1,"variegata",TRUE,"bombina_variegata"
"22255","inferred",0,1,"variegata",TRUE,"bombina_variegata"
"22256","inferred",0,1,"variegata",TRUE,"bombina_variegata"
"22258","inferred",0,1,"variegata",TRUE,"bombina_variegata"
"22259","inferred",0,1,"variegata",TRUE,"bombina_variegata"
"22763","inferred",0,1,"variegata",TRUE,"bombina_variegata"
"22457","inferred",1,0,"bombina",TRUE,"bombina_variegata"
"22458","inferred",1,0,"bombina",TRUE,"bombina_variegata"
"22463","inferred",1,0,"bombina",TRUE,"bombina_variegata"
"22470","inferred",1,0,"bombina",TRUE,"bombina_variegata"
"22471","inferred",1,0,"bombina",TRUE,"bombina_variegata"
"22286","1883_SNP",0.027,0.973,"variegata",TRUE,"bombina_variegata"
"22287","1883_SNP",0.027,0.973,"variegata",TRUE,"bombina_variegata"
"22288","1883_SNP",0.025,0.975,"variegata",TRUE,"bombina_variegata"
"22289","1883_SNP",0.022,0.978,"variegata",TRUE,"bombina_variegata"
"22290","1883_SNP",0.032,0.968,"variegata",FALSE,"bombina_variegata"
"22291","1883_SNP",0.015,0.985,"variegata",TRUE,"bombina_variegata"
"22292","1883_SNP",0.028,0.972,"variegata",TRUE,"bombina_variegata"
"22293","1883_SNP",0.062,0.938,"variegata",FALSE,"bombina_variegata"
"22294","1883_SNP",0.02,0.98,"variegata",TRUE,"bombina_variegata"
"22295","1883_SNP",0.021,0.979,"variegata",TRUE,"bombina_variegata"
"22296","1883_SNP",0.027,0.973,"variegata",TRUE,"bombina_variegata"
"22297","1883_SNP",0.024,0.976,"variegata",TRUE,"bombina_variegata"
"22298","1883_SNP",0.01,0.99,"variegata",TRUE,"bombina_variegata"
"22301","1883_SNP",0.032,0.968,"variegata",FALSE,"bombina_variegata"
"22302","1883_SNP",0.023,0.977,"variegata",TRUE,"bombina_variegata"
"22303","1883_SNP",0.031,0.969,"variegata",FALSE,"bombina_variegata"
"22304","1883_SNP",0.015,0.985,"variegata",TRUE,"bombina_variegata"
"22306","1883_SNP",0.036,0.964,"variegata",FALSE,"bombina_variegata"
"22307","1883_SNP",0.027,0.973,"variegata",TRUE,"bombina_variegata"
"22308","1883_SNP",0.037,0.963,"variegata",FALSE,"bombina_variegata"
"22309","1883_SNP",0.015,0.985,"variegata",TRUE,"bombina_variegata"
"22310","inferred",0.0255,0.9745,"variegata",TRUE,"bombina_variegata"
"22311","1883_SNP",0.023,0.977,"variegata",TRUE,"bombina_variegata"
"22323","1883_SNP",0.063,0.937,"variegata",FALSE,"bombina_variegata"
"22324","1883_SNP",0.067,0.933,"variegata",FALSE,"bombina_variegata"
"22325","1883_SNP",0.104,0.896,"variegata",FALSE,"bombina_variegata"
"22326","1883_SNP",0.069,0.931,"variegata",FALSE,"bombina_variegata"
"22328","1883_SNP",0.053,0.947,"variegata",FALSE,"bombina_variegata"
"22329","1883_SNP",0.082,0.918,"variegata",FALSE,"bombina_variegata"
