"INDIVIDUAL_ID","ORBICULARIS","OCCIDENTALIS","TRINACRIS","MARKER","SPECIES","CLEAR","HYBRID_ZONE"
"x1",0,1,0,"15 microsatellite loci","occidentalis",TRUE,"occidentalis_orbicularis"
"x2",0,1,0,"15 microsatellite loci","occidentalis",TRUE,"occidentalis_orbicularis"
"x3",0.01,0.99,0,"15 microsatellite loci","occidentalis",TRUE,"occidentalis_orbicularis"
"x4",0.01,0.99,0,"15 microsatellite loci","occidentalis",TRUE,"occidentalis_orbicularis"
"x5",0.01,0.99,0,"15 microsatellite loci","occidentalis",TRUE,"occidentalis_orbicularis"
"x6",0.01,1,0,"15 microsatellite loci","occidentalis",TRUE,"occidentalis_orbicularis"
"x7",0,1,0,"15 microsatellite loci","occidentalis",TRUE,"occidentalis_orbicularis"
"x8",0.01,0.99,0,"15 microsatellite loci","occidentalis",TRUE,"occidentalis_orbicularis"
"x9",0.04,0.96,0,"15 microsatellite loci","occidentalis",FALSE,"occidentalis_orbicularis"
"x10",0,1,0,"15 microsatellite loci","occidentalis",TRUE,"occidentalis_orbicularis"
"x11",0.01,0.99,0,"15 microsatellite loci","occidentalis",TRUE,"occidentalis_orbicularis"
"x12",0,1,0,"15 microsatellite loci","occidentalis",TRUE,"occidentalis_orbicularis"
"x13",0.04,0.96,0,"15 microsatellite loci","occidentalis",FALSE,"occidentalis_orbicularis"
"x14",0.01,1,0,"15 microsatellite loci","occidentalis",TRUE,"occidentalis_orbicularis"
"x15",0,1,0,"15 microsatellite loci","occidentalis",TRUE,"occidentalis_orbicularis"
"x16",0.09,0.91,0,"15 microsatellite loci","occidentalis",FALSE,"occidentalis_orbicularis"
"x17",0.01,0.99,0,"15 microsatellite loci","occidentalis",TRUE,"occidentalis_orbicularis"
"x18",0,1,0,"15 microsatellite loci","occidentalis",TRUE,"occidentalis_orbicularis"
"x19",0.02,0.98,0,"15 microsatellite loci","occidentalis",TRUE,"occidentalis_orbicularis"
"x20",0.01,0.99,0,"15 microsatellite loci","occidentalis",TRUE,"occidentalis_orbicularis"
"x21",0,1,0,"15 microsatellite loci","occidentalis",TRUE,"occidentalis_orbicularis"
"x22",0.04,0.96,0,"15 microsatellite loci","occidentalis",FALSE,"occidentalis_orbicularis"
"x23",0.01,0.99,0,"15 microsatellite loci","occidentalis",TRUE,"occidentalis_orbicularis"
"x24",0.01,0.99,0,"15 microsatellite loci","occidentalis",TRUE,"occidentalis_orbicularis"
"x25",0.02,0.98,0,"15 microsatellite loci","occidentalis",TRUE,"occidentalis_orbicularis"
"16252",0.01,0.99,0,"15 microsatellite loci","occidentalis",TRUE,"occidentalis_orbicularis"
"16253",0.02,0.98,0,"15 microsatellite loci","occidentalis",TRUE,"occidentalis_orbicularis"
"16254",0,1,0,"15 microsatellite loci","occidentalis",TRUE,"occidentalis_orbicularis"
"16255",0,1,0,"15 microsatellite loci","occidentalis",TRUE,"occidentalis_orbicularis"
"16256",0,1,0,"15 microsatellite loci","occidentalis",TRUE,"occidentalis_orbicularis"
"16257",0,1,0,"15 microsatellite loci","occidentalis",TRUE,"occidentalis_orbicularis"
"16258",0.01,0.99,0,"15 microsatellite loci","occidentalis",TRUE,"occidentalis_orbicularis"
"16259",0,1,0,"15 microsatellite loci","occidentalis",TRUE,"occidentalis_orbicularis"
"16260",0,1,0,"15 microsatellite loci","occidentalis",TRUE,"occidentalis_orbicularis"
"16261",0,1,0,"15 microsatellite loci","occidentalis",TRUE,"occidentalis_orbicularis"
"x26",0.01,0.99,0,"15 microsatellite loci","occidentalis",TRUE,"occidentalis_orbicularis"
"x27",0,1,0,"15 microsatellite loci","occidentalis",TRUE,"occidentalis_orbicularis"
"x28",0,1,0,"15 microsatellite loci","occidentalis",TRUE,"occidentalis_orbicularis"
"x29",0,1,0,"15 microsatellite loci","occidentalis",TRUE,"occidentalis_orbicularis"
"x30",0,1,0,"15 microsatellite loci","occidentalis",TRUE,"occidentalis_orbicularis"
"x31",0.01,1,0,"15 microsatellite loci","occidentalis",TRUE,"occidentalis_orbicularis"
"x32",0.01,0.99,0,"15 microsatellite loci","occidentalis",TRUE,"occidentalis_orbicularis"
"x33",0.01,0.99,0,"15 microsatellite loci","occidentalis",TRUE,"occidentalis_orbicularis"
"x34",0,1,0,"15 microsatellite loci","occidentalis",TRUE,"occidentalis_orbicularis"
"x35",0.01,0.99,0,"15 microsatellite loci","occidentalis",TRUE,"occidentalis_orbicularis"
"x36",0.01,1,0,"15 microsatellite loci","occidentalis",TRUE,"occidentalis_orbicularis"
"x37",0.01,0.99,0,"15 microsatellite loci","occidentalis",TRUE,"occidentalis_orbicularis"
"x38",0,1,0,"15 microsatellite loci","occidentalis",TRUE,"occidentalis_orbicularis"
"x39",0.01,0.99,0,"15 microsatellite loci","occidentalis",TRUE,"occidentalis_orbicularis"
"x40",0.01,0.99,0,"15 microsatellite loci","occidentalis",TRUE,"occidentalis_orbicularis"
"x41",0,1,0,"15 microsatellite loci","occidentalis",TRUE,"occidentalis_orbicularis"
"x42",0.01,0.99,0,"15 microsatellite loci","occidentalis",TRUE,"occidentalis_orbicularis"
"x43",0,1,0,"15 microsatellite loci","occidentalis",TRUE,"occidentalis_orbicularis"
"x44",0.14,0.86,0,"15 microsatellite loci","occidentalis",FALSE,"occidentalis_orbicularis"
"x45",0.01,1,0,"15 microsatellite loci","occidentalis",TRUE,"occidentalis_orbicularis"
"x46",0.01,0.99,0,"15 microsatellite loci","occidentalis",TRUE,"occidentalis_orbicularis"
"x47",0,1,0,"15 microsatellite loci","occidentalis",TRUE,"occidentalis_orbicularis"
"x48",0.02,0.98,0,"15 microsatellite loci","occidentalis",TRUE,"occidentalis_orbicularis"
"x49",0.02,0.98,0,"15 microsatellite loci","occidentalis",TRUE,"occidentalis_orbicularis"
"16272",0.01,0.99,0,"15 microsatellite loci","occidentalis",TRUE,"occidentalis_orbicularis"
"16273",0,1,0,"15 microsatellite loci","occidentalis",TRUE,"occidentalis_orbicularis"
"x50",0,1,0,"15 microsatellite loci","occidentalis",TRUE,"occidentalis_orbicularis"
"16275",0.01,0.99,0,"15 microsatellite loci","occidentalis",TRUE,"occidentalis_orbicularis"
"x51",0,1,0,"15 microsatellite loci","occidentalis",TRUE,"occidentalis_orbicularis"
"x52",0.01,1,0,"15 microsatellite loci","occidentalis",TRUE,"occidentalis_orbicularis"
"x53",0.01,0.99,0,"15 microsatellite loci","occidentalis",TRUE,"occidentalis_orbicularis"
"16279",0.01,0.99,0,"15 microsatellite loci","occidentalis",TRUE,"occidentalis_orbicularis"
