"INDIVIDUAL_ID","MONTANDONI","VULGARIS","MARKER","SPECIES","CLEAR","HYBRID_ZONE"
"10000",0.002618,0.997382,"2849 SNP","vulgaris",TRUE,"montandoni_vulgaris"
"10001",0.002628,0.997372,"2849 SNP","vulgaris",TRUE,"montandoni_vulgaris"
"10002",1e-05,0.99999,"2849 SNP","vulgaris",TRUE,"montandoni_vulgaris"
"10003",1e-05,0.99999,"2849 SNP","vulgaris",TRUE,"montandoni_vulgaris"
"10004",0.008149,0.991851,"2849 SNP","vulgaris",TRUE,"montandoni_vulgaris"
"10005",1e-05,0.99999,"2849 SNP","vulgaris",TRUE,"montandoni_vulgaris"
"10006",1e-05,0.99999,"2849 SNP","vulgaris",TRUE,"montandoni_vulgaris"
"10007",1e-05,0.99999,"2849 SNP","vulgaris",TRUE,"montandoni_vulgaris"
"10008",1e-05,0.99999,"2849 SNP","vulgaris",TRUE,"montandoni_vulgaris"
"10009",1e-05,0.99999,"2849 SNP","vulgaris",TRUE,"montandoni_vulgaris"
"10011",1e-05,0.99999,"2849 SNP","vulgaris",TRUE,"montandoni_vulgaris"
"10012",1e-05,0.99999,"2849 SNP","vulgaris",TRUE,"montandoni_vulgaris"
"10013",1e-05,0.99999,"2849 SNP","vulgaris",TRUE,"montandoni_vulgaris"
"10014",1e-05,0.99999,"2849 SNP","vulgaris",TRUE,"montandoni_vulgaris"
"10015",1e-05,0.99999,"2849 SNP","vulgaris",TRUE,"montandoni_vulgaris"
"10016",1e-05,0.99999,"2849 SNP","vulgaris",TRUE,"montandoni_vulgaris"
"10017",1e-05,0.99999,"2849 SNP","vulgaris",TRUE,"montandoni_vulgaris"
"10018",1e-05,0.99999,"2849 SNP","vulgaris",TRUE,"montandoni_vulgaris"
"10019",1e-05,0.99999,"2849 SNP","vulgaris",TRUE,"montandoni_vulgaris"
"10020",1e-05,0.99999,"2849 SNP","vulgaris",TRUE,"montandoni_vulgaris"
"10021",1e-05,0.99999,"2849 SNP","vulgaris",TRUE,"montandoni_vulgaris"
"10022",0.003627,0.996373,"2849 SNP","vulgaris",TRUE,"montandoni_vulgaris"
"10023",1e-05,0.99999,"2849 SNP","vulgaris",TRUE,"montandoni_vulgaris"
"10024",0.014115,0.985885,"2849 SNP","vulgaris",TRUE,"montandoni_vulgaris"
"10025",1e-05,0.99999,"2849 SNP","vulgaris",TRUE,"montandoni_vulgaris"
