"INDIVIDUAL_ID","MARKER","ASTREPTOPHORA","HELVETICA","NATRIX","CLEAR","SPECIES","HYBRID_ZONE"
"21651","13 microsatellite loci",0,0,1,TRUE,"natrix","all_together"
"21652","13 microsatellite loci",0,0,1,TRUE,"natrix","all_together"
"21653","13 microsatellite loci",0,0,1,TRUE,"natrix","all_together"
"21654","13 microsatellite loci",0,0,1,TRUE,"natrix","all_together"
"21655","13 microsatellite loci",0,0.02,0.98,TRUE,"natrix","all_together"
"21656","13 microsatellite loci",0,0,1,TRUE,"natrix","all_together"
"21657","13 microsatellite loci",0,0,1,TRUE,"natrix","all_together"
"21658","13 microsatellite loci",0,0.01,0.99,TRUE,"natrix","all_together"
"21659","13 microsatellite loci",0,0,1,TRUE,"natrix","all_together"
"21660","13 microsatellite loci",0,0,1,TRUE,"natrix","all_together"
"21661","13 microsatellite loci",0,0,1,TRUE,"natrix","all_together"
"21662","13 microsatellite loci",0,0.007,0.993,TRUE,"natrix","all_together"
"21663","13 microsatellite loci",0,0.006,0.994,TRUE,"natrix","all_together"
"21664","13 microsatellite loci",0,0.007,0.993,TRUE,"natrix","all_together"
"21665","13 microsatellite loci",0,0,1,TRUE,"natrix","all_together"
"21666","13 microsatellite loci",0,0,1,TRUE,"natrix","all_together"
"21667","13 microsatellite loci",0.00397219463753724,0.98609731876862,0.0099304865938431,TRUE,"helvetica","all_together"
"21668","13 microsatellite loci",0.00891530460624071,0.981178801386825,0.00990589400693413,TRUE,"helvetica","all_together"
"21669","13 microsatellite loci",0.0158730158730159,0.984126984126984,0,TRUE,"helvetica","all_together"
"21670","13 microsatellite loci",0,0.34,0.66,FALSE,"natrix","all_together"
"21671","13 microsatellite loci",0,0.153,0.847,FALSE,"natrix","all_together"
"21672","13 microsatellite loci",0,0.1,0.9,FALSE,"natrix","all_together"
"21673","13 microsatellite loci",0,0.307,0.693,FALSE,"natrix","all_together"
"21674","13 microsatellite loci",0,0.01,0.99,TRUE,"natrix","all_together"
"21675","13 microsatellite loci",0.00592885375494071,0.976284584980237,0.0177865612648221,TRUE,"helvetica","all_together"
"21676","13 microsatellite loci",0.00298507462686567,0.990049751243781,0.00696517412935323,TRUE,"helvetica","all_together"
"21677","13 microsatellite loci",0,0.174,0.826,FALSE,"natrix","all_together"
"21678","13 microsatellite loci",0.00287081339712919,0.913875598086124,0.0832535885167464,FALSE,"helvetica","all_together"
"21679","13 microsatellite loci",0.0255528255528256,0.965601965601966,0.00884520884520885,FALSE,"helvetica","all_together"
"21680","13 microsatellite loci",0.0148883374689826,0.985111662531017,0,TRUE,"helvetica","all_together"
"21681","13 microsatellite loci",0,0.73,0.27,FALSE,"helvetica","all_together"
"21682","13 microsatellite loci",0,0.096,0.904,FALSE,"natrix","all_together"
"21683","13 microsatellite loci",0,0.18,0.82,FALSE,"natrix","all_together"
"21684","13 microsatellite loci",0.00794438927507448,0.98609731876862,0.00595829195630586,TRUE,"helvetica","all_together"
"21685","13 microsatellite loci",0.00595238095238095,0.984126984126984,0.00992063492063492,TRUE,"helvetica","all_together"
"21686","13 microsatellite loci",0.0237154150197628,0.976284584980237,0,TRUE,"helvetica","all_together"
"21687","13 microsatellite loci",0,0.008,0.992,TRUE,"natrix","all_together"
"21688","13 microsatellite loci",0,0.015,0.985,TRUE,"natrix","all_together"
"21689","13 microsatellite loci",0,0.18,0.82,FALSE,"natrix","all_together"
"21690","13 microsatellite loci",0,0.388,0.612,FALSE,"natrix","all_together"
"21691","13 microsatellite loci",0,0.099,0.901,FALSE,"natrix","all_together"
"21692","13 microsatellite loci",0,0.034,0.966,FALSE,"natrix","all_together"
"21693","13 microsatellite loci",0,0.029,0.971,TRUE,"natrix","all_together"
"21694","13 microsatellite loci",0,0.39,0.61,FALSE,"natrix","all_together"
"21695","13 microsatellite loci",0,0.016,0.984,TRUE,"natrix","all_together"
"21696","13 microsatellite loci",0,0,1,TRUE,"natrix","all_together"
"21697","13 microsatellite loci",0,0.01,0.99,TRUE,"natrix","all_together"
"21698","13 microsatellite loci",0,0,1,TRUE,"natrix","all_together"
"21699","13 microsatellite loci",0,0.007,0.993,TRUE,"natrix","all_together"
"21700","13 microsatellite loci",0,0.005,0.995,TRUE,"natrix","all_together"
"21701","13 microsatellite loci",0,0,1,TRUE,"natrix","all_together"
"21702","13 microsatellite loci",0,0.006,0.994,TRUE,"natrix","all_together"
"21703","13 microsatellite loci",0,0,1,TRUE,"natrix","all_together"
"21704","13 microsatellite loci",0,0.006,0.994,TRUE,"natrix","all_together"
"21705","13 microsatellite loci",0,0.006,0.994,TRUE,"natrix","all_together"
"21706","13 microsatellite loci",0,0,1,TRUE,"natrix","all_together"
"21707","13 microsatellite loci",0,0.007,0.993,TRUE,"natrix","all_together"
"21708","13 microsatellite loci",0,0.04,0.96,FALSE,"natrix","all_together"
"21709","13 microsatellite loci",0,0.006,0.994,TRUE,"natrix","all_together"
"21710","13 microsatellite loci",0,0,1,TRUE,"natrix","all_together"
