INDIVIDUAL_ID,MARKER,BOCAGEI,CARBONELLI,GUADARRAMAE,HISPANICUS,LIOLEPIS,VAUCHERI,VIRESCENS,SPECIES,CLEAR,HYBRID_ZONE
17332,6905 SNPs,1,0,0,0,0,0,0,bocagei,TRUE,all_together
17333,6905 SNPs,1,0,0,0,0,0,0,bocagei,TRUE,all_together
17334,6905 SNPs,1,0,0,0,0,0,0,bocagei,TRUE,all_together
17335,6905 SNPs,1,0,0,0,0,0,0,bocagei,TRUE,all_together
17336,6905 SNPs,1,0,0,0,0,0,0,bocagei,TRUE,all_together
17337,6905 SNPs,1,0,0,0,0,0,0,bocagei,TRUE,all_together
17338,6905 SNPs,0.998,0.002,0,0,0,0,0,bocagei,TRUE,all_together
17339,6905 SNPs,1,0,0,0,0,0,0,bocagei,TRUE,all_together
17340,6905 SNPs,1,0,0,0,0,0,0,bocagei,TRUE,all_together
17341,6905 SNPs,1,0,0,0,0,0,0,bocagei,TRUE,all_together
17342,inferred_allopatric,1,0,0,0,0,0,0,bocagei,TRUE,all_together
17343,6905 SNPs,1,0,0,0,0,0,0,bocagei,TRUE,all_together
17344,6905 SNPs,1,0,0,0,0,0,0,bocagei,TRUE,all_together
17345,6905 SNPs,1,0,0,0,0,0,0,bocagei,TRUE,all_together
17346,6905 SNPs,1,0,0,0,0,0,0,bocagei,TRUE,all_together
17347,6905 SNPs,0.999,0.001,0,0,0,0,0,bocagei,TRUE,all_together
17349,inferred_allopatric,1,0,0,0,0,0,0,bocagei,TRUE,all_together
17350,6905 SNPs,1,0,0,0,0,0,0,bocagei,TRUE,all_together
17351,6905 SNPs,1,0,0,0,0,0,0,bocagei,TRUE,all_together
17352,6905 SNPs,0.999,0.001,0,0,0,0,0,bocagei,TRUE,all_together
17353,6905 SNPs,1,0,0,0,0,0,0,bocagei,TRUE,all_together
17354,6905 SNPs,1,0,0,0,0,0,0,bocagei,TRUE,all_together
17355,6905 SNPs,1,0,0,0,0,0,0,bocagei,TRUE,all_together
17356,6905 SNPs,1,0,0,0,0,0,0,bocagei,TRUE,all_together
17357,6905 SNPs,1,0,0,0,0,0,0,bocagei,TRUE,all_together
17358,6905 SNPs,1,0,0,0,0,0,0,bocagei,TRUE,all_together
17359,6905 SNPs,1,0,0,0,0,0,0,bocagei,TRUE,all_together
17360,6905 SNPs,0.998,0.002,0,0,0,0,0,bocagei,TRUE,all_together
17361,6905 SNPs,0.998,0.002,0,0,0,0,0,bocagei,TRUE,all_together
17362,6905 SNPs,1,0,0,0,0,0,0,bocagei,TRUE,all_together
17363,6905 SNPs,1,0,0,0,0,0,0,bocagei,TRUE,all_together
17364,6905 SNPs,1,0,0,0,0,0,0,bocagei,TRUE,all_together
17365,6905 SNPs,0.999,0.001,0,0,0,0,0,bocagei,TRUE,all_together
17366,6905 SNPs,1,0,0,0,0,0,0,bocagei,TRUE,all_together
17367,6905 SNPs,1,0,0,0,0,0,0,bocagei,TRUE,all_together
17368,6905 SNPs,1,0,0,0,0,0,0,bocagei,TRUE,all_together
