"INDIVIDUAL_ID","MARKER","SALAR","TRUTTA","SPECIES","CLEAR","HYBRID_ZONE"
"20960","morphology",NA,NA,"salar",FALSE,"salar_trutta"
"20961","morphology",NA,NA,"salar",FALSE,"salar_trutta"
"20962","morphology",NA,NA,"salar",FALSE,"salar_trutta"
"20963","morphology",NA,NA,"salar",FALSE,"salar_trutta"
"20964","morphology",NA,NA,"salar",FALSE,"salar_trutta"
"20965","morphology",NA,NA,"salar",FALSE,"salar_trutta"
"20966","morphology",NA,NA,"salar",FALSE,"salar_trutta"
"20967","morphology",NA,NA,"salar",FALSE,"salar_trutta"
"20968","morphology",NA,NA,"salar",FALSE,"salar_trutta"
"20969","morphology",NA,NA,"salar",FALSE,"salar_trutta"
"20970","morphology",NA,NA,"salar",FALSE,"salar_trutta"
"20971","morphology",NA,NA,"salar",FALSE,"salar_trutta"
"20972","morphology",NA,NA,"salar",FALSE,"salar_trutta"
"20973","morphology",NA,NA,"salar",FALSE,"salar_trutta"
"20974","morphology",NA,NA,"salar",FALSE,"salar_trutta"
"20975","morphology",NA,NA,"salar",FALSE,"salar_trutta"
"20976","morphology",NA,NA,"salar",FALSE,"salar_trutta"
"20977","morphology",NA,NA,"salar",FALSE,"salar_trutta"
"20978","morphology",NA,NA,"salar",FALSE,"salar_trutta"
"20979","morphology",NA,NA,"salar",FALSE,"salar_trutta"
"20980","morphology",NA,NA,"salar",FALSE,"salar_trutta"
"20981","morphology",NA,NA,"salar",FALSE,"salar_trutta"
"20982","morphology",NA,NA,"salar",FALSE,"salar_trutta"
"20983","morphology",NA,NA,"salar",FALSE,"salar_trutta"
"20984","morphology",NA,NA,"salar",FALSE,"salar_trutta"
"20985","morphology",NA,NA,"salar",FALSE,"salar_trutta"
"20986","morphology",NA,NA,"salar",FALSE,"salar_trutta"
"20987","morphology",NA,NA,"salar",FALSE,"salar_trutta"
"20988","morphology",NA,NA,"salar",FALSE,"salar_trutta"
"20989","morphology",NA,NA,"salar",FALSE,"salar_trutta"
"20990","morphology",NA,NA,"salar",FALSE,"salar_trutta"
"20991","morphology",NA,NA,"salar",FALSE,"salar_trutta"
"20992","morphology",NA,NA,"salar",FALSE,"salar_trutta"
"20993","morphology",NA,NA,"salar",FALSE,"salar_trutta"
"20994","morphology",NA,NA,"salar",FALSE,"salar_trutta"
"20995","morphology",NA,NA,"salar",FALSE,"salar_trutta"
"20996","morphology",NA,NA,"salar",FALSE,"salar_trutta"
"20997","morphology",NA,NA,"salar",FALSE,"salar_trutta"
"20998","morphology",NA,NA,"salar",FALSE,"salar_trutta"
"20999","morphology",NA,NA,"salar",FALSE,"salar_trutta"
"21000","morphology",NA,NA,"salar",FALSE,"salar_trutta"
"21001","morphology",NA,NA,"salar",FALSE,"salar_trutta"
"21002","morphology",NA,NA,"salar",FALSE,"salar_trutta"
"21003","morphology",NA,NA,"salar",FALSE,"salar_trutta"
"21004","morphology",NA,NA,"salar",FALSE,"salar_trutta"
"21005","morphology",NA,NA,"salar",FALSE,"salar_trutta"
"21006","morphology",NA,NA,"salar",FALSE,"salar_trutta"
"21007","morphology",NA,NA,"salar",FALSE,"salar_trutta"
"21008","morphology",NA,NA,"salar",FALSE,"salar_trutta"
"21009","morphology",NA,NA,"salar",FALSE,"salar_trutta"
"21010","inferred",1,0,"salar",TRUE,"salar_trutta"
"21011","inferred",1,0,"salar",TRUE,"salar_trutta"
"21012","inferred",1,0,"salar",TRUE,"salar_trutta"
"21013","inferred",1,0,"salar",TRUE,"salar_trutta"
"21014","inferred",1,0,"salar",TRUE,"salar_trutta"
"21015","inferred",1,0,"salar",TRUE,"salar_trutta"
"21016","inferred",1,0,"salar",TRUE,"salar_trutta"
"21017","inferred",1,0,"salar",TRUE,"salar_trutta"
"21018","inferred",1,0,"salar",TRUE,"salar_trutta"
"21019","inferred",1,0,"salar",TRUE,"salar_trutta"
"21020","inferred",1,0,"salar",TRUE,"salar_trutta"
"21021","inferred",1,0,"salar",TRUE,"salar_trutta"
"21022","inferred",1,0,"salar",TRUE,"salar_trutta"
"21023","inferred",1,0,"salar",TRUE,"salar_trutta"
"21024","inferred",1,0,"salar",TRUE,"salar_trutta"
"21025","inferred",1,0,"salar",TRUE,"salar_trutta"
"21026","inferred",1,0,"salar",TRUE,"salar_trutta"
"21027","inferred",1,0,"salar",TRUE,"salar_trutta"
"21028","inferred",1,0,"salar",TRUE,"salar_trutta"
"21029","inferred",1,0,"salar",TRUE,"salar_trutta"
"21030","inferred",1,0,"salar",TRUE,"salar_trutta"
"21031","inferred",1,0,"salar",TRUE,"salar_trutta"
"21032","inferred",1,0,"salar",TRUE,"salar_trutta"
"21033","inferred",1,0,"salar",TRUE,"salar_trutta"
"21034","inferred",1,0,"salar",TRUE,"salar_trutta"
"21035","inferred",1,0,"salar",TRUE,"salar_trutta"
"21036","inferred",1,0,"salar",TRUE,"salar_trutta"
"21037","inferred",1,0,"salar",TRUE,"salar_trutta"
"21038","inferred",1,0,"salar",TRUE,"salar_trutta"
"21039","inferred",1,0,"salar",TRUE,"salar_trutta"
"21040","inferred",1,0,"salar",TRUE,"salar_trutta"
"21041","inferred",1,0,"salar",TRUE,"salar_trutta"
"21042","inferred",1,0,"salar",TRUE,"salar_trutta"
"21043","inferred",1,0,"salar",TRUE,"salar_trutta"
"21044","inferred",1,0,"salar",TRUE,"salar_trutta"
"21045","inferred",1,0,"salar",TRUE,"salar_trutta"
"21046","inferred",1,0,"salar",TRUE,"salar_trutta"
"21047","inferred",1,0,"salar",TRUE,"salar_trutta"
"21048","inferred",1,0,"salar",TRUE,"salar_trutta"
"21049","inferred",1,0,"salar",TRUE,"salar_trutta"
"21050","inferred",1,0,"salar",TRUE,"salar_trutta"
"21051","inferred",1,0,"salar",TRUE,"salar_trutta"
"21052","inferred",1,0,"salar",TRUE,"salar_trutta"
"21053","inferred",1,0,"salar",TRUE,"salar_trutta"
"21054","inferred",1,0,"salar",TRUE,"salar_trutta"
"21055","inferred",1,0,"salar",TRUE,"salar_trutta"
"16939","morphology",NA,NA,"trutta",FALSE,"salar_trutta"
"16940","morphology",NA,NA,"trutta",FALSE,"salar_trutta"
"16941","morphology",NA,NA,"trutta",FALSE,"salar_trutta"
