"ANATOLICUS","CRISTATUS","IVANBURESCHI","MACEDONICUS","DOBROGICUS","INDIVIDUAL_ID","SPECIES","CLEAR","MARKER","HYBRID_ZONE"
0.999,0,0.001,0,0,"14554","anatolicus",TRUE,"49 SNP","all_together"
0.999,0,0.001,0,0,"14555","anatolicus",TRUE,"49 SNP","all_together"
0.999,0,0.001,0,0,"14647","anatolicus",TRUE,"49 SNP","all_together"
0.999,0,0.001,0,0,"xAbanta-Gölu1","anatolicus",TRUE,"49 SNP","all_together"
0.999,0,0.001,0,0,"xAbanta-Gölu2","anatolicus",TRUE,"49 SNP","all_together"
0.999,0,0.001,0,0,"xAbanta-Gölu3","anatolicus",TRUE,"49 SNP","all_together"
0.999,0,0.001,0,0,"xAbanta-Gölu4","anatolicus",TRUE,"49 SNP","all_together"
0.999,0,0.001,0,0,"xAbanta-Gölu5","anatolicus",TRUE,"49 SNP","all_together"
0.999,0,0.001,0,0,"xAbanta-Gölu6","anatolicus",TRUE,"49 SNP","all_together"
0.998,0,0.002,0,0,"14526","anatolicus",TRUE,"49 SNP","all_together"
0.999,0,0.001,0,0,"14527","anatolicus",TRUE,"49 SNP","all_together"
0.999,0,0.001,0,0,"14689","anatolicus",TRUE,"49 SNP","all_together"
0.999,0,0.001,0,0,"xAdapazari1","anatolicus",TRUE,"49 SNP","all_together"
0.999,0,0.001,0,0,"xAdapazari2","anatolicus",TRUE,"49 SNP","all_together"
0.999,0,0.001,0,0,"xAdapazari3","anatolicus",TRUE,"49 SNP","all_together"
0,0,1,0,0,"14514","ivanbureschi",TRUE,"inferred","all_together"
0,0,1,0,0,"14515","ivanbureschi",TRUE,"inferred","all_together"
0.999,0,0.001,0,0,"xAkçat-Merkez1","anatolicus",TRUE,"49 SNP","all_together"
0.999,0,0.001,0,0,"xAkçat-Merkez2","anatolicus",TRUE,"49 SNP","all_together"
0.999,0,0.001,0,0,"xAkçat-Merkez3","anatolicus",TRUE,"49 SNP","all_together"
0.999,0,0.001,0,0,"xAkçat-Merkez4","anatolicus",TRUE,"49 SNP","all_together"
0.999,0,0.001,0,0,"xAkçat-Merkez5","anatolicus",TRUE,"49 SNP","all_together"
0.999,0,0.001,0,0,"xAkçat-Merkez6","anatolicus",TRUE,"49 SNP","all_together"
0.997,0,0.003,0,0,"xAkçat-Merkez7","anatolicus",TRUE,"49 SNP","all_together"
0.999,0,0.001,0,0,"xAkçat-Merkez8","anatolicus",TRUE,"49 SNP","all_together"
0.999,0,0.001,0,0,"xAkçat-Merkez9","anatolicus",TRUE,"49 SNP","all_together"
0.999,0,0.001,0,0,"xAkçat-Merkez10","anatolicus",TRUE,"49 SNP","all_together"
0.999,0,0.001,0,0,"xAkçat-Merkez11","anatolicus",TRUE,"49 SNP","all_together"
