"INDIVIDUAL_ID","SPECIES","CLASS","HYBRID_ZONE","REFERENCE_SP","H_INDEX","GENETIC_SP","GENOME_WIDE","LOCALITY"
"22183","bombina","I","bombina_variegata","variegata",0.592,"VARIEGATA",0.151,"Zavoloka"
"22189","bombina","I","bombina_variegata","variegata",0.669,"VARIEGATA",0.0610000000000001,"Zavoloka"
"22190","bombina","I","bombina_variegata","variegata",0.356,"VARIEGATA",0.082,"Zavoloka"
"22192","bombina","I","bombina_variegata","variegata",0.677,"VARIEGATA",0.032,"Zavoloka"
"22193","bombina","I","bombina_variegata","variegata",0.654,"VARIEGATA",0.028,"Zavoloka"
"22196","bombina","I","bombina_variegata","variegata",0.534,"VARIEGATA",0.268,"Chernivtsi_Sadhora_Forest"
"22198","bombina","I","bombina_variegata","variegata",0.592,"VARIEGATA",0.487,"Chernivtsi_Sadhora_Forest"
"22199","bombina","I","bombina_variegata","variegata",0.588,"VARIEGATA",0.47,"Chernivtsi_Sadhora_Forest"
"22214","bombina","I","bombina_variegata","variegata",0.423,"VARIEGATA",0.023,"Mala_Buda"
"22218","bombina","I","bombina_variegata","variegata",0.558,"VARIEGATA",0.019,"Shypyntsi"
"22231","bombina","I","bombina_variegata","variegata",0.541,"VARIEGATA",0.017,"Shypyntsi"
"22233","bombina","I","bombina_variegata","variegata",0.934,"VARIEGATA",0.02,"Chornivka"
"22234","bombina","I","bombina_variegata","variegata",0.835,"VARIEGATA",0.001,"Chornivka"
"22235","bombina","I","bombina_variegata","variegata",0.213,"VARIEGATA",0.012,"Chornivka"
"22236","bombina","I","bombina_variegata","variegata",0.399,"VARIEGATA",0.001,"Chornivka"
"22238","bombina","I","bombina_variegata","variegata",0.396,"VARIEGATA",0.002,"Chornivka"
"22241","bombina","I","bombina_variegata","variegata",0.481,"VARIEGATA",0.01,"Shypyntsi"
"22243","bombina","I","bombina_variegata","variegata",0.362,"VARIEGATA",0.004,"Shypyntsi"
"22246","bombina","I","bombina_variegata","variegata",0.374,"VARIEGATA",0.015,"Shypyntsi"
"22248","bombina","I","bombina_variegata","variegata",0.471,"VARIEGATA",0.00600000000000001,"Malyi_Kuchuriv"
"22249","bombina","I","bombina_variegata","variegata",0.398,"VARIEGATA",0.00700000000000001,"Malyi_Kuchuriv"
"22270","bombina","I","bombina_variegata","variegata",0,"VARIEGATA",0,"Budy_Głogowskie"
"22271","bombina","I","bombina_variegata","variegata",0,"VARIEGATA",0,"Budy_Głogowskie"
"22272","bombina","I","bombina_variegata","variegata",0.056,"VARIEGATA",0.00700000000000001,"Olszyny"
"22276","bombina","I","bombina_variegata","variegata",0.042,"VARIEGATA",0.004,"Olszyny"
"22279","bombina","I","bombina_variegata","variegata",0.273,"VARIEGATA",0.001,"Olszyny"
"22282","bombina","I","bombina_variegata","variegata",0.238,"VARIEGATA",0.001,"Olszyny"
"22284","bombina","I","bombina_variegata","variegata",0,"VARIEGATA",0.003,"Olszyny"
"22313","bombina","I","bombina_variegata","variegata",0,"VARIEGATA",0.005,"Drwinia"
"22314","bombina","I","bombina_variegata","variegata",0,"VARIEGATA",0.00475000000000003,"Drwinia"
"22317","bombina","I","bombina_variegata","variegata",0.175,"VARIEGATA",0.00475000000000003,"Drwinia"
"22319","bombina","I","bombina_variegata","variegata",0.073,"VARIEGATA",0.004,"Drwinia"
"22322","bombina","I","bombina_variegata","variegata",0,"VARIEGATA",0.00800000000000001,"Drwinia"
"22446","bombina","I","bombina_variegata","variegata",0,"VARIEGATA",0,"Svyatogorsk"
"22450","bombina","I","bombina_variegata","variegata",0,"VARIEGATA",0,"Svyatogorsk"
"22451","bombina","I","bombina_variegata","variegata",0,"VARIEGATA",0,"Svyatogorsk"
"22452","bombina","I","bombina_variegata","variegata",0,"VARIEGATA",0,"Svyatogorsk"
"22453","bombina","I","bombina_variegata","variegata",0,"VARIEGATA",0,"Svyatogorsk"
"22457","bombina","I","bombina_variegata","variegata",0,"VARIEGATA",0,"Baranovichi"
"22458","bombina","I","bombina_variegata","variegata",0,"VARIEGATA",0,"Baranovichi"
"22463","bombina","I","bombina_variegata","variegata",0,"VARIEGATA",0,"Baranovichi"
"22470","bombina","I","bombina_variegata","variegata",0,"VARIEGATA",0,"Baranovichi"
"22471","bombina","I","bombina_variegata","variegata",0,"VARIEGATA",0,"Baranovichi"
"22739","bombina","I","bombina_variegata","variegata",0,"VARIEGATA",0,"Jankowice"
"22740","bombina","I","bombina_variegata","variegata",0,"VARIEGATA",0,"Jankowice"
"22741","bombina","I","bombina_variegata","variegata",0,"VARIEGATA",0,"Komorowo"
"22742","bombina","I","bombina_variegata","variegata",0,"VARIEGATA",0,"Komorowo"
"22743","bombina","I","bombina_variegata","variegata",0,"VARIEGATA",0,"Podlas"
"22744","bombina","I","bombina_variegata","variegata",0,"VARIEGATA",0,"Podlas"
"22753","bombina","I","bombina_variegata","variegata",0,"VARIEGATA",0,"Kołatka"
"22754","bombina","I","bombina_variegata","variegata",0,"VARIEGATA",0,"Pomarzanki"
"22755","bombina","I","bombina_variegata","variegata",0.189,"VARIEGATA",0,"Podlas"
"22756","bombina","I","bombina_variegata","variegata",0,"VARIEGATA",0,"Swaryczów"
"22764","bombina","I","bombina_variegata","variegata",0,"VARIEGATA",0,"Topornica"
"22177","variegata","I","bombina_variegata","variegata",0.446,"VARIEGATA",0.919,"Chernivtsi"
"22178","variegata","I","bombina_variegata","variegata",0.979,"VARIEGATA",0.959,"Chernivtsi"
"22180","variegata","I","bombina_variegata","variegata",0.802,"VARIEGATA",0.976,"Chernivtsi"
"22181","variegata","I","bombina_variegata","variegata",0.645,"VARIEGATA",0.95,"Chernivtsi"
"22182","variegata","I","bombina_variegata","variegata",0.64,"VARIEGATA",0.938,"Chernivtsi"
