"HYBRID_ZONE","CLASS","VALUE","UPPER_95","LOWER_95","PARAMETERS","SE","N","LL","UPPER_2LL","LOWER_2LL"
"montandoni_vulgarisIN","I",0.318128861145121,0.346867391819491,0.289390330470751,"SD",0.014662515650189,1520,-1286.35450411084,0.3421289,0.2961289
"montandoni_vulgarisIN","I",1,1.32013920755067,0.679860792449328,"ALPHA",0.163336330382996,1520,-1286.35450411084,1,0.963
"montandoni_vulgarisIN","I",-1,-0.462632001973871,-1.53736799802613,"BETA",0.274167345931699,1520,-1286.35450411084,-0.969,-1
"montandoni_vulgarisIN","II",0.363229823822015,0.393196548252029,0.333263099392002,"SD",0.015289145117354,1450,-1323.23560843418,0.3910439,0.3380439
"montandoni_vulgarisIN","II",1,1.32325471059884,0.676745289401158,"ALPHA",0.164925872754511,1450,-1323.23560843418,1,0.932
"montandoni_vulgarisIN","II",-1,-0.472481108851398,-1.5275188911486,"BETA",0.269142291402348,1450,-1323.23560843418,-0.959,-1
"montandoni_vulgarisOUT","I",0.163730105912612,0.177153952791727,0.150306259033496,"SD",0.00684890146893657,1651,-848.875101362169,0.175,0.153
"montandoni_vulgarisOUT","I",1,1.40097732143126,0.59902267856874,"ALPHA",0.204580266036357,1651,-848.875101362169,1,0.973
"montandoni_vulgarisOUT","I",-1,-0.346357862371322,-1.65364213762868,"BETA",0.333490886545244,1651,-848.875101362169,-0.973,-1
"montandoni_vulgarisOUT","II",0.136487400007942,0.146111024382749,0.126863775633136,"SD",0.00491001243612596,1640,-693.980895927027,0.146,0.128
"montandoni_vulgarisOUT","II",0.925400551914574,1.29651622495026,0.554284878878889,"ALPHA",0.189344731140656,1640,-693.980895927027,0.9999424,0.6489424
"montandoni_vulgarisOUT","II",-1,-0.446775636913252,-1.55322436308675,"BETA",0.282257328105484,1640,-693.980895927027,-0.923,-1
