"INDIVIDUAL_ID","SPECIES","CLASS","HYBRID_ZONE","REFERENCE_SP","H_INDEX","GENETIC_SP","GENOME_WIDE","LOCALITY"
"10063","montandoni","I","montandoni_vulgarisIN","vulgaris",1,"VULGARIS",9.99999999995449e-06,"Ciprian-Porumbescu2"
"10078","montandoni","I","montandoni_vulgarisIN","vulgaris",0.815,"VULGARIS",0.000209000000000015,"Păltinoasa11"
"10079","montandoni","I","montandoni_vulgarisIN","vulgaris",0.841,"VULGARIS",0.017817,"Păltinoasa11"
"10080","montandoni","I","montandoni_vulgarisIN","vulgaris",0.533,"VULGARIS",0.00604899999999997,"Păltinoasa11"
"10081","montandoni","I","montandoni_vulgarisIN","vulgaris",0.788,"VULGARIS",0.01491,"Păltinoasa11"
"10082","montandoni","I","montandoni_vulgarisIN","vulgaris",1,"VULGARIS",9.99999999995449e-06,"Păltinoasa11"
"10083","montandoni","I","montandoni_vulgarisIN","vulgaris",0.829,"VULGARIS",9.99999999995449e-06,"Păltinoasa11"
"10084","montandoni","I","montandoni_vulgarisIN","vulgaris",0.865,"VULGARIS",0.00114300000000001,"Păltinoasa11"
"10085","montandoni","I","montandoni_vulgarisIN","vulgaris",1,"VULGARIS",9.99999999995449e-06,"Păltinoasa11"
"10086","montandoni","I","montandoni_vulgarisIN","vulgaris",0.776,"VULGARIS",0.00773299999999999,"Păltinoasa11"
"10087","montandoni","I","montandoni_vulgarisIN","vulgaris",0.735,"VULGARIS",9.99999999995449e-06,"Păltinoasa11"
"10088","montandoni","I","montandoni_vulgarisIN","vulgaris",1,"VULGARIS",0.00115100000000001,"Gura-Humorului1"
"10089","montandoni","I","montandoni_vulgarisIN","vulgaris",0.666,"VULGARIS",0.00163400000000002,"Gura-Humorului1"
"10090","montandoni","I","montandoni_vulgarisIN","vulgaris",0.773,"VULGARIS",9.99999999995449e-06,"Gura-Humorului1"
"10091","montandoni","I","montandoni_vulgarisIN","vulgaris",1,"VULGARIS",0.00566299999999997,"Gura-Humorului1"
"10093","montandoni","I","montandoni_vulgarisIN","vulgaris",1,"VULGARIS",9.99999999995449e-06,"Gura-Humorului1"
"10095","montandoni","I","montandoni_vulgarisIN","vulgaris",0.651,"VULGARIS",0.00270400000000004,"Gura-Humorului1"
"10096","montandoni","I","montandoni_vulgarisIN","vulgaris",0.655,"VULGARIS",9.99999999995449e-06,"Gura-Humorului1"
"10099","montandoni","I","montandoni_vulgarisIN","vulgaris",0.918,"VULGARIS",9.99999999995449e-06,"Gura-Humorului1"
"10100","montandoni","I","montandoni_vulgarisIN","vulgaris",0.793,"VULGARIS",9.99999999995449e-06,"Gura-Humorului1"
