"HYBRID_ZONE","CLASS","XS","YS","INTERVAL_TYPE","MIN_YS","MAX_YS","ALPHA","BETA"
"montandoni_vulgarisIN","I","0",0,"95","0","0",1,-1
"montandoni_vulgarisIN","I","0",0,"LL","0","0",1,-1
"montandoni_vulgarisIN","I","0.01",0.049204,"95","0.0324524363241957","0.0659643323241957",1,-1
"montandoni_vulgarisIN","I","0.01",0.049204,"LL","0.047869876","0.049204",1,-1
"montandoni_vulgarisIN","I","0.02",0.096832,"95","0.064088007565733","0.129592775565733",1,-1
"montandoni_vulgarisIN","I","0.02",0.096832,"LL","0.094215008","0.096832",1,-1
"montandoni_vulgarisIN","I","0.03",0.142908,"95","0.0949178345565644","0.190922226556564",1,-1
"montandoni_vulgarisIN","I","0.03",0.142908,"LL","0.139058652","0.142908",1,-1
"montandoni_vulgarisIN","I","0.04",0.187456,"95","0.124953038128643","0.249989582128643",1,-1
"montandoni_vulgarisIN","I","0.04",0.187456,"LL","0.182424064","0.187456",1,-1
"montandoni_vulgarisIN","I","0.05",0.2305,"95","0.15420473911392","0.30683173911392",1,-1
"montandoni_vulgarisIN","I","0.05",0.2305,"LL","0.2243345","0.2305",1,-1
"montandoni_vulgarisIN","I","0.06",0.272064,"95","0.18268405834435","0.36148559434435",1,-1
"montandoni_vulgarisIN","I","0.06",0.272064,"LL","0.264813216","0.272064",1,-1
"montandoni_vulgarisIN","I","0.07",0.312172,"95","0.210402116651884","0.413988044651884",1,-1
"montandoni_vulgarisIN","I","0.07",0.312172,"LL","0.303883468","0.312172",1,-1
"montandoni_vulgarisIN","I","0.08",0.350848,"95","0.237370034868476","0.464375986868476",1,-1
"montandoni_vulgarisIN","I","0.08",0.350848,"LL","0.341568512","0.350848",1,-1
"montandoni_vulgarisIN","I","0.09",0.388116,"95","0.263598933826078","0.512686317826078",1,-1
"montandoni_vulgarisIN","I","0.09",0.388116,"LL","0.377891604","0.388116",1,-1
"montandoni_vulgarisIN","I","0.1",0.424,"95","0.289099934356642","0.558955934356642",1,-1
"montandoni_vulgarisIN","I","0.1",0.424,"LL","0.412876","0.424",1,-1
"montandoni_vulgarisIN","I","0.11",0.458524,"95","0.313884157292121","0.603221733292121",1,-1
"montandoni_vulgarisIN","I","0.11",0.458524,"LL","0.446544956","0.458524",1,-1
"montandoni_vulgarisIN","I","0.12",0.491712,"95","0.337962723464468","0.645520611464468",1,-1
"montandoni_vulgarisIN","I","0.12",0.491712,"LL","0.478921728","0.491712",1,-1
"montandoni_vulgarisIN","I","0.13",0.523588,"95","0.361346753705636","0.685889465705636",1,-1
"montandoni_vulgarisIN","I","0.13",0.523588,"LL","0.510029572","0.523588",1,-1
"montandoni_vulgarisIN","I","0.14",0.554176,"95","0.384047368847577","0.724365192847577",1,-1
"montandoni_vulgarisIN","I","0.14",0.554176,"LL","0.539891744","0.554176",1,-1
"montandoni_vulgarisIN","I","0.15",0.5835,"95","0.406075689722243","0.760984689722243",1,-1
"montandoni_vulgarisIN","I","0.15",0.5835,"LL","0.5685315","0.5835",1,-1
"montandoni_vulgarisIN","I","0.16",0.611584,"95","0.427442837161587","0.795784853161588",1,-1
"montandoni_vulgarisIN","I","0.16",0.611584,"LL","0.595972096","0.611584",1,-1
"montandoni_vulgarisIN","I","0.17",0.638452,"95","0.448159931997563","0.828802579997563",1,-1
"montandoni_vulgarisIN","I","0.17",0.638452,"LL","0.622236788","0.638452",1,-1
"montandoni_vulgarisIN","I","0.18",0.664128,"95","0.468238095062122","0.860074767062122",1,-1
"montandoni_vulgarisIN","I","0.18",0.664128,"LL","0.647348832","0.664128",1,-1
"montandoni_vulgarisIN","I","0.19",0.688636,"95","0.487688447187218","0.889638311187218",1,-1
"montandoni_vulgarisIN","I","0.19",0.688636,"LL","0.671331484","0.688636",1,-1
"montandoni_vulgarisIN","I","0.2",0.712,"95","0.506522109204802","0.917530109204802",1,-1
"montandoni_vulgarisIN","I","0.2",0.712,"LL","0.694208","0.712",1,-1
"montandoni_vulgarisIN","I","0.21",0.734244,"95","0.524750201946828","0.943787057946827",1,-1
"montandoni_vulgarisIN","I","0.21",0.734244,"LL","0.716001636","0.734244",1,-1
"montandoni_vulgarisIN","I","0.22",0.755392,"95","0.542383846245247","0.968446054245247",1,-1
"montandoni_vulgarisIN","I","0.22",0.755392,"LL","0.736735648","0.755392",1,-1
"montandoni_vulgarisIN","I","0.23",0.775468,"95","0.559434162932014","0.991543994932014",1,-1
"montandoni_vulgarisIN","I","0.23",0.775468,"LL","0.756433292","0.775468",1,-1
"montandoni_vulgarisIN","I","0.24",0.794496,"95","0.57591227283908","1.01311777683908",1,-1
"montandoni_vulgarisIN","I","0.24",0.794496,"LL","0.775117824","0.794496",1,-1
"montandoni_vulgarisIN","I","0.25",0.8125,"95","0.591829296798397","1.0332042967984",1,-1
"montandoni_vulgarisIN","I","0.25",0.8125,"LL","0.7928125","0.8125",1,-1
"montandoni_vulgarisIN","I","0.26",0.829504,"95","0.60719635564192","1.05184045164192",1,-1
"montandoni_vulgarisIN","I","0.26",0.829504,"LL","0.809540576","0.829504",1,-1
"montandoni_vulgarisIN","I","0.27",0.845532,"95","0.622024570201599","1.0690631382016",1,-1
"montandoni_vulgarisIN","I","0.27",0.845532,"LL","0.825325308","0.845532",1,-1
"montandoni_vulgarisIN","I","0.28",0.860608,"95","0.636325061309389","1.08490925330939",1,-1
"montandoni_vulgarisIN","I","0.28",0.860608,"LL","0.840189952","0.860608",1,-1
"montandoni_vulgarisIN","I","0.29",0.874756,"95","0.650108949797241","1.09941569379724",1,-1
"montandoni_vulgarisIN","I","0.29",0.874756,"LL","0.854157764","0.874756",1,-1
"montandoni_vulgarisIN","I","0.3",0.888,"95","0.663387356497108","1.11261935649711",1,-1
"montandoni_vulgarisIN","I","0.3",0.888,"LL","0.867252","0.888",1,-1
"montandoni_vulgarisIN","I","0.31",0.900364,"95","0.676171402240942","1.12455713824094",1,-1
"montandoni_vulgarisIN","I","0.31",0.900364,"LL","0.879495916","0.900364",1,-1
"montandoni_vulgarisIN","I","0.32",0.911872,"95","0.688472207860697","1.1352659358607",1,-1
"montandoni_vulgarisIN","I","0.32",0.911872,"LL","0.890912768","0.911872",1,-1
"montandoni_vulgarisIN","I","0.33",0.922548,"95","0.700300894188325","1.14478264618833",1,-1
"montandoni_vulgarisIN","I","0.33",0.922548,"LL","0.901525812","0.922548",1,-1
"montandoni_vulgarisIN","I","0.34",0.932416,"95","0.711668582055779","1.15314416605578",1,-1
"montandoni_vulgarisIN","I","0.34",0.932416,"LL","0.911358304","0.932416",1,-1
"montandoni_vulgarisIN","I","0.35",0.9415,"95","0.722586392295011","1.16038739229501",1,-1
"montandoni_vulgarisIN","I","0.35",0.9415,"LL","0.9204335","0.9415",1,-1
"montandoni_vulgarisIN","I","0.36",0.949824,"95","0.733065445737974","1.16654922173797",1,-1
"montandoni_vulgarisIN","I","0.36",0.949824,"LL","0.928774656","0.949824",1,-1
"montandoni_vulgarisIN","I","0.37",0.957412,"95","0.74311686321662","1.17166655121662",1,-1
"montandoni_vulgarisIN","I","0.37",0.957412,"LL","0.936405028","0.957412",1,-1
"montandoni_vulgarisIN","I","0.38",0.964288,"95","0.752751765562902","1.1757762775629",1,-1
"montandoni_vulgarisIN","I","0.38",0.964288,"LL","0.943347872","0.964288",1,-1
"montandoni_vulgarisIN","I","0.39",0.970476,"95","0.761981273608773","1.17891529760877",1,-1
"montandoni_vulgarisIN","I","0.39",0.970476,"LL","0.949626444","0.970476",1,-1
"montandoni_vulgarisIN","I","0.4",0.976,"95","0.770816508186186","1.18112050818619",1,-1
"montandoni_vulgarisIN","I","0.4",0.976,"LL","0.955264","0.976",1,-1
"montandoni_vulgarisIN","I","0.41",0.980884,"95","0.779268590127092","1.18242880612709",1,-1
"montandoni_vulgarisIN","I","0.41",0.980884,"LL","0.960283796","0.980884",1,-1
"montandoni_vulgarisIN","I","0.42",0.985152,"95","0.787348640263445","1.18287708826345",1,-1
"montandoni_vulgarisIN","I","0.42",0.985152,"LL","0.964709088","0.985152",1,-1
"montandoni_vulgarisIN","I","0.43",0.988828,"95","0.795067779427198","1.1825022514272",1,-1
"montandoni_vulgarisIN","I","0.43",0.988828,"LL","0.968563132","0.988828",1,-1
"montandoni_vulgarisIN","I","0.44",0.991936,"95","0.802437128450302","1.1813411924503",1,-1
"montandoni_vulgarisIN","I","0.44",0.991936,"LL","0.971869184","0.991936",1,-1
"montandoni_vulgarisIN","I","0.45",0.9945,"95","0.809467808164711","1.17943080816471",1,-1
"montandoni_vulgarisIN","I","0.45",0.9945,"LL","0.9746505","0.9945",1,-1
"montandoni_vulgarisIN","I","0.46",0.996544,"95","0.816170939402377","1.17680799540238",1,-1
"montandoni_vulgarisIN","I","0.46",0.996544,"LL","0.976930336","0.996544",1,-1
"montandoni_vulgarisIN","I","0.47",0.998092,"95","0.822557642995252","1.17350965099525",1,-1
"montandoni_vulgarisIN","I","0.47",0.998092,"LL","0.978731948","0.998092",1,-1
"montandoni_vulgarisIN","I","0.48",0.999168,"95","0.82863903977529","1.16957267177529",1,-1
"montandoni_vulgarisIN","I","0.48",0.999168,"LL","0.980078592","0.999168",1,-1
"montandoni_vulgarisIN","I","0.49",0.999796,"95","0.834426250574443","1.16503395457444",1,-1
"montandoni_vulgarisIN","I","0.49",0.999796,"LL","0.980993524","0.999796",1,-1
"montandoni_vulgarisIN","I","0.5",1,"95","0.839930396224664","1.15993039622466",1,-1
"montandoni_vulgarisIN","I","0.5",1,"LL","0.9815","1",1,-1
"montandoni_vulgarisIN","I","0.51",0.999804,"95","0.834426893557905","1.1650345975579",1,-1
"montandoni_vulgarisIN","I","0.51",0.999804,"LL","0.9813114","1.000113876",1,-1
"montandoni_vulgarisIN","I","0.52",0.999232,"95","0.828688343406119","1.16962197540612",1,-1
"montandoni_vulgarisIN","I","0.52",0.999232,"LL","0.9807616","0.999851008",1,-1
"montandoni_vulgarisIN","I","0.53",0.998308,"95","0.822751642601258","1.17370365060126",1,-1
"montandoni_vulgarisIN","I","0.53",0.998308,"LL","0.9798746","0.999234652",1,-1
"montandoni_vulgarisIN","I","0.54",0.997056,"95","0.816653687975276","1.17729074397528",1,-1
"montandoni_vulgarisIN","I","0.54",0.997056,"LL","0.9786744","0.998288064",1,-1
"montandoni_vulgarisIN","I","0.55",0.9955,"95","0.810431376360124","1.18039437636012",1,-1
"montandoni_vulgarisIN","I","0.55",0.9955,"LL","0.977185","0.9970345",1,-1
"montandoni_vulgarisIN","I","0.56",0.993664,"95","0.804121604587756","1.18302566858776",1,-1
"montandoni_vulgarisIN","I","0.56",0.993664,"LL","0.9754304","0.995497216",1,-1
"montandoni_vulgarisIN","I","0.57",0.991572,"95","0.797761269490123","1.18519574149012",1,-1
"montandoni_vulgarisIN","I","0.57",0.991572,"LL","0.9734346","0.993699468",1,-1
"montandoni_vulgarisIN","I","0.58",0.989248,"95","0.79138726789918","1.18691571589918",1,-1
"montandoni_vulgarisIN","I","0.58",0.989248,"LL","0.9712216","0.991664512",1,-1
"montandoni_vulgarisIN","I","0.59",0.986716,"95","0.785036496646877","1.18819671264688",1,-1
"montandoni_vulgarisIN","I","0.59",0.986716,"LL","0.9688154","0.989415604",1,-1
"montandoni_vulgarisIN","I","0.6",0.984,"95","0.778745852565169","1.18904985256517",1,-1
"montandoni_vulgarisIN","I","0.6",0.984,"LL","0.96624","0.986976",1,-1
"montandoni_vulgarisIN","I","0.61",0.981124,"95","0.772552232486007","1.18948625648601",1,-1
"montandoni_vulgarisIN","I","0.61",0.981124,"LL","0.9635194","0.984368956",1,-1
"montandoni_vulgarisIN","I","0.62",0.978112,"95","0.766492533241344","1.18951704524134",1,-1
"montandoni_vulgarisIN","I","0.62",0.978112,"LL","0.9606776","0.981617728",1,-1
"montandoni_vulgarisIN","I","0.63",0.974988,"95","0.760603651663133","1.18915333966313",1,-1
"montandoni_vulgarisIN","I","0.63",0.974988,"LL","0.9577386","0.978745572",1,-1
"montandoni_vulgarisIN","I","0.64",0.971776,"95","0.754922484583327","1.18840626058333",1,-1
"montandoni_vulgarisIN","I","0.64",0.971776,"LL","0.9547264","0.975775744",1,-1
"montandoni_vulgarisIN","I","0.65",0.9685,"95","0.749485928833877","1.18728692883388",1,-1
"montandoni_vulgarisIN","I","0.65",0.9685,"LL","0.951665","0.9727315",1,-1
"montandoni_vulgarisIN","I","0.66",0.965184,"95","0.744330881246738","1.18580646524674",1,-1
"montandoni_vulgarisIN","I","0.66",0.965184,"LL","0.9485784","0.969636096",1,-1
"montandoni_vulgarisIN","I","0.67",0.961852,"95","0.73949423865386","1.18397599065386",1,-1
"montandoni_vulgarisIN","I","0.67",0.961852,"LL","0.9454906","0.966512788",1,-1
"montandoni_vulgarisIN","I","0.68",0.958528,"95","0.735012897887198","1.1818066258872",1,-1
"montandoni_vulgarisIN","I","0.68",0.958528,"LL","0.9424256","0.963384832",1,-1
"montandoni_vulgarisIN","I","0.69",0.955236,"95","0.730923755778703","1.1793094917787",1,-1
