"INDIVIDUAL_ID","SPECIES","CLASS","HYBRID_ZONE","REFERENCE_SP","H_INDEX","GENETIC_SP","GENOME_WIDE","LOCALITY"
"21852","astreptophora","I","astreptophora_helvetica","helvetica",0,"HELVETICA",0.451,"Aude-Malvies"
"21854","astreptophora","I","astreptophora_helvetica","helvetica",0.366,"HELVETICA",0.209,"Aude-Puivert"
"21916","astreptophora","I","astreptophora_helvetica","helvetica",0.342,"HELVETICA",0.462,"Ariege-Bélesta"
"21918","astreptophora","I","astreptophora_helvetica","helvetica",0.317,"HELVETICA",0.205,"Ariege-Lac-de-Montbel"
"21921","astreptophora","I","astreptophora_helvetica","helvetica",0.777,"HELVETICA",0.114,"Aude-Tuchan"
"21922","astreptophora","I","astreptophora_helvetica","helvetica",0,"HELVETICA",0.074,"Aude-Tuchan"
"21923","astreptophora","I","astreptophora_helvetica","helvetica",0.323,"HELVETICA",0.047,"Aude-Tuchan"
"21924","astreptophora","I","astreptophora_helvetica","helvetica",0,"HELVETICA",0.00700000000000001,"Pyrénées-Orientales-Bolquere"
"21925","astreptophora","I","astreptophora_helvetica","helvetica",0,"HELVETICA",0.014,"Pyrénées-Orientales-Millas"
"21926","astreptophora","I","astreptophora_helvetica","helvetica",0.328,"HELVETICA",0.012,"Pyrénées-Orientales-river-near-Perpignan"
"21927","astreptophora","I","astreptophora_helvetica","helvetica",0,"HELVETICA",0.00900000000000001,"Aragon-Nerín"
"21929","astreptophora","I","astreptophora_helvetica","helvetica",0.317,"HELVETICA",0.00900000000000001,"Barcelona-Montseny"
"21930","astreptophora","I","astreptophora_helvetica","helvetica",0.342,"HELVETICA",0.018,"Girona-Banyoles"
"21933","astreptophora","I","astreptophora_helvetica","helvetica",0,"HELVETICA",0.00900000000000001,"Lugo-Lamas-de-Moreira"
"21934","astreptophora","I","astreptophora_helvetica","helvetica",0,"HELVETICA",0.014,"Salamanca-Las-Batuecas-Sierra-de-Francia"
"21843","helvetica","I","astreptophora_helvetica","helvetica",0.342,"HELVETICA",0.762,"Ariege-Malegoude"
"21843","helvetica","I","helvetica_natrix","natrix",0,"NATRIX",0,"Ariege-Malegoude"
"21844","helvetica","I","astreptophora_helvetica","helvetica",0.342,"HELVETICA",0.833,"Ariege-Mirepoix"
"21844","helvetica","I","helvetica_natrix","natrix",0,"NATRIX",0,"Ariege-Mirepoix"
"21845","helvetica","I","astreptophora_helvetica","helvetica",0,"HELVETICA",0.612,"Ariege-Montbel"
"21845","helvetica","I","helvetica_natrix","natrix",0,"NATRIX",0,"Ariege-Montbel"
"21846","helvetica","I","astreptophora_helvetica","helvetica",0,"HELVETICA",0.907,"Ariege-Moulis"
"21846","helvetica","I","helvetica_natrix","natrix",0,"NATRIX",0,"Ariege-Moulis"
"21848","helvetica","I","astreptophora_helvetica","helvetica",0,"HELVETICA",0.916,"Ariege-Prades"
"21848","helvetica","I","helvetica_natrix","natrix",0,"NATRIX",0,"Ariege-Prades"
"21849","helvetica","I","astreptophora_helvetica","helvetica",1,"HELVETICA",0.997,"Ariege-Rimont"
"21849","helvetica","I","helvetica_natrix","natrix",0,"NATRIX",0,"Ariege-Rimont"
"21850","helvetica","I","astreptophora_helvetica","helvetica",0,"HELVETICA",0.983,"Ariege-Verdun"
"21850","helvetica","I","helvetica_natrix","natrix",0,"NATRIX",0,"Ariege-Verdun"
"21851","helvetica","I","astreptophora_helvetica","helvetica",0.756,"HELVETICA",0.64,"Aude-Escueillens-et-Saint-Just-de-Bélengard"
"21851","helvetica","I","helvetica_natrix","natrix",0,"NATRIX",0,"Aude-Escueillens-et-Saint-Just-de-Bélengard"
"21855","helvetica","I","astreptophora_helvetica","helvetica",0.366,"HELVETICA",0.786,"Aude-Saissac"
"21855","helvetica","I","helvetica_natrix","natrix",0,"NATRIX",0,"Aude-Saissac"
"21856","helvetica","I","astreptophora_helvetica","helvetica",0.342,"HELVETICA",0.99700449326011,"Aveyron-Laguiole"
"21856","helvetica","I","helvetica_natrix","natrix",0,"NATRIX",0,"Aveyron-Laguiole"
"21857","helvetica","I","astreptophora_helvetica","helvetica",1,"HELVETICA",0.995,"Aveyron-St-Chely-dAubrac"
"21857","helvetica","I","helvetica_natrix","natrix",0.672,"NATRIX",0,"Aveyron-St-Chely-dAubrac"
"21859","helvetica","I","astreptophora_helvetica","helvetica",1,"HELVETICA",0.985,"Gironde-Le-Haillan"
"21859","helvetica","I","helvetica_natrix","natrix",0,"NATRIX",0,"Gironde-Le-Haillan"
"21860","helvetica","I","astreptophora_helvetica","helvetica",0.342,"HELVETICA",0.93,"Haute-Garonne-Cazeaux-de-Larboust"
"21860","helvetica","I","helvetica_natrix","natrix",0,"NATRIX",0,"Haute-Garonne-Cazeaux-de-Larboust"
"21862","helvetica","I","astreptophora_helvetica","helvetica",0,"HELVETICA",0.874,"Haute-Garonne-Saint-Félix-Lauragais"
"21862","helvetica","I","helvetica_natrix","natrix",0,"NATRIX",0,"Haute-Garonne-Saint-Félix-Lauragais"
"21867","helvetica","I","astreptophora_helvetica","helvetica",0.366,"HELVETICA",0.995,"Loire-Atlantique-Blain-Les-Brulais"
"21867","helvetica","I","helvetica_natrix","natrix",0,"NATRIX",0,"Loire-Atlantique-Blain-Les-Brulais"
"21869","helvetica","I","astreptophora_helvetica","helvetica",0.342,"HELVETICA",0.996,"Loire-Atlantique-Bouvron-La-Renaudais"
"21869","helvetica","I","helvetica_natrix","natrix",0,"NATRIX",0,"Loire-Atlantique-Bouvron-La-Renaudais"
"21870","helvetica","I","astreptophora_helvetica","helvetica",1,"HELVETICA",0.993,"Loire-Atlantique-Bouvron-La-Renaudais"
"21870","helvetica","I","helvetica_natrix","natrix",0,"NATRIX",0,"Loire-Atlantique-Bouvron-La-Renaudais"
"21871","helvetica","I","astreptophora_helvetica","helvetica",0.342,"HELVETICA",0.995,"Loire-Atlantique-Donges-Bois-Joubert"
"21871","helvetica","I","helvetica_natrix","natrix",0,"NATRIX",0,"Loire-Atlantique-Donges-Bois-Joubert"
"21872","helvetica","I","astreptophora_helvetica","helvetica",1,"HELVETICA",0.996,"Loire-Atlantique-Donges-Bois-Joubert"
"21872","helvetica","I","helvetica_natrix","natrix",0,"NATRIX",0,"Loire-Atlantique-Donges-Bois-Joubert"
"21875","helvetica","I","astreptophora_helvetica","helvetica",0,"HELVETICA",0.988,"Loire-Atlantique-Drefféac-Les-Landes-de-Bilais"
"21875","helvetica","I","helvetica_natrix","natrix",0,"NATRIX",0,"Loire-Atlantique-Drefféac-Les-Landes-de-Bilais"
"21876","helvetica","I","astreptophora_helvetica","helvetica",0.907,"HELVETICA",0.994,"Loire-Atlantique-Drefféac-Les-Landes-de-Bilais"
"21876","helvetica","I","helvetica_natrix","natrix",0,"NATRIX",0,"Loire-Atlantique-Drefféac-Les-Landes-de-Bilais"
"21881","helvetica","I","astreptophora_helvetica","helvetica",0,"HELVETICA",0.866,"Pyrénées-Atlantiques-Borce"
"21881","helvetica","I","helvetica_natrix","natrix",0,"NATRIX",0,"Pyrénées-Atlantiques-Borce"
"21882","helvetica","I","astreptophora_helvetica","helvetica",0.889,"HELVETICA",0.996,"Pyrénées-Atlantiques-Buzy"
"21882","helvetica","I","helvetica_natrix","natrix",0.247,"NATRIX",0,"Pyrénées-Atlantiques-Buzy"
