"HYBRID_ZONE","CLASS","VALUE","UPPER_95","LOWER_95","PARAMETERS","SE","N","LL","UPPER_2LL","LOWER_2LL"
"nuchalis_ruber","I",0.135080115020466,0.159031863709897,0.111128366331035,"SD",0.0122202799435872,254,-106.166067511722,0.162,0.114
"nuchalis_ruber","I",-0.208585402156596,-0.0748166921175364,-0.342354112195656,"ALPHA",0.0682493418566632,254,-106.166067511722,-0.0726599,-0.3446599
"nuchalis_ruber","I",-1,-0.580488373078268,-1.41951162692173,"BETA",0.214036544347823,254,-106.166067511722,-0.837,-1
"nuchalis_ruber","II",0.148543232380494,0.174174389678926,0.122912075082062,"SD",0.0130771210706286,258,-120.094804792456,0.178,0.126
"nuchalis_ruber","II",-0.141468409567591,5.37396412087499e-05,-0.28299055877639,"ALPHA",0.0722051781677548,258,-120.094804792456,0.00265190000000004,-0.2863481
"nuchalis_ruber","II",-0.885597112779877,-0.453269843545474,-1.31792438201428,"BETA",0.220575137364491,258,-120.094804792456,-0.443,-1
"nuchalis_varius","I",0.0914573930851146,0.110346961888978,0.0725678242812518,"SD",0.00963753510401166,180,-40.134534095071,0.113,0.075
"nuchalis_varius","I",0.0834481744380638,0.359254239488271,-0.192357890612143,"ALPHA",0.140717380127657,180,-40.134534095071,0.3635509,-0.1984491
"nuchalis_varius","I",-0.719053574310228,-0.147505139855994,-1.29060200876446,"BETA",0.291606344109303,180,-40.134534095071,-0.133,-1
"nuchalis_varius","II",0.0926821888625968,0.111719841674902,0.0736445360502914,"SD",0.00971308816954354,182,-41.78911838948,0.115,0.076
"nuchalis_varius","II",-0.216892378335016,0.0607543393249472,-0.49453909599498,"ALPHA",0.141656488602022,182,-41.78911838948,0.06751968,-0.50148032
"nuchalis_varius","II",-0.186527875930224,0.38883491264165,-0.761890664502097,"BETA",0.293552443148915,182,-41.78911838948,0.24998316,-0.59001684
"ruber_varius","I",0.111016613941363,0.132247446502631,0.089785781380094,"SD",0.0108320574292187,210,-67.1735270507016,0.135,0.092
"ruber_varius","I",0.0382072043238747,0.235619218337497,-0.159204809689748,"ALPHA",0.100720415313073,210,-67.1735270507016,0.24018977,-0.16381023
"ruber_varius","I",-0.690810756025375,-0.173828342307314,-1.20779316974343,"BETA",0.263766537611255,210,-67.1735270507016,-0.161,-1
"ruber_varius","II",0.116241486527515,0.138262742294182,0.0942202307608485,"SD",0.01123533457483,214,-73.3764537654252,0.141,0.097
"ruber_varius","II",-0.305717757512938,-0.103829026840408,-0.507606488185468,"ALPHA",0.10300445442476,214,-73.3764537654252,-0.0992325000000001,-0.5122325
"ruber_varius","II",-0.249953092808897,0.27829992782541,-0.778206113443203,"BETA",0.269516847262401,214,-73.3764537654252,0.1880469,-0.6519531
