"INDIVIDUAL_ID","SPECIES","CLASS","HYBRID_ZONE","REFERENCE_SP","H_INDEX","GENETIC_SP","GENOME_WIDE","LOCALITY"
"21179","nuchalis","I","nuchalis_ruber","ruber",0.47,"RUBER",0.4,"Sphyrapicus001"
"21179","nuchalis","I","nuchalis_varius","varius",0.238,"VARIUS",0,"Sphyrapicus001"
"21180","nuchalis","I","nuchalis_ruber","ruber",0.586,"RUBER",0.475,"Sphyrapicus002"
"21180","nuchalis","I","nuchalis_varius","varius",0.478,"VARIUS",0,"Sphyrapicus002"
"21181","nuchalis","I","nuchalis_ruber","ruber",0.61,"RUBER",0.35,"Sphyrapicus003"
"21181","nuchalis","I","nuchalis_varius","varius",0.253,"VARIUS",0,"Sphyrapicus003"
"21182","nuchalis","I","nuchalis_ruber","ruber",0.895,"RUBER",0.45,"Sphyrapicus003"
"21182","nuchalis","I","nuchalis_varius","varius",0.972,"VARIUS",0,"Sphyrapicus003"
"21183","nuchalis","I","nuchalis_ruber","ruber",0.231,"RUBER",0.45,"Sphyrapicus004"
"21183","nuchalis","I","nuchalis_varius","varius",0,"VARIUS",0,"Sphyrapicus004"
"21184","nuchalis","I","nuchalis_ruber","ruber",0.03,"RUBER",0.375,"Sphyrapicus004"
"21184","nuchalis","I","nuchalis_varius","varius",0,"VARIUS",0,"Sphyrapicus004"
"21185","nuchalis","I","nuchalis_ruber","ruber",0.621,"RUBER",0.355,"Sphyrapicus005"
"21185","nuchalis","I","nuchalis_varius","varius",0.197,"VARIUS",0,"Sphyrapicus005"
"21186","nuchalis","I","nuchalis_ruber","ruber",0.186,"RUBER",0.375,"Sphyrapicus005"
"21186","nuchalis","I","nuchalis_varius","varius",0,"VARIUS",0,"Sphyrapicus005"
"21188","nuchalis","I","nuchalis_ruber","ruber",0.11,"RUBER",0.355,"Sphyrapicus007"
"21188","nuchalis","I","nuchalis_varius","varius",0.5,"VARIUS",0,"Sphyrapicus007"
"21189","nuchalis","I","nuchalis_ruber","ruber",0.196,"RUBER",0.42,"Sphyrapicus007"
"21189","nuchalis","I","nuchalis_varius","varius",0.436,"VARIUS",0,"Sphyrapicus007"
"21190","nuchalis","I","nuchalis_ruber","ruber",0.486,"RUBER",0.35,"Sphyrapicus008"
"21190","nuchalis","I","nuchalis_varius","varius",0.5,"VARIUS",0,"Sphyrapicus008"
"21193","nuchalis","I","nuchalis_ruber","ruber",0.554,"RUBER",0.275,"Sphyrapicus011"
"21193","nuchalis","I","nuchalis_varius","varius",0,"VARIUS",0,"Sphyrapicus011"
"21194","nuchalis","I","nuchalis_ruber","ruber",0.011,"RUBER",0.275,"Sphyrapicus011"
"21194","nuchalis","I","nuchalis_varius","varius",0.045,"VARIUS",0,"Sphyrapicus011"
"21195","nuchalis","I","nuchalis_ruber","ruber",0.866,"RUBER",0.4,"Sphyrapicus012"
"21195","nuchalis","I","nuchalis_varius","varius",0.604,"VARIUS",0,"Sphyrapicus012"
"21196","nuchalis","I","nuchalis_ruber","ruber",0.431,"RUBER",0.45,"Sphyrapicus012"
"21196","nuchalis","I","nuchalis_varius","varius",0.255,"VARIUS",0,"Sphyrapicus012"
"21200","nuchalis","I","nuchalis_ruber","ruber",0.29,"RUBER",0.472222222222222,"Sphyrapicus015"
"21200","nuchalis","I","nuchalis_varius","varius",0.163,"VARIUS",0,"Sphyrapicus015"
"21201","nuchalis","I","nuchalis_ruber","ruber",0.599,"RUBER",0.421052631578947,"Sphyrapicus016"
"21201","nuchalis","I","nuchalis_varius","varius",0.215,"VARIUS",0,"Sphyrapicus016"
"21218","nuchalis","I","nuchalis_ruber","ruber",0.175,"RUBER",0.225,"Sphyrapicus030"
"21218","nuchalis","I","nuchalis_varius","varius",0.248,"VARIUS",0,"Sphyrapicus030"
"21219","nuchalis","I","nuchalis_ruber","ruber",0.22,"RUBER",0.425,"Sphyrapicus031"
"21219","nuchalis","I","nuchalis_varius","varius",0.174,"VARIUS",0,"Sphyrapicus031"
"21220","nuchalis","I","nuchalis_ruber","ruber",0.264,"RUBER",0.407407407407407,"Sphyrapicus032"
"21220","nuchalis","I","nuchalis_varius","varius",0.339,"VARIUS",0,"Sphyrapicus032"
"21221","nuchalis","I","nuchalis_ruber","ruber",0.356,"RUBER",0.42,"Sphyrapicus033"
"21221","nuchalis","I","nuchalis_varius","varius",0.132,"VARIUS",0,"Sphyrapicus033"
"21222","nuchalis","I","nuchalis_ruber","ruber",0.35,"RUBER",0.4,"Sphyrapicus034"
"21222","nuchalis","I","nuchalis_varius","varius",0.636,"VARIUS",0,"Sphyrapicus034"
"21223","nuchalis","I","nuchalis_ruber","ruber",0.509,"RUBER",0.25,"Sphyrapicus035"
"21223","nuchalis","I","nuchalis_varius","varius",0.259,"VARIUS",0,"Sphyrapicus035"
"21224","nuchalis","I","nuchalis_ruber","ruber",0.774,"RUBER",0.15,"Sphyrapicus036"
"21224","nuchalis","I","nuchalis_varius","varius",0.496,"VARIUS",0,"Sphyrapicus036"
"21225","nuchalis","I","nuchalis_ruber","ruber",0.43,"RUBER",0.375,"Sphyrapicus037"
"21225","nuchalis","I","nuchalis_varius","varius",0,"VARIUS",0,"Sphyrapicus037"
"21226","nuchalis","I","nuchalis_ruber","ruber",0,"RUBER",0.325,"Sphyrapicus037"
"21226","nuchalis","I","nuchalis_varius","varius",0,"VARIUS",0,"Sphyrapicus037"
"21227","nuchalis","I","nuchalis_ruber","ruber",0.646,"RUBER",0.388888888888889,"Sphyrapicus038"
"21227","nuchalis","I","nuchalis_varius","varius",0.497,"VARIUS",0,"Sphyrapicus038"
"21228","nuchalis","I","nuchalis_ruber","ruber",0,"RUBER",0.175,"Sphyrapicus039"
"21228","nuchalis","I","nuchalis_varius","varius",0,"VARIUS",0,"Sphyrapicus039"
"21230","nuchalis","I","nuchalis_ruber","ruber",0.361,"RUBER",0.42,"Sphyrapicus040"
"21230","nuchalis","I","nuchalis_varius","varius",0.545,"VARIUS",0,"Sphyrapicus040"
"21231","nuchalis","I","nuchalis_ruber","ruber",0.282,"RUBER",0.405,"Sphyrapicus041"
"21231","nuchalis","I","nuchalis_varius","varius",0.166,"VARIUS",0,"Sphyrapicus041"
"21232","nuchalis","I","nuchalis_ruber","ruber",0.405,"RUBER",0.375,"Sphyrapicus042"
"21232","nuchalis","I","nuchalis_varius","varius",0.315,"VARIUS",0,"Sphyrapicus042"
"21233","nuchalis","I","nuchalis_ruber","ruber",0.624,"RUBER",0.35,"Sphyrapicus043"
"21233","nuchalis","I","nuchalis_varius","varius",0.402,"VARIUS",0,"Sphyrapicus043"
"21234","nuchalis","I","nuchalis_ruber","ruber",0.391,"RUBER",0.375,"Sphyrapicus044"
"21234","nuchalis","I","nuchalis_varius","varius",0.12,"VARIUS",0,"Sphyrapicus044"
"21235","nuchalis","I","nuchalis_ruber","ruber",0.068,"RUBER",0.239130434782609,"Sphyrapicus044"
"21235","nuchalis","I","nuchalis_varius","varius",0,"VARIUS",0,"Sphyrapicus044"
"21236","nuchalis","I","nuchalis_ruber","ruber",0,"RUBER",0.375,"Sphyrapicus045"
"21236","nuchalis","I","nuchalis_varius","varius",0,"VARIUS",0,"Sphyrapicus045"
