"INDIVIDUAL_ID","SPECIES","CLASS","HYBRID_ZONE","REFERENCE_SP","H_INDEX","GENETIC_SP","GENOME_WIDE","LOCALITY"
"14526","anatolicus","I","anatolicus_ivanbureschi","ivanbureschi",0.091,"IVANBURESCHI",0.002,"Adapazari"
"14527","anatolicus","I","anatolicus_ivanbureschi","ivanbureschi",0,"IVANBURESCHI",0.001,"Adapazari"
"14560","anatolicus","I","anatolicus_ivanbureschi","ivanbureschi",0,"IVANBURESCHI",0.001,"Gölköy"
"14561","anatolicus","I","anatolicus_ivanbureschi","ivanbureschi",0,"IVANBURESCHI",0.001,"Gölköy"
"14562","anatolicus","I","anatolicus_ivanbureschi","ivanbureschi",0,"IVANBURESCHI",0.001,"Gölköy"
"14563","anatolicus","I","anatolicus_ivanbureschi","ivanbureschi",0,"IVANBURESCHI",0.001,"Karakoç"
"14564","anatolicus","I","anatolicus_ivanbureschi","ivanbureschi",0,"IVANBURESCHI",0.001,"Karakoç"
"14565","anatolicus","I","anatolicus_ivanbureschi","ivanbureschi",0,"IVANBURESCHI",0.002,"Karakoç"
"14642","anatolicus","I","anatolicus_ivanbureschi","ivanbureschi",0.019,"IVANBURESCHI",0.001,"Gürbulak"
"14643","anatolicus","I","anatolicus_ivanbureschi","ivanbureschi",0,"IVANBURESCHI",0.001,"Gürbulak"
"14670","anatolicus","I","anatolicus_ivanbureschi","ivanbureschi",0.104,"IVANBURESCHI",0.001,"Safibey"
"14671","anatolicus","I","anatolicus_ivanbureschi","ivanbureschi",0.114,"IVANBURESCHI",0.002,"Safibey"
"14677","anatolicus","I","anatolicus_ivanbureschi","ivanbureschi",0,"IVANBURESCHI",0.002,"Hanköy"
"14678","anatolicus","I","anatolicus_ivanbureschi","ivanbureschi",0,"IVANBURESCHI",0.001,"Hanköy"
"14679","anatolicus","I","anatolicus_ivanbureschi","ivanbureschi",0,"IVANBURESCHI",0.001,"Hanköy"
"14689","anatolicus","I","anatolicus_ivanbureschi","ivanbureschi",0.138,"IVANBURESCHI",0.001,"Adapazari"
"14739","anatolicus","I","anatolicus_ivanbureschi","ivanbureschi",0.087,"IVANBURESCHI",0.001,"Sugören"
"14740","anatolicus","I","anatolicus_ivanbureschi","ivanbureschi",0.073,"IVANBURESCHI",0.009,"Sugören"
"14741","anatolicus","I","anatolicus_ivanbureschi","ivanbureschi",0.188,"IVANBURESCHI",0.001,"Sugören"
"14788","anatolicus","I","anatolicus_ivanbureschi","ivanbureschi",0,"IVANBURESCHI",0.001,"Safibey"
"14465","anatolicus","I","anatolicus_ivanbureschi","ivanbureschi",0.406,"IVANBURESCHI",0.002,"Mollafeneri"
"14466","anatolicus","I","anatolicus_ivanbureschi","ivanbureschi",0.171,"IVANBURESCHI",0.002,"Mollafeneri"
"14467","anatolicus","I","anatolicus_ivanbureschi","ivanbureschi",0,"IVANBURESCHI",0.001,"Kethüda"
"14498","anatolicus","I","anatolicus_ivanbureschi","ivanbureschi",0.356,"IVANBURESCHI",0.021,"Avdancik"
"14499","anatolicus","I","anatolicus_ivanbureschi","ivanbureschi",0.173,"IVANBURESCHI",0.006,"Avdancik"
"14500","anatolicus","I","anatolicus_ivanbureschi","ivanbureschi",0.262,"IVANBURESCHI",0.028,"Avdancik"
"14501","anatolicus","I","anatolicus_ivanbureschi","ivanbureschi",0.373,"IVANBURESCHI",0.145,"Yaliciftlik"
"14502","anatolicus","I","anatolicus_ivanbureschi","ivanbureschi",0.101,"IVANBURESCHI",0.071,"Yaliciftlik"
"14503","anatolicus","I","anatolicus_ivanbureschi","ivanbureschi",0.101,"IVANBURESCHI",0.235,"Yaliciftlik"
"14507","anatolicus","I","anatolicus_ivanbureschi","ivanbureschi",0.087,"IVANBURESCHI",0.002,"Kuyumculu"
"14508","anatolicus","I","anatolicus_ivanbureschi","ivanbureschi",0.075,"IVANBURESCHI",0.001,"Kuyumculu"
"14509","anatolicus","I","anatolicus_ivanbureschi","ivanbureschi",0.099,"IVANBURESCHI",0.001,"Kuyumculu"
"14510","anatolicus","I","anatolicus_ivanbureschi","ivanbureschi",0.288,"IVANBURESCHI",0.006,"Alibahadir2"
"14511","anatolicus","I","anatolicus_ivanbureschi","ivanbureschi",0.23,"IVANBURESCHI",0.013,"Alibahadir2"
"14544","anatolicus","I","anatolicus_ivanbureschi","ivanbureschi",0.225,"IVANBURESCHI",0.002,"Yakacik"
"14554","anatolicus","I","anatolicus_ivanbureschi","ivanbureschi",0,"IVANBURESCHI",0.001,"Abanta-Gölu"
"14555","anatolicus","I","anatolicus_ivanbureschi","ivanbureschi",0,"IVANBURESCHI",0.001,"Abanta-Gölu"
"14566","anatolicus","I","anatolicus_ivanbureschi","ivanbureschi",0,"IVANBURESCHI",0.001,"Çakirli"
"14567","anatolicus","I","anatolicus_ivanbureschi","ivanbureschi",0,"IVANBURESCHI",0.001,"Çakirli"
"14568","anatolicus","I","anatolicus_ivanbureschi","ivanbureschi",0,"IVANBURESCHI",0.001,"Çakirli"
"14647","anatolicus","I","anatolicus_ivanbureschi","ivanbureschi",0.116,"IVANBURESCHI",0.001,"Abanta-Gölu"
"14665","anatolicus","I","anatolicus_ivanbureschi","ivanbureschi",0.083,"IVANBURESCHI",0.018,"Kirazliyayla"
"14666","anatolicus","I","anatolicus_ivanbureschi","ivanbureschi",0.087,"IVANBURESCHI",0.032,"Kirazliyayla"
"14667","anatolicus","I","anatolicus_ivanbureschi","ivanbureschi",0.083,"IVANBURESCHI",0.001,"Seben"
"14668","anatolicus","I","anatolicus_ivanbureschi","ivanbureschi",0.238,"IVANBURESCHI",0.001,"Seben"
