HYBRID_ZONE,MARKER,PARAMETERS,VALUES,LEVEL
colchica_fragilisA,HI,center,607.361087180156,main
colchica_fragilisA,HI,width,455.77291740826,main
colchica_fragilisA,HI,pMin,0,main
colchica_fragilisA,HI,pMax,1,main
colchica_fragilisA,HI,center,576.488197606679,high
colchica_fragilisA,HI,center,640.503509180897,low
colchica_fragilisA,HI,width,299.662376877636,high
colchica_fragilisA,HI,width,754.020444825541,low
colchica_fragilisA,HII,center,629.86947741134,main
colchica_fragilisA,HII,width,379.097125604055,main
colchica_fragilisA,HII,pMin,0,main
colchica_fragilisA,HII,pMax,1,main
colchica_fragilisA,HII,center,605.404024696904,high
colchica_fragilisA,HII,center,663.311959078864,low
colchica_fragilisA,HII,width,255.810624537146,high
colchica_fragilisA,HII,width,600.196671767367,low
colchica_fragilisA,QI,center,619.395027883793,main
colchica_fragilisA,QI,width,267.532228407395,main
colchica_fragilisA,QI,pMin,0.01,main
colchica_fragilisA,QI,pMax,0.989,main
colchica_fragilisA,QI,center,600.747951343332,high
colchica_fragilisA,QI,center,647.184336895372,low
colchica_fragilisA,QI,width,167.947945069259,high
colchica_fragilisA,QI,width,461.826365683572,low
colchica_fragilisA,Q2,center,623.499285248791,main
colchica_fragilisA,Q2,width,48.8804501390601,main
colchica_fragilisA,Q2,pMin,0.0475352648840237,main
colchica_fragilisA,Q2,pMax,0.907505030350573,main
colchica_fragilisA,Q2,center,610.933401793435,high
colchica_fragilisA,Q2,center,638.042857870504,low
colchica_fragilisA,Q2,width,16.6776754332743,high
colchica_fragilisA,Q2,width,88.345086033773,low
colchica_fragilisA,Q2,pMin,0.0122729483309465,high
colchica_fragilisA,Q2,pMin,0.107918436675528,low
colchica_fragilisA,Q2,pMax,0.774364303220202,high
colchica_fragilisA,Q2,pMax,0.977420567249202,low
colchica_fragilisA,genomic,center,615.666933816807,main
colchica_fragilisA,genomic,width,45.4465904454264,main
colchica_fragilisA,genomic,pMin,0.0123975708749107,main
colchica_fragilisA,genomic,pMax,0.957757175319743,main
colchica_fragilisA,genomic,center,608.241699836477,high
colchica_fragilisA,genomic,center,626.245024653654,low
colchica_fragilisA,genomic,width,18.3659250863354,high
colchica_fragilisA,genomic,width,77.2995449794981,low
colchica_fragilisA,genomic,pMin,6.59308148660137E-06,high
colchica_fragilisA,genomic,pMin,0.0693232872226575,low
colchica_fragilisA,genomic,pMax,0.853009808186061,high
colchica_fragilisA,genomic,pMax,0.997915594287291,low
