HYBRID_ZONE,LOCALITY,DISTANCE,H_INDEX_I,nSamples_H_I,H_INDEX_II,nSamples_H_II,Q_INDEX_I,nSamples_Q_I,Q_INDEX_II,nSamples_Q_II,genomic,nSamples_genomic
colchica_fragilisA,Anguis_11,41.1,0,1,0,1,1.3,1,0.9,1,0,1
colchica_fragilisA,Anguis_12,0,NA,NA,0,1,NA,NA,1.3,1,0,1
colchica_fragilisA,Anguis_13,0.200000000000003,NA,NA,0,1,NA,NA,3.6,1,0,1
colchica_fragilisA,Anguis_14,33.3,0,1,0,1,1.3,1,1.6,1,0,1
colchica_fragilisA,Anguis_15,5.5,0,1,0,1,1.8,1,2.1,1,0,1
colchica_fragilisA,Anguis_16,36.6,0,1,0,1,9.4,1,1.1,1,0,1
colchica_fragilisA,Anguis_17,34.3,0,1,2.1,1,1.5,1,5.7,1,0,1
colchica_fragilisA,Anguis_18,17.5,0,1,0,1,1.8,1,2.1,1,0,1
colchica_fragilisA,Anguis_19,27,0,1,0,1,36.4,1,9.9,1,0,1
colchica_fragilisA,Bludov,648.9,86.4,1,57.5,1,97.9,1,49.7,1,86,1
colchica_fragilisA,Bouzov-Kadeřín,649.2,64.7,1,72.9,1,65.8,1,94.4,1,91,1
colchica_fragilisA,Boňkov-1,561,89.7,1,16.7,1,95.4,1,1.1,1,5,1
colchica_fragilisA,Boňkov-2,559.2,NA,NA,42.7,1,NA,NA,11,1,5,1
colchica_fragilisA,Boškov,568.3,56.9,1,34.05,2,59.5,1,41.05,2,5,2
colchica_fragilisA,Branná,645,55.85,2,59.65,2,59.8,2,75.85,2,81,2
colchica_fragilisA,Bruntál-1,595.8,35.15,2,45.9,2,3.1,2,10.65,2,5,2
colchica_fragilisA,Bruntál-2,593.4,41.1,1,25.1,1,5,1,2.6,1,9,1
colchica_fragilisA,Bruntál-3,593.7,48,1,33.1,1,5.6,1,2.3,1,7,1
colchica_fragilisA,Bruntál-Mezina,589.4,92.1,1,56.7,1,98.2,1,51.3,1,6.00000000000001,1
colchica_fragilisA,Budětsko,643.1,61.2,1,55.4,1,87.2,1,44.7,1,81,1
colchica_fragilisA,Bukovany,595.1,NA,NA,49.6,1,NA,NA,34.1,1,0,1
colchica_fragilisA,Bystřička,525.6,55.3,1,40.4,1,45.6,1,4.5,1,0,1
colchica_fragilisA,Bytíz,958.9,82.7,1,100,1,94.1,1,99.2,1,99,1
colchica_fragilisA,Bílá,470.8,31.7,1,49.7,1,22.9,1,3.7,1,0,1
colchica_fragilisA,Bílá-Voda,663.7,68.7,1,100,1,75.5,1,98.3,1,81,1
colchica_fragilisA,Běleč-nad-Orlicí-1,762.2,60.9,1,100,1,82.1,1,98.6,1,98,1
colchica_fragilisA,Běleč-nad-Orlicí-2,765.6,85.5,1,75.9,1,97.7,1,96.5,1,96,1
colchica_fragilisA,Břidličná,600.6,51.1666666666667,9,40.7444444444444,9,48.2444444444444,9,8.98888888888889,9,6.66666666666667,9
colchica_fragilisA,Břidličná-2,596.8,30.2,1,45.1,1,12,1,1.7,1,4,1
colchica_fragilisA,Dlouhá-Stráň,584.5,27.5,1,NA,NA,29.7,1,NA,NA,7,1
colchica_fragilisA,Dobroslavice,510.9,52.8,1,55.9,1,44.7,1,72,1,1,1
colchica_fragilisA,Dolní-Bušínov,658,80.7,1,66,1,97,1,88.5,1,82,1
colchica_fragilisA,Dolní-Moravice,606.7,60.9714285714286,7,48.6142857142857,7,64.4714285714286,7,36.5285714285714,7,46.2857142857143,7
colchica_fragilisA,Dolní-Moravice-2,606.9,39.4,1,63.9,1,28.7,1,69.5,1,40,1
colchica_fragilisA,Domašov-nad-Bystřicí,588.2,57.9,3,43.2666666666667,3,50.5,3,3,3,12.3333333333333,3
colchica_fragilisA,Dvorce,582.5,28.5666666666667,3,20.3666666666667,3,11,3,1.9,3,10,3
colchica_fragilisA,Dvorce-Rejchartice,580.8,56.3,1,25.3,1,56.6,1,1.3,1,10,1
colchica_fragilisA,Dívčí-Hrad-Sádek,576.3,39.925,4,45.825,4,26.075,4,7.175,4,5.75,4
colchica_fragilisA,Dětřichov-nad-Bystřicí,594.6,30.06,5,39.04,5,21.34,5,6.18,5,6.4,5
colchica_fragilisA,Dětřichov-nad-Bystřicí-2,596.6,NA,NA,19.8,1,NA,NA,1.6,1,11,1
colchica_fragilisA,Fulnek,535.8,83.8,1,29.1,1,91.1,1,1.8,1,3,1
colchica_fragilisA,Fulnek-2,535,17.4,1,47,1,2,1,5.2,1,5,1
colchica_fragilisA,Hanušovice,650.5,49.4,1,78.5,1,50.2,1,81.6,1,80,1
colchica_fragilisA,Harasov,917.9,85.8,1,82.1,1,97.1,1,98.6,1,99,1
colchica_fragilisA,Herálec,745,90,1,81.8,1,97.8,1,91.4,1,98,1
colchica_fragilisA,Heřmanovice-1,600.8,67.1833333333333,6,41.05,6,64.7166666666667,6,27.9,6,30.8333333333333,6
colchica_fragilisA,Heřmanovice-2,603.6,34.5,1,37.5,1,10.3,1,3.2,1,15,1
colchica_fragilisA,Heřmanovice-3,606.8,56,1,14.1,1,53.1,1,12.6,1,54,1
colchica_fragilisA,Hlavňov-1,734.8,70.7,1,59.2,1,71.4,1,70.9,1,93,1
colchica_fragilisA,Hlavňov-2,735.7,81.6,1,59.7,1,98,1,58.8,1,92,1
colchica_fragilisA,Hlubočec,530.8,37.7,1,21.1,1,2.9,1,2.1,1,4,1
colchica_fragilisA,Holčovice,595.2,22.3,1,50.3,1,1.5,1,11.4,1,23,1
colchica_fragilisA,Holčovice-Komora,595.1,31.95,8,39.55,8,16.6875,8,25.75,8,17,8
colchica_fragilisA,Hostětín,526.8,8.8,1,10.6,1,1.3,1,4.3,1,0,1
colchica_fragilisA,Hraničné-Petrovice,591.8,37.3,1,44.2,1,3.1,1,3.2,1,11,1
colchica_fragilisA,Hukvaldy,499.1,16.1,1,35.7,1,3,1,7.3,1,1,1
colchica_fragilisA,Jablonná-1,954.5,100,1,90.6,1,98.6,1,98.1,1,97,1
colchica_fragilisA,Jablonná-2,956.3,95.4,1,85.4,1,98.5,1,97.4,1,99,1
colchica_fragilisA,Jakubčovice-nad-Odrou,551,NA,NA,38.8,1,NA,NA,8.2,1,2,1
colchica_fragilisA,Javoříčko-Špraněk,645.8,48.9,1,47.6,1,46.2,1,49.3,1,88,1
colchica_fragilisA,Jesenice,913.5,94.6,1,100,1,98.5,1,98.7,1,100,1
colchica_fragilisA,Jeseník,624.4,63.35,2,65.4,2,69.6,2,72.3,2,72.5,2
colchica_fragilisA,Jánské-Koupele,561.2,9.4,1,24.9,1,1.2,1,2.1,1,4,1
colchica_fragilisA,Jívka,749.8,39.8,1,33.4,1,27.3,1,18.4,1,91,1
colchica_fragilisA,Jívová,593.4,39.15,6,39.6666666666667,6,34.1833333333333,6,7.16666666666667,6,11.5,6
colchica_fragilisA,Kadeřín,739.6,93,1,62.3,1,98,1,80.9,1,95,1
colchica_fragilisA,Kamenka,560,29.55,4,27.2,4,15.275,4,2.05,4,0.75,4
colchica_fragilisA,Kamenný-žleb,566.2,NA,NA,67.5,1,NA,NA,56.8,1,9,1
colchica_fragilisA,Karlov-pod-Pradědem,611,36,1,49.3,1,20.4,1,59.3,1,61,1
colchica_fragilisA,Karlova-Studánka,611,49.8333333333333,6,37.75,6,49.55,6,23.85,6,47.1666666666667,6
colchica_fragilisA,Karlova-Studánka-2,603.4,47.7,1,63.85,2,50.9,1,54.15,2,28.5,2
colchica_fragilisA,Klokočůvek-1,558.8,30.9,1,32.9,1,7.1,1,7.7,1,2,1
colchica_fragilisA,Klokočůvek-2,557.1,35.8,1,14.65,2,25.1,1,3.65,2,1.5,2
colchica_fragilisA,Krasov,583.1,26.8,1,32.4,1,4.7,1,2.3,1,6.00000000000001,1
colchica_fragilisA,Krnov-Chomýž,571.5,39.5,1,33.4,1,25.1,1,18.5,1,4,1
colchica_fragilisA,Krnov-Cvilín,561.4,20.1,1,9.1,1,1.5,1,1,1,4,1
colchica_fragilisA,Krňany,921.5,88.2,1,100,1,98.9,1,98.8,1,100,1
colchica_fragilisA,Kunčice-pod-Ondřejníkem,490,0,1,0,1,6,1,1.6,1,1,1
colchica_fragilisA,Křinice,731,92.8,1,64.7,1,98.7,1,75.2,1,89,1
colchica_fragilisA,Křišťanovice-1,582.3,37.2,4,41.625,4,22.2,4,3.2,4,8.5,4
colchica_fragilisA,Křišťanovice-2,585,51.7,1,30.6,1,44.5,1,2.3,1,5,1
colchica_fragilisA,Křišťanovice-3,583.4,89.7,1,37.1,1,97.6,1,1.6,1,5,1
colchica_fragilisA,Libavá,578.4,30.42,5,28.16,5,24.94,5,8.92,5,6,5
colchica_fragilisA,Lichkov,683.5,59,1,72.6,1,62.1,1,84.6,1,86,1
colchica_fragilisA,Lipová,644.8,71.7,1,NA,NA,82.5,1,NA,NA,93,1
colchica_fragilisA,Loučná-nad-Desnou,634.4,61.8,1,48.6,1,70.2,1,24.4,1,82,1
colchica_fragilisA,Malinový-žleb,567.1,60.6,1,28.9,1,72.9,1,4.3,1,6.00000000000001,1
colchica_fragilisA,Malá-Štáhle,603.4,60.3,1,45.6,1,52.2,1,7,1,11,1
colchica_fragilisA,Michelský-les,924.8,100,1,100,1,97.8,1,98.9,1,98,1
colchica_fragilisA,Międzylesie,666.9,63.2,1,63.4,1,70.1,1,96.5,1,86,1
colchica_fragilisA,Mladkov,684.4,83.1,1,63.6,1,97.8,1,66.9,1,93,1
colchica_fragilisA,Mnichov,602,38.4625,8,33.3125,8,28.5,8,9.6875,8,10.625,8
colchica_fragilisA,Moravský-Beroun,588.5,82.2,1,49.2,1,97,1,32.6,1,9,1
colchica_fragilisA,Moravský-Beroun-2,590.4,60.55,2,38.2,2,65.2,2,3.5,2,11,2
colchica_fragilisA,Moravský-Kočov,592.4,NA,NA,41.6,1,NA,NA,3.5,1,4,1
colchica_fragilisA,Niva-2,645.3,98.4,1,66,1,97.2,1,76.8,1,90,1
colchica_fragilisA,Norberčany,581.5,33.22,5,31.9,5,28.8,5,2.08,5,9.6,5
colchica_fragilisA,Odry-Dobešov-1,550.3,38.5,1,24.2,1,41.9,1,1.4,1,5,1
colchica_fragilisA,Odry-Dobešov-2,551,78.7,1,22.8,1,74.3,1,0.9,1,4,1
colchica_fragilisA,Olbramice,633.5,72.3,1,53.5,1,83.6,1,54.3,1,79,1
colchica_fragilisA,Oldřichovice,452.5,6,1,0,1,1.7,1,2.1,1,0,1
colchica_fragilisA,Olšovec,555.9,51,1,20.1,1,39.8,1,1.5,1,6.00000000000001,1
colchica_fragilisA,Ondřejov,608.6,NA,NA,49.7,1,NA,NA,52.1,1,33,1
colchica_fragilisA,Ondřejov-Dlouhá-Loučka,611.2,88,1,55.3,1,97.5,1,38.8,1,43,1
colchica_fragilisA,Ostravice,480.3,0,1,8.5,1,2.8,1,0.7,1,0,1
colchica_fragilisA,Ostravice-2,478.9,16.8,1,32.6,1,1.2,1,1.9,1,0,1
colchica_fragilisA,Otice,545.2,18.5,1,25.8,1,3.7,1,1.9,1,4,1
colchica_fragilisA,Partutovice,556.9,67.1,2,32.3,2,52.35,2,2.1,2,5.00000000000001,2
colchica_fragilisA,Paseka,610.9,NA,NA,50.7,1,NA,NA,4.3,1,14,1
colchica_fragilisA,Petrov-Chlomek,926.3,93.6,1,100,1,97.6,1,97.3,1,98,1
colchica_fragilisA,Petrovice,597.9,41.58,5,39.24,5,21.08,5,19.12,5,28,5
colchica_fragilisA,Petříkov,640.2,73.3,1,91.9,1,78.6,1,97.4,1,81,1
colchica_fragilisA,Potštát,563.6,73.3,1,29.7,1,77,1,2.5,1,5,1
colchica_fragilisA,Praha-Cholupice,927.3,90.8,1,100,1,97.5,1,99.1,1,99,1
colchica_fragilisA,Praha-Cibulka,935.9,88.9,1,100,1,97.5,1,98.4,1,99,1
colchica_fragilisA,Praha-Divoká-Šárka,940.5,75.5,1,100,1,85.3,1,99,1,99,1
colchica_fragilisA,Praha-Modřany-3,925.5,100,1,100,1,98.1,1,98.5,1,99,1
colchica_fragilisA,Prostřední-Bečva,493.1,13.8,2,46.65,2,1.85,2,14.9,2,NA,NA
colchica_fragilisA,Protivanov,649.9,84.4,1,54.5,1,95.9,1,88.3,1,89,1
colchica_fragilisA,Průhonice,911,57.9,1,94.9,1,64.3,1,97.5,1,99,1
colchica_fragilisA,Rejchartice,580.3,5.8,1,61.8,1,1.3,1,5.3,1,5,1
colchica_fragilisA,Rosovický-hvozd,959.9,96.9666666666667,3,96.3,3,98.2,3,98.9,3,99.6666666666667,3
colchica_fragilisA,Roudno-1,583.8,48.4,1,37,1,55.3,1,2.1,1,9,1
colchica_fragilisA,Roudno-2,583.6,55.1,1,48.4,1,60,1,4.6,1,5,1
colchica_fragilisA,Rýmařov-Stránské,606.8,50.5333333333333,6,29.3666666666667,6,39.5166666666667,6,10.8166666666667,6,28.5,6
colchica_fragilisA,Slavkov-1,571.9,39.65,2,39.35,2,28.25,2,6.35,2,4.5,2
colchica_fragilisA,Slavkov-2,572.3,43.4,1,26.5,1,33.6,1,2.4,1,4,1
