"HYBRID_ZONE","MARKER","PARAMETERS","VALUES","LEVEL"
"bombina_variegataK","HI","center",618.392128123336,"main"
"bombina_variegataK","HI","width",11.0060251073436,"main"
"bombina_variegataK","HI","pMin",0.0154187868997469,"main"
"bombina_variegataK","HI","pMax",0.759660760497269,"main"
"bombina_variegataK","HI","center",615.134943215965,"high"
"bombina_variegataK","HI","center",630.886329953151,"low"
"bombina_variegataK","HI","width",0.097315197029225,"high"
"bombina_variegataK","HI","width",51.1252618503976,"low"
"bombina_variegataK","HI","pMin",0.000116611636206364,"high"
"bombina_variegataK","HI","pMin",0.191331243578544,"low"
"bombina_variegataK","HI","pMax",0.666716320343562,"high"
"bombina_variegataK","HI","pMax",0.922727507437563,"low"
"bombina_variegataK","HII","center",524.965119338882,"main"
"bombina_variegataK","HII","width",552.274115450288,"main"
"bombina_variegataK","HII","pMin",0,"main"
"bombina_variegataK","HII","pMax",1,"main"
"bombina_variegataK","HII","center",304.386472615692,"high"
"bombina_variegataK","HII","center",597.514983604747,"low"
"bombina_variegataK","HII","width",283.810022799142,"high"
"bombina_variegataK","HII","width",1520.52357159058,"low"
"bombina_variegataK","QI","center",89.1990658065007,"main"
"bombina_variegataK","QI","width",672.555709553628,"main"
"bombina_variegataK","QI","pMin",0,"main"
"bombina_variegataK","QI","pMax",1,"main"
"bombina_variegataK","QI","center",-351.569277911865,"high"
"bombina_variegataK","QI","center",255.237826917754,"low"
"bombina_variegataK","QI","width",428.670069227889,"high"
"bombina_variegataK","QI","width",1352.61883138007,"low"
"bombina_variegataK","Q2","center",-321.184910212908,"main"
"bombina_variegataK","Q2","width",1262.20692609549,"main"
"bombina_variegataK","Q2","pMin",0,"main"
"bombina_variegataK","Q2","pMax",1,"main"
"bombina_variegataK","Q2","center",-138631431148.221,"high"
"bombina_variegataK","Q2","center",-101.46520018242,"low"
"bombina_variegataK","Q2","width",1159.99675038462,"high"
"bombina_variegataK","Q2","width",208816342586.776,"low"
"bombina_variegataK","genomic","center",627.88201401883,"main"
"bombina_variegataK","genomic","width",14.0543330646637,"main"
"bombina_variegataK","genomic","pMin",0,"main"
"bombina_variegataK","genomic","pMax",1,"main"
"bombina_variegataK","genomic","center",622.796595161144,"high"
"bombina_variegataK","genomic","center",632.272349988033,"low"
"bombina_variegataK","genomic","width",8.17347621806375,"high"
"bombina_variegataK","genomic","width",22.2627182829246,"low"
"bombina_variegataJ","HI","center",1242.39744143914,"main"
"bombina_variegataJ","HI","width",499.360437194659,"main"
"bombina_variegataJ","HI","pMin",0,"main"
"bombina_variegataJ","HI","pMax",1,"main"
"bombina_variegataJ","HI","center",931.135388115399,"high"
"bombina_variegataJ","HI","center",1322.02930006156,"low"
"bombina_variegataJ","HI","width",112.140788013239,"high"
"bombina_variegataJ","HI","width",1995.3266526696,"low"
"bombina_variegataJ","HII","center",1299.88423689783,"main"
"bombina_variegataJ","HII","width",358.850727391033,"main"
"bombina_variegataJ","HII","pMin",0,"main"
"bombina_variegataJ","HII","pMax",1,"main"
"bombina_variegataJ","HII","center",1082.76847668594,"high"
"bombina_variegataJ","HII","center",1401.00429667231,"low"
"bombina_variegataJ","HII","width",105.795171007324,"high"
"bombina_variegataJ","HII","width",2036.78696150692,"low"
"bombina_variegataJ","QI","center",1531.23415776685,"main"
"bombina_variegataJ","QI","width",4609.59296593738,"main"
"bombina_variegataJ","QI","pMin",0.007,"main"
"bombina_variegataJ","QI","pMax",0.9188,"main"
"bombina_variegataJ","QI","center",1410.58762489839,"high"
"bombina_variegataJ","QI","center",593691610522.768,"low"
"bombina_variegataJ","QI","width",2763.53310780086,"high"
"bombina_variegataJ","QI","width",3488217644378.03,"low"
"bombina_variegataJ","Q2","center",51.7470346832266,"main"
"bombina_variegataJ","Q2","width",4351.28945942349,"main"
"bombina_variegataJ","Q2","pMin",0.011,"main"
"bombina_variegataJ","Q2","pMax",0.967,"main"
"bombina_variegataJ","Q2","center",-19809.0781670421,"high"
"bombina_variegataJ","Q2","center",471.445120469692,"low"
"bombina_variegataJ","Q2","width",2407.30992206556,"high"
"bombina_variegataJ","Q2","width",91418.521244944,"low"
"bombina_variegataJ","genomic","center",1320.73705217117,"main"
"bombina_variegataJ","genomic","width",90.8547014184925,"main"
"bombina_variegataJ","genomic","pMin",0,"main"
"bombina_variegataJ","genomic","pMax",1,"main"
"bombina_variegataJ","genomic","center",1309.44730541775,"high"
"bombina_variegataJ","genomic","center",1335.84740275787,"low"
"bombina_variegataJ","genomic","width",49.5322111508317,"high"
"bombina_variegataJ","genomic","width",205.076607058525,"low"
