"HYBRID_ZONE","MARKER","PARAMETERS","VALUES","LEVEL"
"occidentalis_orbicularisA","HI","center",891.47722301241,"main"
"occidentalis_orbicularisA","HI","width",1.65462740881488,"main"
"occidentalis_orbicularisA","HI","pMin",0.390644240310716,"main"
"occidentalis_orbicularisA","HI","pMax",0.999910116953113,"main"
"occidentalis_orbicularisA","HI","center",874.162175767466,"high"
"occidentalis_orbicularisA","HI","center",965.351320476245,"low"
"occidentalis_orbicularisA","HI","width",0.00468665172681426,"high"
"occidentalis_orbicularisA","HI","width",113.950548815383,"low"
"occidentalis_orbicularisA","HI","pMin",0.306182957667752,"high"
"occidentalis_orbicularisA","HI","pMin",0.477970797308508,"low"
"occidentalis_orbicularisA","HI","pMax",0.94821028755561,"high"
"occidentalis_orbicularisA","HI","pMax",0.999999982597258,"low"
"occidentalis_orbicularisA","HII","center",786.129803287562,"main"
"occidentalis_orbicularisA","HII","width",662.212176401164,"main"
"occidentalis_orbicularisA","HII","pMin",0,"main"
"occidentalis_orbicularisA","HII","pMax",1,"main"
"occidentalis_orbicularisA","HII","center",685.08849128572,"high"
"occidentalis_orbicularisA","HII","center",851.959648186686,"low"
"occidentalis_orbicularisA","HII","width",404.692555034646,"high"
"occidentalis_orbicularisA","HII","width",1287.57463292425,"low"
"occidentalis_orbicularisA","QI","center",913.151424081395,"main"
"occidentalis_orbicularisA","QI","width",3.00998315986782,"main"
"occidentalis_orbicularisA","QI","pMin",0.0780238940717918,"main"
"occidentalis_orbicularisA","QI","pMax",0.970654926062653,"main"
"occidentalis_orbicularisA","QI","center",873.601676679437,"high"
"occidentalis_orbicularisA","QI","center",953.442382371677,"low"
"occidentalis_orbicularisA","QI","width",0.000545737380338807,"high"
"occidentalis_orbicularisA","QI","width",101.198663303,"low"
"occidentalis_orbicularisA","QI","pMin",0.0393773880278507,"high"
"occidentalis_orbicularisA","QI","pMin",0.135717715967108,"low"
"occidentalis_orbicularisA","QI","pMax",0.881326532989008,"high"
"occidentalis_orbicularisA","QI","pMax",0.998795442958983,"low"
"occidentalis_orbicularisA","Q2","center",919.380655668822,"main"
"occidentalis_orbicularisA","Q2","width",317.00134945337,"main"
"occidentalis_orbicularisA","Q2","pMin",0.027,"main"
"occidentalis_orbicularisA","Q2","pMax",0.9455,"main"
"occidentalis_orbicularisA","Q2","center",869.857875286587,"high"
"occidentalis_orbicularisA","Q2","center",990.31121973321,"low"
"occidentalis_orbicularisA","Q2","width",197.51826251393,"high"
"occidentalis_orbicularisA","Q2","width",546.417159000939,"low"
"occidentalis_orbicularisA","genomic","center",917.652226940588,"main"
"occidentalis_orbicularisA","genomic","width",64.3003968608346,"main"
"occidentalis_orbicularisA","genomic","pMin",0.0136771257070988,"main"
"occidentalis_orbicularisA","genomic","pMax",0.988678168665695,"main"
"occidentalis_orbicularisA","genomic","center",861.605795735293,"high"
"occidentalis_orbicularisA","genomic","center",944.611232554868,"low"
"occidentalis_orbicularisA","genomic","width",0.00330195932194499,"high"
"occidentalis_orbicularisA","genomic","width",97.9268147793989,"low"
"occidentalis_orbicularisA","genomic","pMin",0.00476476274280375,"high"
"occidentalis_orbicularisA","genomic","pMin",0.031889664347119,"low"
"occidentalis_orbicularisA","genomic","pMax",0.924408064393838,"high"
"occidentalis_orbicularisA","genomic","pMax",0.99992460643341,"low"
