"HYBRID_ZONE","LOCALITY","DISTANCE","H_INDEX_I","nSamples_H_I","H_INDEX_II","nSamples_H_II","Q_INDEX_I","nSamples_Q_I","Q_INDEX_II","nSamples_Q_II","genomic","nSamples_genomic"
"occidentalis_orbicularisA","Alcántara",69.3,0,1,0,1,1.3,1,20.2,1,0,1
"occidentalis_orbicularisA","Ares",1157.7,100,3,100,5,97.9333333333333,3,93.2,5,99.2,5
"occidentalis_orbicularisA","Arielz",851.2,24.33,10,61.68,5,3.02,10,34.42,5,1.34782608695652,23
"occidentalis_orbicularisA","Badine-Escudera",772.6,16.2,5,86.1,1,7.54,5,3.9,1,0.9,20
"occidentalis_orbicularisA","Bardenas-Reales-Natural-Park",781.2,37.3666666666667,18,43.05,12,5.17777777777778,18,23.5166666666667,12,1.25,40
"occidentalis_orbicularisA","Barranco-Valdelafuente",755.2,37.69,10,30.2571428571429,7,4.15,10,6.32857142857143,7,0.217391304347826,23
"occidentalis_orbicularisA","Bassussari",946.7,100,2,28.7,3,96.6,2,61.9666666666667,3,98.5,4
"occidentalis_orbicularisA","Brenne",1538.8,100,5,NA,NA,96.46,5,NA,NA,99.1111111111111,9
"occidentalis_orbicularisA","Cabanillas",742.4,59.35,4,51.66,5,1.425,4,10.38,5,0.6,5
"occidentalis_orbicularisA","Caparroso",783,54.66,10,37.775,4,2.5,10,4.975,4,0.72,25
"occidentalis_orbicularisA","Cedillo",0,0,1,0,1,22,1,9.9,1,1,1
"occidentalis_orbicularisA","Dax",1000.9,100,5,72.3333333333333,6,96.3,5,69,6,99.3333333333333,6
"occidentalis_orbicularisA","Doazon",982.8,100,5,97.22,5,97.06,5,58.32,5,97.6,5
"occidentalis_orbicularisA","Hourtin",1220.6,100,1,100,1,97.1,1,93.7,1,99,1
"occidentalis_orbicularisA","Irati-River",848.7,37.04,10,95.3666666666667,3,3.61,10,65.4333333333333,3,0.91304347826087,23
"occidentalis_orbicularisA","Le-Verdon-sur-Mer",1274.1,100,1,100,2,98.4,1,86.3,2,93,2
"occidentalis_orbicularisA","Marais-dOrx",975,100,5,40,5,97.72,5,71.32,5,89.25,8
"occidentalis_orbicularisA","Marais-de-Bruges",1194.8,100,4,89.675,4,97.8,4,94.55,4,99.6,5
"occidentalis_orbicularisA","Mezkiritz",883.3,0,1,32.5,1,1.3,1,2.7,1,3,1
"occidentalis_orbicularisA","Olite",806.5,0,1,86.1,1,1.7,1,3.5,1,1,1
"occidentalis_orbicularisA","Peralta",782.3,0,1,NA,NA,2.4,1,NA,NA,1,1
"occidentalis_orbicularisA","Pitillas",800.8,31.71,10,53.8428571428571,7,4.82,10,14.3714285714286,7,2.21052631578947,19
"occidentalis_orbicularisA","Rada",784.4,27.7,2,90.7333333333333,3,1.9,2,32.0333333333333,3,2.4,5
"occidentalis_orbicularisA","Sanatacara",791.9,38.78,5,49.2,7,13.66,5,8.44285714285714,7,0.85,20
"occidentalis_orbicularisA","Soto-Ramalete",758.7,53.63,10,72.9111111111111,9,31.86,10,14.4333333333333,9,0.35,20
"occidentalis_orbicularisA","Tenebron",176.2,0,1,0,1,1.2,1,18.8,1,1,1
"occidentalis_orbicularisA","The-Grand-Etang-La-Jemaye",1265.1,100,5,98.75,8,97.1,5,82.5375,8,99.5625,16
"occidentalis_orbicularisA","Traibuenas",789,24.4,1,86.1,1,0.5,1,4.2,1,1,1
"occidentalis_orbicularisA","Tudela",755.5,48.2333333333333,9,31.425,8,8.18888888888889,9,13.7,8,0.333333333333333,9
"occidentalis_orbicularisA","Ujue",809.7,60.94,10,37.9,7,13.09,10,20.3714285714286,7,1.3,20
"occidentalis_orbicularisA","Étang-Noir",991,100,1,90,1,96.2,1,71.4,1,100,3
"occidentalis_orbicularisA","Barranco-de-Pena-Blanca",851.9,NA,NA,NA,NA,NA,NA,NA,NA,0.65,20
"occidentalis_orbicularisA","Embalse-de-Cornalvo",88,NA,NA,NA,NA,NA,NA,NA,NA,1.25,4
"occidentalis_orbicularisA","Embalse-de-Cornalvo2",210.1,NA,NA,NA,NA,NA,NA,NA,NA,0,1
"occidentalis_orbicularisA","Le-Bassin-DAlboré",791.7,NA,NA,NA,NA,NA,NA,NA,NA,5.15,20
"occidentalis_orbicularisA","Sastoya",860.2,NA,NA,NA,NA,NA,NA,NA,NA,20.3333333333333,6
"occidentalis_orbicularisA","Tâmega-River",113.4,NA,NA,NA,NA,NA,NA,NA,NA,0.666666666666667,3
"occidentalis_orbicularisA","Urt",964.3,NA,NA,NA,NA,NA,NA,NA,NA,99,1
"occidentalis_orbicularisA","Val-de-Santía",776.4,NA,NA,NA,NA,NA,NA,NA,NA,4.41666666666667,12
"occidentalis_orbicularisA","Zarza-Capilla",181.6,NA,NA,NA,NA,NA,NA,NA,NA,2.83333333333333,6
"occidentalis_orbicularisA","Zuera-Salinas",753.7,NA,NA,NA,NA,NA,NA,NA,NA,2.1,20
