"HYBRID_ZONE","MARKER","PARAMETERS","VALUES","LEVEL"
"montandoni_vulgarisT","HI","center",24.2238520232954,"main"
"montandoni_vulgarisT","HI","width",39.9488644859682,"main"
"montandoni_vulgarisT","HI","pMin",0.656551724137931,"main"
"montandoni_vulgarisT","HI","pMax",0.979444444444444,"main"
"montandoni_vulgarisT","HI","center",19.6721430136486,"high"
"montandoni_vulgarisT","HI","center",30.3407342340909,"low"
"montandoni_vulgarisT","HI","width",21.4397229609057,"high"
"montandoni_vulgarisT","HI","width",112.360780008466,"low"
"montandoni_vulgarisT","HII","center",26.3121869221707,"main"
"montandoni_vulgarisT","HII","width",8.96213470147764,"main"
"montandoni_vulgarisT","HII","pMin",0.487872686090612,"main"
"montandoni_vulgarisT","HII","pMax",0.919346666496062,"main"
"montandoni_vulgarisT","HII","center",23.9892073078678,"high"
"montandoni_vulgarisT","HII","center",28.9392687897792,"low"
"montandoni_vulgarisT","HII","width",0.223154972057181,"high"
"montandoni_vulgarisT","HII","width",20.3297232163301,"low"
"montandoni_vulgarisT","HII","pMin",0.411390494319926,"high"
"montandoni_vulgarisT","HII","pMin",0.544908261053105,"low"
"montandoni_vulgarisT","HII","pMax",0.788529823774843,"high"
"montandoni_vulgarisT","HII","pMax",0.977571677697365,"low"
"montandoni_vulgarisT","QI","center",28.31331107286,"main"
"montandoni_vulgarisT","QI","width",14.6319117993097,"main"
"montandoni_vulgarisT","QI","pMin",0.00776666666666667,"main"
"montandoni_vulgarisT","QI","pMax",0.992571428571429,"main"
"montandoni_vulgarisT","QI","center",27.1834445937604,"high"
"montandoni_vulgarisT","QI","center",29.7529467632353,"low"
"montandoni_vulgarisT","QI","width",11.6669208237723,"high"
"montandoni_vulgarisT","QI","width",18.6195815830294,"low"
"montandoni_vulgarisT","Q2","center",27.9996118400244,"main"
"montandoni_vulgarisT","Q2","width",12.0763363623976,"main"
"montandoni_vulgarisT","Q2","pMin",0.136266886435117,"main"
"montandoni_vulgarisT","Q2","pMax",0.955924644644579,"main"
"montandoni_vulgarisT","Q2","center",26.4796058715577,"high"
"montandoni_vulgarisT","Q2","center",29.7504090342714,"low"
"montandoni_vulgarisT","Q2","width",8.70580558633835,"high"
"montandoni_vulgarisT","Q2","width",17.9074710536598,"low"
"montandoni_vulgarisT","Q2","pMin",0.0878041186050681,"high"
"montandoni_vulgarisT","Q2","pMin",0.184901584316448,"low"
"montandoni_vulgarisT","Q2","pMax",0.864555260872464,"high"
"montandoni_vulgarisT","Q2","pMax",0.996115544730629,"low"
"montandoni_vulgarisT","genomic","center",25.0435789735102,"main"
"montandoni_vulgarisT","genomic","width",12.4712533743068,"main"
"montandoni_vulgarisT","genomic","pMin",0.00966626666666665,"main"
"montandoni_vulgarisT","genomic","pMax",0.999989999599984,"main"
"montandoni_vulgarisT","genomic","center",24.1699914670838,"high"
"montandoni_vulgarisT","genomic","center",26.0550778466529,"low"
"montandoni_vulgarisT","genomic","width",9.89582020162533,"high"
"montandoni_vulgarisT","genomic","width",16.0950650933832,"low"
"montandoni_vulgarisS","HI","center",123.26595338189,"main"
"montandoni_vulgarisS","HI","width",26.2650858104862,"main"
"montandoni_vulgarisS","HI","pMin",0.6375,"main"
"montandoni_vulgarisS","HI","pMax",1,"main"
"montandoni_vulgarisS","HI","center",119.633252131279,"high"
"montandoni_vulgarisS","HI","center",128.028856352619,"low"
"montandoni_vulgarisS","HI","width",14.9890855381966,"high"
"montandoni_vulgarisS","HI","width",53.652588421789,"low"
"montandoni_vulgarisS","HII","center",119.211098669882,"main"
"montandoni_vulgarisS","HII","width",0.289909987437246,"main"
"montandoni_vulgarisS","HII","pMin",0.471932101848091,"main"
"montandoni_vulgarisS","HII","pMax",0.836580241859927,"main"
"montandoni_vulgarisS","HII","center",119.012268033456,"high"
"montandoni_vulgarisS","HII","center",119.874947963665,"low"
"montandoni_vulgarisS","HII","width",0.000828434155409674,"high"
"montandoni_vulgarisS","HII","width",2.35715379099247,"low"
"montandoni_vulgarisS","HII","pMin",0.417251349741948,"high"
"montandoni_vulgarisS","HII","pMin",0.523234650066151,"low"
"montandoni_vulgarisS","HII","pMax",0.77082162920188,"high"
"montandoni_vulgarisS","HII","pMax",0.885532465946884,"low"
"montandoni_vulgarisS","QI","center",119.660921432286,"main"
"montandoni_vulgarisS","QI","width",0.0610911357452655,"main"
"montandoni_vulgarisS","QI","pMin",0.0878527556703988,"main"
"montandoni_vulgarisS","QI","pMax",0.664860380548811,"main"
"montandoni_vulgarisS","QI","center",119.003709281185,"high"
"montandoni_vulgarisS","QI","center",119.887424590427,"low"
"montandoni_vulgarisS","QI","width",6.14340760793919e-05,"high"
"montandoni_vulgarisS","QI","width",0.808839670251885,"low"
"montandoni_vulgarisS","QI","pMin",0.0609551617721133,"high"
"montandoni_vulgarisS","QI","pMin",0.121385630179939,"low"
"montandoni_vulgarisS","QI","pMax",0.587154639614932,"high"
"montandoni_vulgarisS","QI","pMax",0.736374273509169,"low"
"montandoni_vulgarisS","Q2","center",119.524408072083,"main"
"montandoni_vulgarisS","Q2","width",0.403598934272945,"main"
"montandoni_vulgarisS","Q2","pMin",0.214881248301908,"main"
"montandoni_vulgarisS","Q2","pMax",0.676388909883841,"main"
"montandoni_vulgarisS","Q2","center",119.030669544641,"high"
"montandoni_vulgarisS","Q2","center",129.048973131152,"low"
"montandoni_vulgarisS","Q2","width",0.00519125730276049,"high"
"montandoni_vulgarisS","Q2","width",27.2440389930308,"low"
"montandoni_vulgarisS","Q2","pMin",0.142855063064127,"high"
"montandoni_vulgarisS","Q2","pMin",0.254744502329137,"low"
"montandoni_vulgarisS","Q2","pMax",0.611864067749916,"high"
"montandoni_vulgarisS","Q2","pMax",0.999936476064211,"low"
"montandoni_vulgarisS","genomic","center",123.304766793497,"main"
"montandoni_vulgarisS","genomic","width",19.2611485325097,"main"
"montandoni_vulgarisS","genomic","pMin",4.30017200687693e-05,"main"
"montandoni_vulgarisS","genomic","pMax",0.99999,"main"
"montandoni_vulgarisS","genomic","center",121.838151149521,"high"
