HYBRID_ZONE,LOCALITY,DISTANCE,H_INDEX_I,nSamples_H_I,H_INDEX_II,nSamples_H_II,Q_INDEX_I,nSamples_Q_I,Q_INDEX_II,nSamples_Q_II,genomic,nSamples_genomic
montandoni_vulgarisT,Ardeluţa,1.5,72.0566666666667,30,54.7333333333333,30,2.29666666666667,30,14.7566666666667,30,1.06346,15
montandoni_vulgarisL,Arieseni,343.1,98.4,5,100,5,98.56,5,83.56,5,99.9989714674793,5
montandoni_vulgarisR,Arieseni,282.7,98.4,5,100,5,98.56,5,83.56,5,99.9989714674793,5
montandoni_vulgarisR,Arşiţa1,38.1,93.52,15,80,15,87.4733333333333,15,79.4466666666667,15,94.1233333333333,15
montandoni_vulgarisL,Bogdana,250.8,100,5,100,5,94.8,5,81.04,5,99.9989999599984,5
montandoni_vulgarisR,Bogdana,259.3,100,5,100,5,94.8,5,81.04,5,99.9989999599984,5
montandoni_vulgarisT,Bolătău,21.9,82.16,30,53.3133333333333,30,3.86333333333333,30,11.18,30,1.41708,15
montandoni_vulgarisT,Borleşti,32.1,96.5066666666667,15,96.9,15,94.4466666666667,15,88.82,15,99.4955733333333,15
montandoni_vulgarisT,Brateş,0,65.6551724137931,29,51.8344827586207,29,6.03103448275862,29,24.4413793103448,29,7.97852666666667,15
montandoni_vulgarisR,Brădeţelu1,31.6,90.8,8,72.775,8,46.4625,8,52.175,8,70.3424571428571,7
montandoni_vulgarisR,Brădeţelu3,24,80.8466666666667,30,65.51,30,3.73,30,21.7633333333333,30,6.84671333333333,15
montandoni_vulgarisR,Brădeţelu4,25.6,80.05,30,59.9566666666667,30,3.26,30,26.7966666666667,30,7.66798,15
montandoni_vulgarisS,Bălăceana,131.6,97.225,4,100,4,99.475,4,92.55,4,99.999,4
montandoni_vulgarisT,Băsăşti,47.7,95.935,20,87.8789473684211,19,95.655,20,92.7,19,99.98834,20
montandoni_vulgarisS,Capu-Cămpului1,116.5,82.645,20,64.985,20,45.345,20,47.24,20,66.27386,15
montandoni_vulgarisS,Capu-Cămpului2,114.4,64.1366666666667,30,32.17,30,4.33333333333333,30,22.75,30,0.0297133333333292,15
montandoni_vulgarisL,Carpeniş,363.9,100,5,93.84,5,95.12,5,97.12,5,100,5
montandoni_vulgarisR,Carpeniş,250.8,100,5,93.84,5,95.12,5,97.12,5,100,5
montandoni_vulgarisL,Casele-Micesti,301.6,99.475,4,91.925,4,95.075,4,94.825,4,100,4
montandoni_vulgarisR,Casele-Micesti,196.9,99.475,4,91.925,4,95.075,4,94.825,4,100,4
montandoni_vulgarisS,Ciprian-Porumbescu1,131.4,98.4333333333333,18,88.3833333333333,18,99.0055555555556,18,94.2888888888889,18,99.9005444444444,20
montandoni_vulgarisS,Ciprian-Porumbescu2,126.1,63.75,2,100,2,0.85,2,11.2,3,25.92485,2
