"HYBRID_ZONE","LOCALITY","DISTANCE","H_INDEX_I","nSamples_H_I","H_INDEX_II","nSamples_H_II","Q_INDEX_I","nSamples_Q_I","Q_INDEX_II","nSamples_Q_II","genomic","nSamples_genomic"
"helvetica_natrixHN2","Aargau-Böttstein",1114.1,0,2,11.15,2,2.2,2,1.1,2,0.35,4
"helvetica_natrixHN2","Aargau-Eiken",1087.3,7.26666666666667,3,26.4,1,58.6,3,6.4,1,18.5705114015701,6
"helvetica_natrixHN2","Aargau-Rietheim",1119.4,91.6,1,61.6,1,92.1,1,59.7,1,86.65,2
"astreptophora_helveticaAH","Ariege-Bélesta",1250.4,54.9,2,86.8,2,2.9,2,53.6,2,52.75,2
"astreptophora_helveticaAH","Ariege-Fougax-et-Barrineuf",1244.4,0,1,92.4,1,1.7,1,63.6,1,98.5,1
"astreptophora_helveticaAH","Ariege-La-Bastide-de-Bousignac",1265.9,74.2,1,100,1,7.6,1,71.5,1,85.8666666666667,3
"astreptophora_helveticaAH","Ariege-Lac-de-Montbel",1262,31.7,1,64.2,1,2.7,1,0.4,1,20.5,1
"astreptophora_helveticaAH","Ariege-Malegoude",1274.3,34.2,1,NA,NA,1.8,1,NA,NA,76.2,1
"astreptophora_helveticaAH","Ariege-Mirepoix",1271.7,34.2,1,NA,NA,1.6,1,NA,NA,83.3,1
"astreptophora_helveticaAH","Ariege-Montbel",1260.8,0,1,NA,NA,1.8,1,NA,NA,61.2,1
"astreptophora_helveticaAH","Ariege-Prades",1230.9,0,1,88.5,1,1.4,1,37.4,1,91.6,1
"astreptophora_helveticaAH","Ariege-Verdun",1224.1,0,1,77,1,1.4,1,11.5,1,98.3,1
"astreptophora_helveticaAH","Aude-Escueillens-et-Saint-Just-de-Bélengard",1280.1,75.6,1,79.4,1,3,1,42.3,1,64,1
"astreptophora_helveticaAH","Aude-Malvies",1292.7,0,1,54.6,1,1.3,1,0.5,1,45.1,1
"astreptophora_helveticaAH","Aude-Puivert",1261.2,36.6,1,31,1,3,1,0.4,1,20.9,1
"astreptophora_helveticaAH","Aude-Saissac",1323.5,36.6,1,83.8,1,3.2,1,5.2,1,78.6,1
"astreptophora_helveticaAH","Aveyron-Laguiole",1530.4,34.2,1,100,1,1.8,1,99.5,1,99.700449326011,1
"astreptophora_helveticaAH","Aveyron-St-Chely-dAubrac",1519.3,100,1,89,1,97.7,1,26.5,1,99.75,2
"helvetica_natrixHN2","Baden-Württemberg-Alexanderschanze",1185.3,100,1,35.4,1,95.7,1,9.2,1,1.88866799204772,1
"helvetica_natrixHN2","Baden-Württemberg-Bad-Waldsee",1294.4,44.7,1,100,1,96,1,99.3,1,94.3,1
"helvetica_natrixHN2","Baden-Württemberg-Freudenstadt",1196.9,0,1,82.8,1,95.5,1,89.6,1,69.3,1
"helvetica_natrixHN2","Baden-Württemberg-Harpolingen",1089.7,12.3,1,63.9,1,96.6,1,65.3,1,1.78926441351888,1
