HYBRID_ZONE,MARKER,PARAMETERS,VALUES,LEVEL
aegyptiaca_senegalensisA,HI,center,3690.42564297308,main
aegyptiaca_senegalensisA,HI,width,1426.13455788189,main
aegyptiaca_senegalensisA,HI,pMin,0,main
aegyptiaca_senegalensisA,HI,pMax,1,main
aegyptiaca_senegalensisA,HI,center,3407.11936904516,high
aegyptiaca_senegalensisA,HI,center,4688.36656134628,low
aegyptiaca_senegalensisA,HI,width,702.087402599451,high
aegyptiaca_senegalensisA,HI,width,3824.77580271968,low
aegyptiaca_senegalensisA,HII,center,3735.63800492719,main
aegyptiaca_senegalensisA,HII,width,2006.69063052889,main
aegyptiaca_senegalensisA,HII,pMin,0,main
aegyptiaca_senegalensisA,HII,pMax,1,main
aegyptiaca_senegalensisA,HII,center,3401.00000237805,high
aegyptiaca_senegalensisA,HII,center,4723.90176115031,low
aegyptiaca_senegalensisA,HII,width,1009.1767297668,high
aegyptiaca_senegalensisA,HII,width,4845.01535949155,low
aegyptiaca_senegalensisA,Q2,center,3118.65845687377,main
aegyptiaca_senegalensisA,Q2,width,31.0112843496282,main
aegyptiaca_senegalensisA,Q2,pMin,0.211549311809579,main
aegyptiaca_senegalensisA,Q2,pMax,0.838547688935866,main
aegyptiaca_senegalensisA,Q2,center,3098.19204716844,high
aegyptiaca_senegalensisA,Q2,center,3133.90701461129,low
aegyptiaca_senegalensisA,Q2,width,0.0143970189271645,high
aegyptiaca_senegalensisA,Q2,width,88.0373813249601,low
aegyptiaca_senegalensisA,Q2,pMin,0.12206914100572,high
aegyptiaca_senegalensisA,Q2,pMin,0.322119255016446,low
aegyptiaca_senegalensisA,Q2,pMax,0.720348691366934,high
aegyptiaca_senegalensisA,Q2,pMax,0.925006357910491,low
aegyptiaca_senegalensisA,genomic,center,3121.831372664,main
aegyptiaca_senegalensisA,genomic,width,32.0761728904149,main
aegyptiaca_senegalensisA,genomic,pMin,0.000449101849153536,main
aegyptiaca_senegalensisA,genomic,pMax,0.993732561952505,main
aegyptiaca_senegalensisA,genomic,center,3113.98314029579,high
aegyptiaca_senegalensisA,genomic,center,3133.99268846059,low
aegyptiaca_senegalensisA,genomic,width,0.858869795844505,high
aegyptiaca_senegalensisA,genomic,width,51.9599507893004,low
aegyptiaca_senegalensisA,genomic,pMin,8.1611855426364E-06,high
aegyptiaca_senegalensisA,genomic,pMin,0.0362166820642776,low
aegyptiaca_senegalensisA,genomic,pMax,0.937959732045706,high
aegyptiaca_senegalensisA,genomic,pMax,0.999922382104862,low
