HYBRID_ZONE,LOCALITY,DISTANCE,H_INDEX_I,nSamples_H_I,H_INDEX_II,nSamples_H_II,Q_INDEX_I,nSamples_Q_I,Q_INDEX_II,nSamples_Q_II,genomic,nSamples_genomic
aegyptiaca_senegalensisA,Annaba,3368.1,22.2571428571429,14,16.6428571428571,14,0.00714285714285714,14,96.2142857142857,14,99.1983928571429,14
aegyptiaca_senegalensisA,Bahiret-el-Bibane,2455.2,0.0333333333333333,15,0,15,0.0133333333333333,15,37.0133333333333,15,0.00357142857142857,15
aegyptiaca_senegalensisA,Bardawil,0,0,18,0,18,0.00555555555555556,18,8.32222222222222,18,0.00316111111111111,18
aegyptiaca_senegalensisA,Bizerte,3134.3,21.9586206896552,29,36.1586206896552,29,0.117241379310345,29,76.0551724137931,29,82.7297178571429,29
aegyptiaca_senegalensisA,Chergui,2647.5,4.41428571428571,14,7.14285714285714,14,0.0142857142857143,14,20.3285714285714,14,0.00348461538461538,14
aegyptiaca_senegalensisA,Dakar,7950.1,100,9,100,9,0.133333333333333,9,52.9333333333333,9,99.9961444444444,9
aegyptiaca_senegalensisA,Lake-Mellach,3308.7,21.8,9,31.4777777777778,9,0.744444444444444,9,87.6444444444444,9,99.90725,9
aegyptiaca_senegalensisA,Rabat,5120.1,100,1,100,1,7.2,1,32.2,1,100,1
aegyptiaca_senegalensisA,Tabarka,3259.3,36.61,10,18.68,10,0.02,10,96.38,10,98.60425,10
aegyptiaca_senegalensisA,Tunis,2933.3,42.2333333333333,6,66.6666666666667,6,4.83333333333333,6,26.75,6,0.0052,6
aegyptiaca_senegalensisA,Tunis2,3097.9,2.05,20,10,20,0.025,20,24.865,20,4.17313,20
