"HYBRID_ZONE","MARKER","PARAMETERS","VALUES","LEVEL"
"nuchalis_ruberNR","HI","center",2242.79739263509,"main"
"nuchalis_ruberNR","HI","width",458.09208719429,"main"
"nuchalis_ruberNR","HI","pMin",0,"main"
"nuchalis_ruberNR","HI","pMax",1,"main"
"nuchalis_ruberNR","HI","center",2041.96237122422,"high"
"nuchalis_ruberNR","HI","center",2396.92025035901,"low"
"nuchalis_ruberNR","HI","width",250.040917182326,"high"
"nuchalis_ruberNR","HI","width",2853.45544787382,"low"
"nuchalis_ruberNR","HII","center",2221.81598735895,"main"
"nuchalis_ruberNR","HII","width",382.8036477318,"main"
"nuchalis_ruberNR","HII","pMin",0,"main"
"nuchalis_ruberNR","HII","pMax",1,"main"
"nuchalis_ruberNR","HII","center",1982.78142842162,"high"
"nuchalis_ruberNR","HII","center",2304.62565536313,"low"
"nuchalis_ruberNR","HII","width",169.894945166557,"high"
"nuchalis_ruberNR","HII","width",2354.92871312609,"low"
"nuchalis_ruberNR","genomic","center",2228.60564730517,"main"
"nuchalis_ruberNR","genomic","width",60.2563343310612,"main"
"nuchalis_ruberNR","genomic","pMin",0,"main"
"nuchalis_ruberNR","genomic","pMax",1,"main"
"nuchalis_ruberNR","genomic","center",2214.82922199873,"high"
"nuchalis_ruberNR","genomic","center",2254.73357394743,"low"
"nuchalis_ruberNR","genomic","width",25.6477971989317,"high"
"nuchalis_ruberNR","genomic","width",149.809132295803,"low"
