"HYBRID_ZONE","LOCALITY","DISTANCE","H_INDEX_I","nSamples_H_I","H_INDEX_II","nSamples_H_II","Q_INDEX_I","nSamples_Q_I","Q_INDEX_II","nSamples_Q_II","genomic","nSamples_genomic"
"nuchalis_ruberNR","Sphyrapicus135",84.9,0,1,0,1,65.9,1,97.8,1,0,1
"nuchalis_ruberNR","Sphyrapicus136",0,0,1,0,1,42.4,1,97.2,1,0,1
"nuchalis_ruberNR","Sphyrapicus137",121.8,0,3,1.3,3,56.2666666666667,3,34.9666666666667,3,0,3
"nuchalis_ruberNR","Sphyrapicus138",225.5,0,3,1.3,3,21.3,3,44.8333333333333,3,0,3
"nuchalis_ruberNR","Sphyrapicus139",237.8,0,1,0,1,68.2,1,15,1,0,1
"nuchalis_ruberNR","Sphyrapicus140",8.59999999999999,1.8,1,0,1,11.9,1,13.7,1,0,1
"nuchalis_ruberNR","Sphyrapicus144",2447.8,100,1,100,1,6,1,7.4,1,100,1
"nuchalis_ruberNR","Sphyrapicus145",2457,100,1,100,1,7.9,1,5.8,1,100,1
"nuchalis_ruberNR","Sphyrapicus146",2513.6,100,1,79,1,76.9,1,96.6,1,100,1
"nuchalis_ruberNR","Sphyrapicus147",2514.1,100,1,92,1,6.1,1,1.7,1,100,1
"nuchalis_ruberNR","Sphyrapicus151",2217.1,22.3,1,0,1,4.7,1,96.1,1,0.001,1
"nuchalis_ruberNR","Sphyrapicus152",2213.6,70.25,2,100,2,30.7,2,38.55,2,50,2
"nuchalis_ruberNR","Sphyrapicus153",2202.8,51.9,2,58.95,2,10.05,2,44.25,2,0.001,2
"nuchalis_ruberNR","Sphyrapicus154",2221,22,1,61.7,1,57.1,1,50.4,1,0.001,1
"nuchalis_ruberNR","Sphyrapicus155",2316.3,54.6,1,100,1,71.8,1,9.6,1,99.999,1
"nuchalis_ruberNR","Sphyrapicus156",2202.9,23.3,1,1,1,71.6,1,10.5,1,0.001,1
"nuchalis_ruberNR","Sphyrapicus157",2271.6,55.1,1,83,1,92.3,1,2.1,1,99.999,1
"nuchalis_ruberNR","Sphyrapicus158",2210.5,30.9,1,56.9,1,71,1,5.8,1,0.001,1
"nuchalis_ruberNR","Sphyrapicus159",2304.2,80.65,2,100,2,24.45,2,9.55,2,99.999,2
"nuchalis_ruberNR","Sphyrapicus160",2233.4,43.3,1,76.6,1,25.7,1,5.3,1,99.999,1
"nuchalis_ruberNR","Sphyrapicus161",2317.4,NA,NA,59.7,1,NA,NA,8.9,1,99.999,1
"nuchalis_ruberNR","Sphyrapicus162",2309.8,0,1,92,1,9.6,1,2,1,99.999,1
"nuchalis_ruberNR","Sphyrapicus163",2329.7,76.7,1,84,1,5.8,1,3.2,1,99.999,1
"nuchalis_ruberNR","Sphyrapicus164",2333.2,70.5,1,100,1,4.2,1,6,1,99.999,1
"nuchalis_ruberNR","Sphyrapicus165",2303.6,28.1,1,60.6,1,89,1,97.5,1,99.999,1
"nuchalis_ruberNR","Sphyrapicus166",2202.8,61.6,1,0,1,5.1,1,17.6,1,0.001,1
"nuchalis_ruberNR","Sphyrapicus167",2201.1,51.3,1,69.5,1,4.7,1,96.1,1,0.001,1
"nuchalis_ruberNR","Sphyrapicus168",2213.8,77.8,1,3.5,1,20.8,1,97.5,1,0.001,1
"nuchalis_ruberNR","Sphyrapicus169",2220.3,44.8,2,59,2,5.15,2,46.7,2,50,2
"nuchalis_ruberNR","Sphyrapicus170",2203,78.3,1,100,1,31.5,1,7.1,1,0.001,1
"nuchalis_ruberNR","Sphyrapicus171",2207.1,71.3,1,58.8,1,29.8,1,97.8,1,99.999,1
"nuchalis_ruberNR","Sphyrapicus172",2205.2,44.25,2,11.45,2,22.25,2,88.05,2,0.001,2
"nuchalis_ruberNR","Sphyrapicus173",2228.3,19.35,2,1.75,2,40.05,2,97.05,2,31.35975,2
"nuchalis_ruberNR","Sphyrapicus174",2179.7,25.25,2,1.75,2,29.3,2,94.65,2,31.61655,2
"nuchalis_ruberNR","Sphyrapicus175",2311.7,62,1,67.8,1,70.4,1,14.4,1,99.999,1
"nuchalis_ruberNR","Sphyrapicus176",2216.9,32.55,2,51.75,2,10.95,2,53.45,2,50,2
"nuchalis_ruberNR","Sphyrapicus177",2202.9,20.8,1,0,1,6.3,1,96.5,1,0.001,1
"nuchalis_ruberNR","Sphyrapicus178",2309,60,1,100,1,34.5,1,6.6,1,99.999,1
