"HYBRID_ZONE","MARKER","PARAMETERS","VALUES","LEVEL"
"ivanbureschi_macedonicus","HI","center",31.819013441827,"main"
"ivanbureschi_macedonicus","HI","width",130.811271260338,"main"
"ivanbureschi_macedonicus","HI","pMin",0,"main"
"ivanbureschi_macedonicus","HI","pMax",1,"main"
"ivanbureschi_macedonicus","HI","center",18.9863835323291,"high"
"ivanbureschi_macedonicus","HI","center",46.0505794685546,"low"
"ivanbureschi_macedonicus","HI","width",95.0745766348287,"high"
"ivanbureschi_macedonicus","HI","width",188.372743571333,"low"
"ivanbureschi_macedonicus","HII","center",2.64995642421016,"main"
"ivanbureschi_macedonicus","HII","width",7.79346162131095,"main"
"ivanbureschi_macedonicus","HII","pMin",0,"main"
"ivanbureschi_macedonicus","HII","pMax",1,"main"
"ivanbureschi_macedonicus","HII","center",-1.61999608578555,"high"
"ivanbureschi_macedonicus","HII","center",5.26564679995104,"low"
"ivanbureschi_macedonicus","HII","width",3.26409763978776,"high"
"ivanbureschi_macedonicus","HII","width",16.6473246221935,"low"
"ivanbureschi_macedonicus","QI","center",1.87256505182612,"main"
"ivanbureschi_macedonicus","QI","width",9.50389213959143,"main"
"ivanbureschi_macedonicus","QI","pMin",0.001,"main"
"ivanbureschi_macedonicus","QI","pMax",0.999,"main"
"ivanbureschi_macedonicus","QI","center",-2.4484408404836,"high"
"ivanbureschi_macedonicus","QI","center",4.88859248200144,"low"
"ivanbureschi_macedonicus","QI","width",3.74362756328941,"high"
"ivanbureschi_macedonicus","QI","width",19.2093868759093,"low"
"ivanbureschi_macedonicus","Q2","center",2.11051419150415,"main"
"ivanbureschi_macedonicus","Q2","width",8.12356261457147,"main"
"ivanbureschi_macedonicus","Q2","pMin",0.007,"main"
"ivanbureschi_macedonicus","Q2","pMax",0.988666666666667,"main"
"ivanbureschi_macedonicus","Q2","center",-2.49544820720345,"high"
"ivanbureschi_macedonicus","Q2","center",5.01858088464879,"low"
"ivanbureschi_macedonicus","Q2","width",0.122938399110073,"high"
"ivanbureschi_macedonicus","Q2","width",17.9797041899341,"low"
"ivanbureschi_macedonicus","genomic","center",0.509742861985297,"main"
"ivanbureschi_macedonicus","genomic","width",34.6940799229592,"main"
"ivanbureschi_macedonicus","genomic","pMin",0.000826356855304241,"main"
"ivanbureschi_macedonicus","genomic","pMax",0.995567246428111,"main"
"ivanbureschi_macedonicus","genomic","center",-3.47776354389658,"high"
"ivanbureschi_macedonicus","genomic","center",4.8184653371584,"low"
"ivanbureschi_macedonicus","genomic","width",23.3598942615749,"high"
"ivanbureschi_macedonicus","genomic","width",47.8606547092172,"low"
"ivanbureschi_macedonicus","genomic","pMin",1.15535647187918e-05,"high"
"ivanbureschi_macedonicus","genomic","pMin",0.0112751465399507,"low"
"ivanbureschi_macedonicus","genomic","pMax",0.961793002158667,"high"
"ivanbureschi_macedonicus","genomic","pMax",0.999988698551447,"low"
"cristatus_macedonicus","HI","center",86.7340794542596,"main"
"cristatus_macedonicus","HI","width",311.903188149886,"main"
"cristatus_macedonicus","HI","pMin",0,"main"
"cristatus_macedonicus","HI","pMax",1,"main"
"cristatus_macedonicus","HI","center",50.7021954168084,"high"
"cristatus_macedonicus","HI","center",120.087901726598,"low"
"cristatus_macedonicus","HI","width",232.12783520234,"high"
"cristatus_macedonicus","HI","width",441.571667147255,"low"
"cristatus_macedonicus","HII","center",8.56973885650709,"main"
"cristatus_macedonicus","HII","width",20.7811604365981,"main"
"cristatus_macedonicus","HII","pMin",0.00112735198575933,"main"
"cristatus_macedonicus","HII","pMax",0.827201351083559,"main"
"cristatus_macedonicus","HII","center",-14.6080499268337,"high"
"cristatus_macedonicus","HII","center",34.6173925033516,"low"
"cristatus_macedonicus","HII","width",0.00202728218672377,"high"
"cristatus_macedonicus","HII","width",98.1879742232132,"low"
"cristatus_macedonicus","HII","pMin",8.87745200184309e-07,"high"
"cristatus_macedonicus","HII","pMin",0.0438976362045419,"low"
"cristatus_macedonicus","HII","pMax",0.742438876499944,"high"
"cristatus_macedonicus","HII","pMax",0.893252435440911,"low"
"cristatus_macedonicus","QI","center",3.59058270502486,"main"
"cristatus_macedonicus","QI","width",27.0846113850275,"main"
"cristatus_macedonicus","QI","pMin",0.00133333333333333,"main"
"cristatus_macedonicus","QI","pMax",0.999,"main"
"cristatus_macedonicus","QI","center",-9.53364805979765,"high"
"cristatus_macedonicus","QI","center",17.4186078025878,"low"
"cristatus_macedonicus","QI","width",2.12991712716973,"high"
"cristatus_macedonicus","QI","width",58.0197948964044,"low"
"cristatus_macedonicus","Q2","center",7.16902899141386,"main"
"cristatus_macedonicus","Q2","width",27.2838607239306,"main"
"cristatus_macedonicus","Q2","pMin",0.00933333333333333,"main"
"cristatus_macedonicus","Q2","pMax",0.990333333333333,"main"
"cristatus_macedonicus","Q2","center",-6.49396917273946,"high"
"cristatus_macedonicus","Q2","center",22.1219083661192,"low"
"cristatus_macedonicus","Q2","width",2.93408009377916,"high"
"cristatus_macedonicus","Q2","width",63.6736194638477,"low"
"cristatus_macedonicus","genomic","center",1.92032170672508,"main"
"cristatus_macedonicus","genomic","width",13.0073142073058,"main"
"cristatus_macedonicus","genomic","pMin",0.00123389822135145,"main"
"cristatus_macedonicus","genomic","pMax",0.998797192101178,"main"
"cristatus_macedonicus","genomic","center",-13.5497971776263,"high"
"cristatus_macedonicus","genomic","center",11.653447682778,"low"
"cristatus_macedonicus","genomic","width",0.114789985060137,"high"
"cristatus_macedonicus","genomic","width",35.3024923736741,"low"
"cristatus_macedonicus","genomic","pMin",8.30418292638094e-05,"high"
"cristatus_macedonicus","genomic","pMin",0.0163104518472522,"low"
"cristatus_macedonicus","genomic","pMax",0.984604138684883,"high"
"cristatus_macedonicus","genomic","pMax",0.999939761429656,"low"
"cristatus_ivanbureschi","HI","center",-3.98592795361361,"main"
"cristatus_ivanbureschi","HI","width",49.2793872589711,"main"
"cristatus_ivanbureschi","HI","pMin",0.0127366107481816,"main"
"cristatus_ivanbureschi","HI","pMax",0.985414333874207,"main"
"cristatus_ivanbureschi","HI","center",-13.5969299436323,"high"
"cristatus_ivanbureschi","HI","center",8.42459706229563,"low"
"cristatus_ivanbureschi","HI","width",0.0867857859856294,"high"
"cristatus_ivanbureschi","HI","width",111.131624656523,"low"
"cristatus_ivanbureschi","HI","pMin",2.6019655280804e-05,"high"
"cristatus_ivanbureschi","HI","pMin",0.181449190897753,"low"
"cristatus_ivanbureschi","HI","pMax",0.947210570190488,"high"
"cristatus_ivanbureschi","HI","pMax",0.999840353209244,"low"
"cristatus_ivanbureschi","HII","center",-29.3239254782233,"main"
"cristatus_ivanbureschi","HII","width",92.1024497705945,"main"
"cristatus_ivanbureschi","HII","pMin",0,"main"
"cristatus_ivanbureschi","HII","pMax",1,"main"
"cristatus_ivanbureschi","HII","center",-60.0637341323393,"high"
"cristatus_ivanbureschi","HII","center",-13.5410541943788,"low"
"cristatus_ivanbureschi","HII","width",51.4386754844381,"high"
"cristatus_ivanbureschi","HII","width",180.44889961254,"low"
"cristatus_ivanbureschi","QI","center",-0.975922215249628,"main"
"cristatus_ivanbureschi","QI","width",15.9110522335511,"main"
"cristatus_ivanbureschi","QI","pMin",0.00166666666666667,"main"
"cristatus_ivanbureschi","QI","pMax",0.999,"main"
"cristatus_ivanbureschi","QI","center",-5.86917728252254,"high"
"cristatus_ivanbureschi","QI","center",5.2663771867427,"low"
"cristatus_ivanbureschi","QI","width",3.90903214935404,"high"
"cristatus_ivanbureschi","QI","width",35.9418235255096,"low"
"cristatus_ivanbureschi","Q2","center",2.50192652712801,"main"
"cristatus_ivanbureschi","Q2","width",3.06622945422922,"main"
"cristatus_ivanbureschi","Q2","pMin",0.134454864013066,"main"
"cristatus_ivanbureschi","Q2","pMax",0.739773618478547,"main"
"cristatus_ivanbureschi","Q2","center",-4.96176047019477,"high"
"cristatus_ivanbureschi","Q2","center",9.09521843704271,"low"
"cristatus_ivanbureschi","Q2","width",0.0236412679550959,"high"
"cristatus_ivanbureschi","Q2","width",35.845354997615,"low"
"cristatus_ivanbureschi","Q2","pMin",0.052944635347836,"high"
"cristatus_ivanbureschi","Q2","pMin",0.250216284885623,"low"
"cristatus_ivanbureschi","Q2","pMax",0.650818722022681,"high"
"cristatus_ivanbureschi","Q2","pMax",0.81634576946037,"low"
"cristatus_ivanbureschi","genomic","center",0.0816699770675673,"main"
"cristatus_ivanbureschi","genomic","width",8.28337475446204,"main"
"cristatus_ivanbureschi","genomic","pMin",0.00619365801303372,"main"
"cristatus_ivanbureschi","genomic","pMax",0.998285539391392,"main"
"cristatus_ivanbureschi","genomic","center",-2.9148222450182,"high"
"cristatus_ivanbureschi","genomic","center",3.34894960240035,"low"
"cristatus_ivanbureschi","genomic","width",0.00888107321710319,"high"
"cristatus_ivanbureschi","genomic","width",16.8021193379118,"low"
"cristatus_ivanbureschi","genomic","pMin",0.000433959292827089,"high"
"cristatus_ivanbureschi","genomic","pMin",0.028032924509895,"low"
"cristatus_ivanbureschi","genomic","pMax",0.98701346199808,"high"
"cristatus_ivanbureschi","genomic","pMax",0.999978487024977,"low"
"anatolicus_ivanbureschi","HI","center",43.372515939525,"main"
"anatolicus_ivanbureschi","HI","width",313.346410775059,"main"
"anatolicus_ivanbureschi","HI","pMin",0,"main"
"anatolicus_ivanbureschi","HI","pMax",1,"main"
"anatolicus_ivanbureschi","HI","center",-2.32683255257055,"high"
"anatolicus_ivanbureschi","HI","center",88.0943560506111,"low"
"anatolicus_ivanbureschi","HI","width",221.389134062242,"high"
"anatolicus_ivanbureschi","HI","width",454.648046262928,"low"
"anatolicus_ivanbureschi","HII","center",71.0180477028665,"main"
"anatolicus_ivanbureschi","HII","width",425.586091321952,"main"
"anatolicus_ivanbureschi","HII","pMin",0,"main"
"anatolicus_ivanbureschi","HII","pMax",1,"main"
"anatolicus_ivanbureschi","HII","center",15.4855016283601,"high"
"anatolicus_ivanbureschi","HII","center",124.581313752055,"low"
"anatolicus_ivanbureschi","HII","width",309.247768061078,"high"
"anatolicus_ivanbureschi","HII","width",600.321916680984,"low"
"anatolicus_ivanbureschi","QI","center",33.946750654829,"main"
"anatolicus_ivanbureschi","QI","width",102.589092733515,"main"
"anatolicus_ivanbureschi","QI","pMin",0.00266666666666667,"main"
"anatolicus_ivanbureschi","QI","pMax",0.9985,"main"
"anatolicus_ivanbureschi","QI","center",10.1102918411859,"high"
"anatolicus_ivanbureschi","QI","center",64.5756594475809,"low"
"anatolicus_ivanbureschi","QI","width",44.6900815215551,"high"
"anatolicus_ivanbureschi","QI","width",182.896728076371,"low"
"anatolicus_ivanbureschi","Q2","center",59.9934098480812,"main"
"anatolicus_ivanbureschi","Q2","width",429.267655159508,"main"
"anatolicus_ivanbureschi","Q2","pMin",0.0696666666666667,"main"
"anatolicus_ivanbureschi","Q2","pMax",0.978,"main"
"anatolicus_ivanbureschi","Q2","center",-7.69360210848188,"high"
"anatolicus_ivanbureschi","Q2","center",123.774069590334,"low"
"anatolicus_ivanbureschi","Q2","width",249.033958494511,"high"
"anatolicus_ivanbureschi","Q2","width",737.024844970059,"low"
"anatolicus_ivanbureschi","genomic","center",-0.629045112837296,"main"
"anatolicus_ivanbureschi","genomic","width",21.2185529905826,"main"
"anatolicus_ivanbureschi","genomic","pMin",0.00228689427983545,"main"
"anatolicus_ivanbureschi","genomic","pMax",0.998692148628339,"main"
"anatolicus_ivanbureschi","genomic","center",-4.58246422426112,"high"
"anatolicus_ivanbureschi","genomic","center",3.65068930718998,"low"
"anatolicus_ivanbureschi","genomic","width",15.4938236842714,"high"
"anatolicus_ivanbureschi","genomic","width",31.234188131853,"low"
"anatolicus_ivanbureschi","genomic","pMin",9.24684884080918e-05,"high"
"anatolicus_ivanbureschi","genomic","pMin",0.0163443154067364,"low"
"anatolicus_ivanbureschi","genomic","pMax",0.990219914156039,"high"
"anatolicus_ivanbureschi","genomic","pMax",0.999988498093041,"low"
