"INDIVIDUAL_ID","LOCALITY","COUNTRY","LATITUDE","N_S","LONGITUDE","E_W"
"16027","Brody","Poland",49.8784,"N",19.725,"E"
"16024","Białogóra","Poland",54.822247,"N",17.9974,"E"
"16026","Posada-Rybotycka2","Poland",49.666386,"N",22.587813,"E"
"16025","Kopanina","Poland",52.550898,"N",16.55314,"E"
"17038","Suchomasty","Czech Republic",49.9,"N",14.07,"E"
"17039","Harasov","Czech Republic",50.42,"N",14.58,"E"
"17040","Praha-Divoká-Šárka","Czech Republic",50.1,"N",14.32,"E"
"17041","Rosovický-hvozd","Czech Republic",49.78,"N",14.09,"E"
"17042","Rosovický-hvozd","Czech Republic",49.78,"N",14.09,"E"
"17043","Rosovický-hvozd","Czech Republic",49.78,"N",14.09,"E"
"17044","Strašice","Czech Republic",49.7,"N",13.81,"E"
"17045","Jablonná-1","Czech Republic",49.67,"N",14.12,"E"
"17046","Bytíz","Czech Republic",49.67,"N",14.08,"E"
"17047","Čakovice","Czech Republic",49.88,"N",14.57,"E"
"17048","Želízy-1","Czech Republic",50.428,"N",14.468,"E"
"17049","Jesenice","Czech Republic",49.96,"N",14.54,"E"
"17050","Michelský-les","Czech Republic",50.03,"N",14.45,"E"
"17051","Jablonná-2","Czech Republic",49.671,"N",14.104,"E"
"17052","Želízy-2","Czech Republic",50.439,"N",14.447,"E"
"17053","Želízy-1","Czech Republic",50.428,"N",14.468,"E"
"17054","Petrov-Chlomek","Czech Republic",49.883,"N",14.411,"E"
"17055","Krňany","Czech Republic",49.858,"N",14.45,"E"
"17056","Průhonice","Czech Republic",49.992,"N",14.568,"E"
"17057","Praha-Modřany-4","Czech Republic",49.998,"N",14.442,"E"
"17058","Praha-Točná","Czech Republic",49.978,"N",14.415,"E"
"17059","Praha-Modřany-3","Czech Republic",49.999,"N",14.438,"E"
"17060","Praha-Cholupice","Czech Republic",49.986,"N",14.42,"E"
"17061","Praha-Cibulka","Czech Republic",50.067,"N",14.356,"E"
"17062","Hostětín","Czech Republic",49.05,"N",17.88,"E"
"17063","Tyra","Czech Republic",49.6,"N",18.63,"E"
"17064","Ostravice","Czech Republic",49.52,"N",18.38,"E"
"17065","Oldřichovice","Czech Republic",49.63,"N",18.65,"E"
"17066","Třinec-Lištná","Czech Republic",49.68,"N",18.7,"E"
"17067","Štramberk-1","Czech Republic",49.58,"N",18.1,"E"
