INDIVIDUAL_ID,LOCALITY,COUNTRY,LATITUDE,N_S,LONGITUDE,E_W
x3,Middle-Atlas,Morocco,33.55,N,-5.11,W
x4,Middle-Atlas,Morocco,33.55,N,-5.11,W
x5,Middle-Atlas,Morocco,33.55,N,-5.11,W
x6,Middle-Atlas,Morocco,33.55,N,-5.11,W
x7,Middle-Atlas,Morocco,33.55,N,-5.11,W
x8,Middle-Atlas,Morocco,33.55,N,-5.11,W
x9,Middle-Atlas,Morocco,33.55,N,-5.11,W
x10,Middle-Atlas,Morocco,33.55,N,-5.11,W
x11,Middle-Atlas,Morocco,33.55,N,-5.11,W
x12,Middle-Atlas,Morocco,33.55,N,-5.11,W
x13,Middle-Atlas,Morocco,33.55,N,-5.11,W
x14,Middle-Atlas,Morocco,33.55,N,-5.11,W
x15,Middle-Atlas,Morocco,33.55,N,-5.11,W
x16,Middle-Atlas,Morocco,33.55,N,-5.11,W
x17,Rif,Morocco,34.23,N,-3.99,W
x18,Rif,Morocco,34.23,N,-3.99,W
x19,Rif,Morocco,34.23,N,-3.99,W
x20,Rif,Morocco,34.23,N,-3.99,W
x21,Rif,Morocco,34.23,N,-3.99,W
x22,Rif,Morocco,34.23,N,-3.99,W
x23,Rif,Morocco,34.23,N,-3.99,W
x24,Rif,Morocco,34.23,N,-3.99,W
x25,Rif,Morocco,34.23,N,-3.99,W
x1,Kenitra,Morocco,34.85,N,-6.07,W
x2,Kenitra,Morocco,34.85,N,-6.07,W
16221,Vendicari,Italy,36.8076,N,15.0958,E
16222,Vendicari,Italy,36.8076,N,15.0958,E
16223,Vendicari,Italy,36.8076,N,15.0958,E
16224,Vendicari,Italy,36.8076,N,15.0958,E
16228,Vendicari,Italy,36.8076,N,15.0958,E
16218,Ragusa,Italy,36.9275,N,14.7266,E
x26,El-Rocio-Donana2,Spain,36.99,N,-6.42,W
x27,El-Rocio-Donana2,Spain,36.99,N,-6.42,W
x28,El-Rocio-Donana2,Spain,36.99,N,-6.42,W
x29,El-Rocio-Donana2,Spain,36.99,N,-6.42,W
x30,El-Rocio-Donana2,Spain,36.99,N,-6.42,W
x31,El-Rocio-Donana2,Spain,36.99,N,-6.42,W
x32,El-Rocio-Donana2,Spain,36.99,N,-6.42,W
x33,El-Rocio-Donana2,Spain,36.99,N,-6.42,W
x34,El-Rocio-Donana2,Spain,36.99,N,-6.42,W
x35,El-Rocio-Donana2,Spain,36.99,N,-6.42,W
x36,El-Rocio-Donana2,Spain,36.99,N,-6.42,W
x37,El-Rocio-Donana2,Spain,36.99,N,-6.42,W
x38,El-Rocio-Donana2,Spain,36.99,N,-6.42,W
x39,El-Rocio-Donana2,Spain,36.99,N,-6.42,W
16252,El-Rocio-Donana2,Spain,36.99,N,-6.42,W
16253,El-Rocio-Donana2,Spain,36.99,N,-6.42,W
16259,El-Rocio-Donana2,Spain,36.99,N,-6.42,W
16256,El-Rocio-Donana2,Spain,36.99,N,-6.42,W
16257,El-Rocio-Donana2,Spain,36.99,N,-6.42,W
16260,El-Rocio-Donana2,Spain,36.99,N,-6.42,W
16258,El-Rocio-Donana2,Spain,36.99,N,-6.42,W
16261,El-Rocio-Donana2,Spain,36.99,N,-6.42,W
16254,El-Rocio-Donana2,Spain,36.99,N,-6.42,W
16255,El-Rocio-Donana2,Spain,36.99,N,-6.42,W
16170,Licata,Italy,37.0996,N,13.9405,E
16171,Licata,Italy,37.0996,N,13.9405,E
16172,Licata,Italy,37.0996,N,13.9405,E
16173,Licata,Italy,37.0996,N,13.9405,E
16174,Licata,Italy,37.0996,N,13.9405,E
16175,Licata,Italy,37.0996,N,13.9405,E
16219,San-Leonardo,Italy,37.1586,N,15.0351,E
16220,San-Leonardo,Italy,37.1586,N,15.0351,E
16169,Agrigento,Italy,37.3109,N,13.5757,E
16177,Torre-Salsa-reserve,Italy,37.3348,N,13.4218,E
16178,Torre-Salsa-reserve,Italy,37.3348,N,13.4218,E
