INDIVIDUAL_ID,LOCALITY,COUNTRY,LATITUDE,N_S,LONGITUDE,E_W
10760,Riddagshausen,Germany,52.27219,N,10.589025,E
5246,Kalavryta,Greece,38.027286,N,22.045511,E
5247,Kalavryta,Greece,38.027286,N,22.045511,E
5249,Kalavryta,Greece,38.027286,N,22.045511,E
5250,Kalavryta,Greece,38.027286,N,22.045511,E
5279,Maikop,Russia,44.6,N,40.1,E
12406,Santander,Spain,43.46,N,3.81,W
12407,Santander,Spain,43.46,N,3.81,W
12408,Santander,Spain,43.46,N,3.81,W
10463,Karlovac,Croatia,45.493,N,15.555,E
4273,Domanovići,Bosnia i Hercegovina,43.13359833,N,17.80260086,E
7909,Demirbey2,Turkey,40.86033249,N,30.49097252,E
7911,Hacılar2,Turkey,41.495,N,32.0886,E
7910,Hacılar2,Turkey,41.495,N,32.0886,E
7912,Hacılar2,Turkey,41.495,N,32.0886,E
7939,Denizli,Turkey,40.89758301,N,29.55547142,E
7940,Denizli,Turkey,40.89758301,N,29.55547142,E
7941,Denizli,Turkey,40.89758301,N,29.55547142,E
7942,Denizli,Turkey,40.89758301,N,29.55547142,E
7944,Denizli,Turkey,40.89758301,N,29.55547142,E
7950,Denizli,Turkey,40.89758301,N,29.55547142,E
10570,Mitrova,Serbia,42.999,N,20.361,E
7878,Demirbey2,Turkey,40.86033249,N,30.49097252,E
12308,Ambleteuse,France,50.77999878,N,1.610000014,E
6228,Salicea,Romania,46.6767,N,23.5261,E
10310,Rudnjača,Montenegro,42.832,N,18.621,E
7883,Hacılar2,Turkey,41.495,N,32.0886,E
10574,Debrc,Serbia,44.632,N,19.905,E
7877,Demirbey2,Turkey,40.86033249,N,30.49097252,E
7876,Demirbey2,Turkey,40.86033249,N,30.49097252,E
7882,Hacılar2,Turkey,41.495,N,32.0886,E
10311,Rudnjača,Montenegro,42.832,N,18.621,E
6274,Padurea-Raioasa,Romania,44.5447,N,25.8992,E
6275,Teleajen-Valley,Romania,45.4389,N,25.9383,E
6276,Teleajen-Valley,Romania,45.4389,N,25.9383,E
6278,Teleajen-Valley,Romania,45.4389,N,25.9383,E
