INDIVIDUAL_ID,LOCALITY,COUNTRY,LATITUDE,N_S,LONGITUDE,E_W
18012,Buckarby,Sweden,60.21748,N,16.98013,E
18013,Buckarby,Sweden,60.21748,N,16.98013,E
18014,Buckarby,Sweden,60.21748,N,16.98013,E
18015,Buckarby,Sweden,60.21748,N,16.98013,E
18016,Buckarby,Sweden,60.21748,N,16.98013,E
18017,Buckarby,Sweden,60.21748,N,16.98013,E
18018,Buckarby,Sweden,60.21748,N,16.98013,E
18019,Buckarby,Sweden,60.21748,N,16.98013,E
18020,Buckarby,Sweden,60.21748,N,16.98013,E
18021,Buckarby,Sweden,60.21748,N,16.98013,E
18022,Lillesand,Norway,58.24284,N,8.22718,E
18023,Lillesand,Norway,58.24284,N,8.22718,E
18024,Lillesand,Norway,58.24284,N,8.22718,E
18025,Lillesand,Norway,58.24284,N,8.22718,E
18026,Lillesand,Norway,58.24284,N,8.22718,E
18027,Lillesand,Norway,58.24284,N,8.22718,E
18028,Lillesand,Norway,58.24284,N,8.22718,E
18029,Lillesand,Norway,58.24284,N,8.22718,E
18030,Lillesand,Norway,58.24284,N,8.22718,E
18031,Lillesand,Norway,58.24284,N,8.22718,E
18032,Saltdal,Norway,66.94914,N,15.37998,E
18033,Saltdal,Norway,66.94914,N,15.37998,E
18034,Saltdal,Norway,66.94914,N,15.37998,E
18035,Saltdal,Norway,66.94914,N,15.37998,E
18036,Saltdal,Norway,66.94914,N,15.37998,E
18037,Saltdal,Norway,66.94914,N,15.37998,E
18038,Saltdal,Norway,66.94914,N,15.37998,E
18039,Saltdal,Norway,66.94914,N,15.37998,E
18040,Saltdal,Norway,66.94914,N,15.37998,E
18041,Saltdal,Norway,66.94914,N,15.37998,E
18042,Bardufoss-Malselvfossen,Norway,69.02309,N,18.66672,E
18043,Bardufoss-Malselvfossen,Norway,69.02309,N,18.66672,E
18044,Bardufoss-Malselvfossen,Norway,69.02309,N,18.66672,E
18045,Bardufoss-Malselvfossen,Norway,69.02309,N,18.66672,E
18046,Bardufoss-Malselvfossen,Norway,69.02309,N,18.66672,E
18047,Bardufoss-Malselvfossen,Norway,69.02309,N,18.66672,E
18048,Bardufoss-Malselvfossen,Norway,69.02309,N,18.66672,E
18049,Bardufoss-Malselvfossen,Norway,69.02309,N,18.66672,E
18050,Bardufoss-Malselvfossen,Norway,69.02309,N,18.66672,E
18051,Bardufoss-Malselvfossen,Norway,69.02309,N,18.66672,E
x1,Bardufoss-Malselvfossen,Norway,69.02309,N,18.66672,E
x2,Bardufoss-Malselvfossen,Norway,69.02309,N,18.66672,E
x3,Bardufoss-Malselvfossen,Norway,69.02309,N,18.66672,E
x4,Bardufoss-Malselvfossen,Norway,69.02309,N,18.66672,E
18052,Ruka-Kuusamo,Finland,66.20778,N,29.2175,E
18053,Ruka-Kuusamo,Finland,66.20778,N,29.2175,E
18054,Ruka-Kuusamo,Finland,66.20778,N,29.2175,E
18055,Ruka-Kuusamo,Finland,66.20778,N,29.2175,E
18056,Ruka-Kuusamo,Finland,66.20778,N,29.2175,E
18057,Ruka-Kuusamo,Finland,66.20778,N,29.2175,E
18058,Ruka-Kuusamo,Finland,66.20778,N,29.2175,E
18059,Ruka-Kuusamo,Finland,66.20778,N,29.2175,E
18060,Ruka-Kuusamo,Finland,66.20778,N,29.2175,E
18061,Ruka-Kuusamo,Finland,66.20778,N,29.2175,E
x5,Ruka-Kuusamo,Finland,66.20778,N,29.2175,E
x6,Ruka-Kuusamo,Finland,66.20778,N,29.2175,E
x7,Ruka-Kuusamo,Finland,66.20778,N,29.2175,E
x8,Ruka-Kuusamo,Finland,66.20778,N,29.2175,E
x9,Ruka-Kuusamo,Finland,66.20778,N,29.2175,E
x10,Ruka-Kuusamo,Finland,66.20778,N,29.2175,E
x11,Ruka-Kuusamo,Finland,66.20778,N,29.2175,E
x12,Ruka-Kuusamo,Finland,66.20778,N,29.2175,E
x13,Ruka-Kuusamo,Finland,66.20778,N,29.2175,E
x14,Ruka-Kuusamo,Finland,66.20778,N,29.2175,E
18062,Pisavaara,Finland,66.28,N,25.1,E
18063,Pisavaara,Finland,66.28,N,25.1,E
18064,Pisavaara,Finland,66.28,N,25.1,E
18065,Pisavaara,Finland,66.28,N,25.1,E
18066,Pisavaara,Finland,66.28,N,25.1,E
18067,Pisavaara,Finland,66.28,N,25.1,E
18068,Pisavaara,Finland,66.28,N,25.1,E
18069,Pisavaara,Finland,66.28,N,25.1,E
18070,Pisavaara,Finland,66.28,N,25.1,E
18071,Pisavaara,Finland,66.28,N,25.1,E
18072,Virolahti,Finland,60.59,N,27.68,E
18073,Virolahti,Finland,60.59,N,27.68,E
18074,Virolahti,Finland,60.59,N,27.68,E
18075,Virolahti,Finland,60.59,N,27.68,E
18076,Virolahti,Finland,60.59,N,27.68,E
18077,Virolahti,Finland,60.59,N,27.68,E
18078,Virolahti,Finland,60.59,N,27.68,E
18079,Virolahti,Finland,60.59,N,27.68,E
18080,Virolahti,Finland,60.59,N,27.68,E
18081,Virolahti,Finland,60.59,N,27.68,E
x15,Virolahti,Finland,60.59,N,27.68,E
x16,Virolahti,Finland,60.59,N,27.68,E
x17,Virolahti,Finland,60.59,N,27.68,E
x18,Virolahti,Finland,60.59,N,27.68,E
18082,Kilpisjärvi,Finland,69.05,N,20.816667,E
18083,Kilpisjärvi,Finland,69.05,N,20.816667,E
18084,Kilpisjärvi,Finland,69.05,N,20.816667,E
18085,Kilpisjärvi,Finland,69.05,N,20.816667,E
18086,Kilpisjärvi,Finland,69.05,N,20.816667,E
18087,Kilpisjärvi,Finland,69.05,N,20.816667,E
x19,Kilpisjärvi,Finland,69.05,N,20.816667,E
x20,Kilpisjärvi,Finland,69.05,N,20.816667,E
18088,Inari,Finland,68.955222,N,26.701273,E
18089,Inari,Finland,68.955222,N,26.701273,E
18090,Inari,Finland,68.955222,N,26.701273,E
18091,Inari,Finland,68.955222,N,26.701273,E
18092,Inari,Finland,68.955222,N,26.701273,E
18093,Inari,Finland,68.955222,N,26.701273,E
18094,Inari,Finland,68.955222,N,26.701273,E
18095,Inari,Finland,68.955222,N,26.701273,E
18096,Inari,Finland,68.955222,N,26.701273,E
18097,Inari,Finland,68.955222,N,26.701273,E
