INDIVIDUAL_ID,LOCALITY,COUNTRY,LATITUDE,N_S,LONGITUDE,E_W
x1397,25-km-N-Rijeka-Gomance,Croatia,45.3270631,N,14.442176,E
x73,4-km-NE-Kalpaki,Greece,39.886025,N,20.6256658,E
x1151,Aargau-Aarau-Rohr,Switzerland,47.41,N,8.0921,E
x1152,Aargau-Aarau-Rohr,Switzerland,47.41,N,8.0921,E
x1153,Aargau-Aarau-Rohr,Switzerland,47.41,N,8.0921,E
x1320,Aargau-Aarau-Rohr,Switzerland,47.41,N,8.0921,E
x1321,Aargau-Aarau-Rohr,Switzerland,47.41,N,8.0921,E
x1322,Aargau-Aarau-Rohr,Switzerland,47.41,N,8.0921,E
x10,Aargau-Bad-Zurzach,Switzerland,47.579727039,N,8.307017961,E
x1011,Aargau-Bad-Zurzach,Switzerland,47.579727039,N,8.307017961,E
x1012,Aargau-Bad-Zurzach,Switzerland,47.579727039,N,8.307017961,E
x1013,Aargau-Bad-Zurzach,Switzerland,47.579727039,N,8.307017961,E
x1014,Aargau-Bad-Zurzach,Switzerland,47.579727039,N,8.307017961,E
x1015,Aargau-Bad-Zurzach,Switzerland,47.579727039,N,8.307017961,E
x1016,Aargau-Bad-Zurzach,Switzerland,47.579727039,N,8.307017961,E
x1017,Aargau-Bad-Zurzach,Switzerland,47.579727039,N,8.307017961,E
x1018,Aargau-Bad-Zurzach,Switzerland,47.579727039,N,8.307017961,E
x1019,Aargau-Bad-Zurzach,Switzerland,47.579727039,N,8.307017961,E
x1020,Aargau-Bad-Zurzach,Switzerland,47.579727039,N,8.307017961,E
x11,Aargau-Bad-Zurzach,Switzerland,47.579727039,N,8.307017961,E
x12,Aargau-Bad-Zurzach,Switzerland,47.579727039,N,8.307017961,E
x13,Aargau-Bad-Zurzach,Switzerland,47.579727039,N,8.307017961,E
x14,Aargau-Bad-Zurzach,Switzerland,47.579727039,N,8.307017961,E
x15,Aargau-Bad-Zurzach,Switzerland,47.579727039,N,8.307017961,E
x16,Aargau-Bad-Zurzach,Switzerland,47.579727039,N,8.307017961,E
x17,Aargau-Bad-Zurzach,Switzerland,47.579727039,N,8.307017961,E
x8,Aargau-Bad-Zurzach,Switzerland,47.579727039,N,8.307017961,E
x9,Aargau-Bad-Zurzach,Switzerland,47.579727039,N,8.307017961,E
21981,Aargau-Böttstein,Switzerland,47.5652,N,8.251178732,E
21982,Aargau-Böttstein,Switzerland,47.5652,N,8.251178732,E
x1091,Aargau-Böttstein,Switzerland,47.5652,N,8.251178732,E
x1092,Aargau-Böttstein,Switzerland,47.5652,N,8.251178732,E
x1044,Aargau-Brugg,Switzerland,47.4852,N,8.2347,E
x1045,Aargau-Brugg,Switzerland,47.4852,N,8.2347,E
x1046,Aargau-Brugg,Switzerland,47.4852,N,8.2347,E
x122,Aargau-Brugg,Switzerland,47.4852,N,8.2347,E
x123,Aargau-Brugg,Switzerland,47.4852,N,8.2347,E
x124,Aargau-Brugg,Switzerland,47.4852,N,8.2347,E
21983,Aargau-Eiken,Switzerland,47.5433,N,7.998500483,E
22006,Aargau-Eiken,Switzerland,47.5433,N,7.998500483,E
22007,Aargau-Eiken,Switzerland,47.5433,N,7.998500483,E
x1003,Aargau-Eiken,Switzerland,47.5433,N,7.998500483,E
x1004,Aargau-Eiken,Switzerland,47.5433,N,7.998500483,E
x1005,Aargau-Eiken,Switzerland,47.5433,N,7.998500483,E
x1077,Aargau-Gippingen,Switzerland,47.5962,N,8.217445797,E
x1078,Aargau-Gippingen,Switzerland,47.5962,N,8.217445797,E
x1079,Aargau-Gippingen,Switzerland,47.5962,N,8.217445797,E
x1080,Aargau-Gippingen,Switzerland,47.5962,N,8.217445797,E
x1081,Aargau-Gippingen,Switzerland,47.5962,N,8.217445797,E
x153,Aargau-Gippingen,Switzerland,47.5962,N,8.217445797,E
x154,Aargau-Gippingen,Switzerland,47.5962,N,8.217445797,E
x155,Aargau-Gippingen,Switzerland,47.5962,N,8.217445797,E
x156,Aargau-Gippingen,Switzerland,47.5962,N,8.217445797,E
x157,Aargau-Gippingen,Switzerland,47.5962,N,8.217445797,E
x1093,Aargau-Klingnau,Switzerland,47.5885,N,8.2381,E
x167,Aargau-Klingnau,Switzerland,47.5885,N,8.2381,E
x1121,Aargau-Merenschwand,Switzerland,47.2594048,N,8.3749207,E
x1200,Aargau-Merenschwand,Switzerland,47.2594048,N,8.3749207,E
21962,Aargau-Rietheim,Switzerland,47.60677818,N,8.274438483,E
x1150,Aargau-Rietheim,Switzerland,47.60677818,N,8.274438483,E
x1154,Aargau-Rottenschwil,Switzerland,47.324481684,N,8.3676,E
x1323,Aargau-Rottenschwil,Switzerland,47.324481684,N,8.3676,E
x1389,Aegean-Region-between-Söke-and-Doganbey,Turkey,37.617058,N,27.177275,E
x1466,Aegean-Region-Dalyan,Turkey,36.834258,N,28.642607,E
x232,Aegean-Region-Selçuk,Turkey,37.950845,N,27.369954,E
x233,Aegean-Region-Selçuk,Turkey,37.950845,N,27.369954,E
x234,Aegean-Region-Selçuk,Turkey,37.950845,N,27.369954,E
x354,Akershus-Ski,Norway,59.7196318,N,10.8358795,E
x355,Akershus-Ski,Norway,59.7196318,N,10.8358795,E
x1554,Akershus-Son,Norway,59.5239438,N,10.6892228,E
x440,Akhaldaba,Georgia,41.9253854,N,43.4907611,E
x441,Akhaldaba,Georgia,41.9253854,N,43.4907611,E
x364,Aland,Finland,60.1785247,N,19.9156105,E
x365,Aland,Finland,60.1785247,N,19.9156105,E
x367,Aland,Finland,60.1785247,N,19.9156105,E
x370,Aland-Finström,Finland,60.2299128,N,19.9880632,E
x368,Aland-Lemland-Bergö,Finland,61.92411,N,25.748151,E
x369,Aland-Lemland-Natö,Finland,60.0459338,N,19.9743588,E
x240,Albena,Bulgaria,43.3678194,N,28.080069,E
x49,Alpes-de-Haute-Provence-Clumanc,France,44.02,N,6.38,E
x82,Alpes-de-Haute-Provence-Clumanc,France,44.02,N,6.38,E
x618,Amstelveen,Netherlands,52.2942064,N,4.8419936,E
x619,Amstelveen,Netherlands,52.2942064,N,4.8419936,E
x620,Amstelveen,Netherlands,52.2942064,N,4.8419936,E
21773,Amsterdam-IJ,Netherlands,52.386287,N,4.896612,E
21774,Amsterdam-IJ,Netherlands,52.386287,N,4.896612,E
x353,Andebu-Ilestadvannet,Norway,59.3059204,N,10.1765277,E
x835,Apulia-Bari-Conversano-Sassano,Italy,40.968759,N,17.097258,E
x836,Apulia-Bari-Conversano-Castiglione,Italy,40.926582,N,17.128559,E
x834,Apulia-Bari-Ruvo-di-Puglia-Taverna-nuova,Italy,40.995271,N,16.300986,E
x204,Apulia-Lecce-San-Cataldo,Italy,40.396372,N,18.294305,E
x205,Apulia-Lecce-San-Cataldo,Italy,40.396372,N,18.294305,E
x837,Apulia-Lecce-Vernole-Cesine,Italy,40.36219,N,18.327296,E
x838,Apulia-Lecce-Vernole-Cesine,Italy,40.36219,N,18.327296,E
x839,Apulia-Lecce-Vernole-Cesine,Italy,40.36219,N,18.327296,E
x840,Apulia-Lecce-Vernole-Cesine,Italy,40.36219,N,18.327296,E
x841,Apulia-Lecce-Vernole-Cesine,Italy,40.36219,N,18.327296,E
x842,Apulia-Lecce-Vernole-Cesine,Italy,40.36219,N,18.327296,E
x844,Apulia-Tarent-Martina-Franca,Italy,40.746396,N,17.259578,E
21927,Aragon-Nerín,Spain,42.603642,N,0.021744,E
x1401,Ardeche-N-Tournon-sur-Rhône,France,45.068575,N,4.831712,E
21834,Ariege-Astien,France,42.9402333,N,1.0623333,E
21835,Ariege-Aulus-les-Bains,France,42.779289,N,1.390217,E
21916,Ariege-Bélesta,France,42.867869,N,1.977429,E
21836,Ariege-Bélesta,France,42.867869,N,1.977429,E
21837,Ariege-Caumont,France,43.024266,N,1.091038,E
21917,Ariege-Fougax-et-Barrineuf,France,42.871101,N,1.89076,E
21839,Ariege-La-Bastide-de-Bousignac,France,43.051194,N,1.903771,E
21838,Ariege-La-Bastide-de-Bousignac,France,43.051194,N,1.903771,E
21840,Ariege-La-Bastide-de-Bousignac,France,43.051194,N,1.903771,E
21918,Ariege-Lac-de-Montbel,France,42.980037,N,1.961031,E
21841,Ariege-Le-Mas-dAzil,France,43.024572,N,1.330668,E
21842,Ariege-Léran,France,42.9835,N,1.9387,E
21843,Ariege-Malegoude,France,43.114101,N,1.92,E
21844,Ariege-Mirepoix,France,43.094244,N,1.915939,E
21845,Ariege-Montbel,France,42.9715,N,1.959265,E
21846,Ariege-Moulis,France,42.9529,N,1.0772,E
21847,Ariege-Ossese,France,42.7652694,N,1.2622,E
21848,Ariege-Prades,France,42.7695,N,1.8653,E
21849,Ariege-Rimont,France,43.00307,N,1.306601,E
21919,Ariege-Rouze,France,42.726187,N,2.079672,E
x88,Ariege-Savignac-les-Ormeaux,France,42.7291,N,1.818,E
21850,Ariege-Verdun,France,42.81036,N,1.70229,E
x1408,Arkutino,Bulgaria,42.3346499,N,27.7263557,E
x289,Arkutino,Bulgaria,42.3346499,N,27.7263557,E
x280,Asenovgrad-Asenovitza-river,Bulgaria,42.0133722,N,24.8784393,E
21928,Asturias-Santa-Eugenia,Spain,43.4639,N,-5.363971,W
x708,Asturias-Urbiés,Spain,43.2176,N,-5.6727,W
x114,Aude-5-km-W-Narbonne-near-Abbey-of-Fontfroide,France,43.1325,N,2.8934,E
21920,Aude-Couffoulens,France,43.17614,N,2.2984,E
21851,Aude-Escueillens-et-Saint-Just-de-Bélengard,France,43.094767,N,2.029152,E
21852,Aude-Malvies,France,43.10686,N,2.18195,E
21853,Aude-Mireval-Lauragais,France,43.2646,N,1.9701,E
x113,Aude-N-Tuchan,France,42.8989,N,2.7418,E
21854,Aude-Puivert,France,42.91633,N,2.0493,E
x116,Aude-S-Tuchan,France,42.8784,N,2.7194,E
21855,Aude-Saissac,France,43.3712,N,2.1886,E
21921,Aude-Tuchan,France,42.890052,N,2.717628,E
21922,Aude-Tuchan,France,42.890052,N,2.717628,E
21923,Aude-Tuchan,France,42.890052,N,2.717628,E
21856,Aveyron-Laguiole,France,44.682,N,2.926011,E
x53,Aveyron-Peyrusse-le-Roc,France,44.494914,N,2.1409,E
x90,Aveyron-Peyrusse-le-Roc,France,44.494914,N,2.1409,E
21857,Aveyron-St-Chely-dAubrac,France,44.591311,N,2.921214,E
x1388,Aveyron-St-Chely-dAubrac,France,44.591311,N,2.921214,E
21896,Baden-Württemberg-Alexanderschanze,Germany,48.4786,N,8.282931689,E
x823,Baden-Württemberg-Bad-Ueberkingen,Germany,48.6007224,N,9.7981479,E
21957,Baden-Württemberg-Bad-Waldsee,Germany,47.919679,N,9.798016,E
21958,Baden-Württemberg-Bad-Wurzach,Germany,47.90898,N,9.895484,E
21959,Baden-Württemberg-Bad-Wurzach,Germany,47.90898,N,9.895484,E
21670,Baden-Württemberg-Berau,Germany,47.691039160171,N,8.244134293,E
x831,Baden-Württemberg-Bermatingen-Hofgut-Wiggenweiler,Germany,47.74461,N,9.36242,E
x832,Baden-Württemberg-Bermatingen-Hofgut-Wiggenweiler,Germany,47.74461,N,9.36242,E
x833,Baden-Württemberg-Bermatingen-Hofgut-Wiggenweiler,Germany,47.74461,N,9.36242,E
x829,Baden-Württemberg-between-Bad-Überkingen-and-Hausen,Germany,48.6007224,N,9.7981479,E
x1456,Baden-Württemberg-between-Leonberg-and-Gerlingen,Germany,48.7989751,N,9.0657713,E
21897,Baden-Württemberg-between-Wallberg-and-Münchweier,Germany,48.47126499,N,8.12520196132543,E
x816,Baden-Württemberg-between-Welschingen-and-Binningen,Germany,47.818337139801,N,8.7361880889981,E
x817,Baden-Württemberg-between-Welschingen-and-Binningen,Germany,47.818337139801,N,8.7361880889981,E
21671,Baden-Württemberg-Böhringer-See,Germany,47.761325,N,8.938533,E
x217,Baden-Württemberg-Böhringer-See,Germany,47.761325,N,8.938533,E
x819,Baden-Württemberg-Bopfingen-Rohrbachsiedlung,Germany,48.837055,N,10.400482,E
21672,Baden-Württemberg-Bronnbach,Germany,49.711441,N,9.547249,E
x905,Baden-Württemberg-Degersee-near-Wettis,Germany,47.608653,N,9.644115,E
x821,Baden-Württemberg-Filderstadt-Bonlanden-Hof-Gutenhalde,Germany,48.6394313,N,9.2237987,E
x830,Baden-Württemberg-Filderstadt-Plattenhardt,Germany,48.645564981024,N,9.1983271240537,E
21673,Baden-Württemberg-Freudenstadt,Germany,48.464057,N,8.411093,E
21674,Baden-Württemberg-Gamburg,Germany,49.693907,N,9.600936,E
x824,Baden-Württemberg-Geislingen-a-d-St-NSG-Rohrachtal,Germany,48.597246594228,N,9.842528818657,E
x825,Baden-Württemberg-Geislingen-a-d-St-NSG-Rohrachtal,Germany,48.597246594228,N,9.842528818657,E
21675,Baden-Württemberg-Harpolingen,Germany,47.569763,N,8.0037,E
21898,Baden-Württemberg-Hartheim,Germany,47.9349,N,7.6203,E
x813,Baden-Württemberg-Hechingen,Germany,48.363902399931,N,8.9204631112376,E
x814,Baden-Württemberg-Hechingen,Germany,48.363902399931,N,8.9204631112376,E
x815,Baden-Württemberg-Hechingen,Germany,48.363902399931,N,8.9204631112376,E
21979,Baden-Württemberg-Herten-Degerfelden,Germany,47.5558835,N,7.7333925,E
x822,Baden-Württemberg-Hochdorf-Gewann-Eisenwinkel,Germany,48.6935836,N,9.4667477,E
21899,Baden-Württemberg-Hoellentalbahn-km-166,Germany,48.1816012333333,N,8.459443288,E
21980,Baden-Württemberg-Kandern,Germany,47.714774,N,7.661812,E
21676,Baden-Württemberg-Kappel-Grafenhausen,Germany,48.291419,N,7.743689,E
21678,Baden-Württemberg-Karlsruhe,Germany,48.9993,N,8.410844,E
21677,Baden-Württemberg-Karlsruhe,Germany,48.9993,N,8.410844,E
x1353,Baden-Württemberg-Karlsruhe,Germany,48.9993,N,8.410844,E
x1351,Baden-Württemberg-Karlsruhe-between-Staffort-and-Weingarten,Germany,49.0673,N,8.516951,E
21679,Baden-Württemberg-Karlsruhe-Oberwaldsee,Germany,48.9896,N,8.429297,E
21680,Baden-Württemberg-Kniebis,Germany,48.4715,N,8.311476,E
21681,Baden-Württemberg-Laufenburg-Grunholz,Germany,47.5773674951769,N,8.086823445,E
x1352,Baden-Württemberg-Linkenheim-,Germany,49.128151,N,8.4109,E
x827,Baden-Württemberg-Litzenstetten,Germany,47.7134638,N,9.1738351,E
21682,Baden-Württemberg-lower-Neckar-valley,Germany,49.404869,N,9.043017,E
x1354,Baden-Württemberg-Ludwigsburg,Germany,48.8891149,N,9.1942834,E
21960,Baden-Württemberg-Mettnau,Germany,47.728355,N,8.997273,E
x811,Baden-Württemberg-near-Ettlingen,Germany,48.943208,N,8.3980172,E
x1361,Baden-Württemberg-near-Gerlingen-Krummbachtal,Germany,48.797946,N,9.064972,E
x1362,Baden-Württemberg-near-Gerlingen-Krummbachtal,Germany,48.797946,N,9.064972,E
x1360,Baden-Württemberg-near-Heilbronn-Reichertshausen,Germany,49.3149964,N,9.3060166,E
x809,Baden-Württemberg-Neckartal-Feuerbergtunnel,Germany,49.0533967960908,N,8.94780304868189,E
x810,Baden-Württemberg-Neckartal-Feuerbergtunnel,Germany,49.0533967960908,N,8.94780304868189,E
x820,Baden-Württemberg-Neckartal-near-Lanzenbach,Germany,49.0858846942478,N,9.91625678657715,E
21900,Baden-Württemberg-Neustadt,Germany,47.9145799302287,N,8.20759336026993,E
21683,Baden-Württemberg-Oberweissach,Germany,48.920807,N,9.503081,E
x215,Baden-Württemberg-Oberweissach,Germany,48.920807,N,9.503081,E
x1357,Baden-Württemberg-Ohmden-Jesingen,Germany,48.644195,N,9.505734,E
21684,Baden-Württemberg-Ottenhöfen,Germany,48.569632,N,8.1487,E
21901,Baden-Württemberg-Philippsburg-Elisabethenwoerth,Germany,49.20084629,N,8.40473763,E
21685,Baden-Württemberg-Präg,Germany,47.779,N,7.967429,E
21686,Baden-Württemberg-Präg,Germany,47.779,N,7.967429,E
x793,Baden-Württemberg-Präg,Germany,47.779,N,7.967429,E
x794,Baden-Württemberg-Präg,Germany,47.779,N,7.967429,E
x795,Baden-Württemberg-Präg,Germany,47.779,N,7.967429,E
x796,Baden-Württemberg-Präg,Germany,47.779,N,7.967429,E
x818,Baden-Württemberg-Radolfzell-Aachried,Germany,47.738146412558,N,8.9255604027687,E
21902,Baden-Württemberg-Renchflutkanal,Germany,48.612,N,7.9633770528115,E
21903,Baden-Württemberg-Rheinstetten-NGS-Allmendäcker,Germany,48.958769,N,8.324868,E
21688,Baden-Württemberg-Riedlingen,Germany,48.159274,N,9.470853,E
21687,Baden-Württemberg-Riedlingen,Germany,48.159274,N,9.470853,E
x757,Baden-Württemberg-Riedlingen,Germany,48.159274,N,9.470853,E
x758,Baden-Württemberg-Riedlingen,Germany,48.159274,N,9.470853,E
x759,Baden-Württemberg-Riedlingen,Germany,48.159274,N,9.470853,E
21689,Baden-Württemberg-Schiltach,Germany,48.293466520478,N,8.35204989691076,E
21690,Baden-Württemberg-Schriesheim,Germany,49.474594,N,8.661633,E
x812,Baden-Württemberg-Stuttgart,Germany,48.7758459,N,9.1829321,E
