INDIVIDUAL_ID,LOCALITY,COUNTRY,LATITUDE,N_S,LONGITUDE,E_W
16563,Bardawil,Egypt,31.102,N,33.2074,E
16564,Bardawil,Egypt,31.102,N,33.2074,E
16565,Bardawil,Egypt,31.102,N,33.2074,E
16566,Bardawil,Egypt,31.102,N,33.2074,E
16567,Bardawil,Egypt,31.102,N,33.2074,E
16568,Bardawil,Egypt,31.102,N,33.2074,E
16569,Bardawil,Egypt,31.102,N,33.2074,E
16570,Bardawil,Egypt,31.102,N,33.2074,E
16571,Bardawil,Egypt,31.102,N,33.2074,E
16572,Bardawil,Egypt,31.102,N,33.2074,E
16573,Lake-Mellach,Algeria,36.891,N,8.3292,E
16574,Lake-Mellach,Algeria,36.891,N,8.3292,E
16575,Lake-Mellach,Algeria,36.891,N,8.3292,E
16576,Lake-Mellach,Algeria,36.891,N,8.3292,E
16577,Lake-Mellach,Algeria,36.891,N,8.3292,E
16578,Lake-Mellach,Algeria,36.891,N,8.3292,E
16579,Lake-Mellach,Algeria,36.891,N,8.3292,E
16580,Lake-Mellach,Algeria,36.891,N,8.3292,E
16581,Dakar,Senegal,14.6847,N,-17.4077,W
16583,Dakar,Senegal,14.6847,N,-17.4077,W
16584,Dakar,Senegal,14.6847,N,-17.4077,W
16585,Dakar,Senegal,14.6847,N,-17.4077,W
16586,Dakar,Senegal,14.6847,N,-17.4077,W
16587,Tabarka,Tunisia,36.9739,N,8.761,E
16588,Tabarka,Tunisia,36.9739,N,8.761,E
16589,Tabarka,Tunisia,36.9739,N,8.761,E
16590,Tabarka,Tunisia,36.9739,N,8.761,E
16591,Tabarka,Tunisia,36.9739,N,8.761,E
16592,Tabarka,Tunisia,36.9739,N,8.761,E
16593,Tabarka,Tunisia,36.9739,N,8.761,E
16594,Tabarka,Tunisia,36.9739,N,8.761,E
16595,Tunis,Tunisia,36.8217,N,10.3749,E
16596,Tunis,Tunisia,36.8217,N,10.3749,E
16597,Tunis,Tunisia,36.8217,N,10.3749,E
16598,Tunis,Tunisia,36.8217,N,10.3749,E
16599,Tunis,Tunisia,36.8217,N,10.3749,E
16600,Tunis,Tunisia,36.8217,N,10.3749,E
16601,Tunis2,Tunisia,37.087,N,10.2085,E
16602,Bardawil,Egypt,31.102,N,33.2074,E
16603,Bardawil,Egypt,31.102,N,33.2074,E
16604,Bardawil,Egypt,31.102,N,33.2074,E
16605,Bardawil,Egypt,31.102,N,33.2074,E
16606,Bardawil,Egypt,31.102,N,33.2074,E
16607,Bardawil,Egypt,31.102,N,33.2074,E
16608,Bardawil,Egypt,31.102,N,33.2074,E
16609,Bardawil,Egypt,31.102,N,33.2074,E
16611,Lake-Mellach,Algeria,36.891,N,8.3292,E
16612,Dakar,Senegal,14.6847,N,-17.4077,W
16613,Dakar,Senegal,14.6847,N,-17.4077,W
16614,Dakar,Senegal,14.6847,N,-17.4077,W
16615,Tabarka,Tunisia,36.9739,N,8.761,E
16616,Tabarka,Tunisia,36.9739,N,8.761,E
16617,Tabarka,Tunisia,36.9739,N,8.761,E
16618,Tabarka,Tunisia,36.9739,N,8.761,E
16619,Tabarka,Tunisia,36.9739,N,8.761,E
16620,Tabarka,Tunisia,36.9739,N,8.761,E
16621,Tabarka,Tunisia,36.9739,N,8.761,E
16622,Tabarka,Tunisia,36.9739,N,8.761,E
16623,Tabarka,Tunisia,36.9739,N,8.761,E
16624,Tabarka,Tunisia,36.9739,N,8.761,E
16625,Tabarka,Tunisia,36.9739,N,8.761,E
16626,Tabarka,Tunisia,36.9739,N,8.761,E
16627,Tunis2,Tunisia,37.087,N,10.2085,E
16628,Tunis2,Tunisia,37.087,N,10.2085,E
16629,Tunis2,Tunisia,37.087,N,10.2085,E
16630,Tunis2,Tunisia,37.087,N,10.2085,E
16631,Tunis2,Tunisia,37.087,N,10.2085,E
16632,Tunis2,Tunisia,37.087,N,10.2085,E
16634,Tunis2,Tunisia,37.087,N,10.2085,E
16636,Tunis2,Tunisia,37.087,N,10.2085,E
16637,Tunis2,Tunisia,37.087,N,10.2085,E
16638,Tunis2,Tunisia,37.087,N,10.2085,E
16639,Tunis2,Tunisia,37.087,N,10.2085,E
16640,Tunis2,Tunisia,37.087,N,10.2085,E
16641,Tunis2,Tunisia,37.087,N,10.2085,E
16642,Tunis2,Tunisia,37.087,N,10.2085,E
16643,Tunis2,Tunisia,37.087,N,10.2085,E
16644,Tunis2,Tunisia,37.087,N,10.2085,E
