INDIVIDUAL_ID,LOCALITY,COUNTRY,LATITUDE,N_S,LONGITUDE,E_W
21224,Sphyrapicus036,Canada,50.55694,N,-117.35555,W
21228,Sphyrapicus039,Canada,50.27527,N,-117.10861,W
21246,Sphyrapicus052,Canada,52.67,N,-125.65111,W
21248,Sphyrapicus053,Canada,52.82361,N,-125.58416,W
21261,Sphyrapicus065,Canada,52.75888,N,-125.49722,W
21274,Sphyrapicus073,Canada,55.39111,N,-123.17861,W
21275,Sphyrapicus074,Canada,55.4675,N,-123.24138,W
21276,Sphyrapicus075,Canada,55.74111,N,-121.83527,W
21277,Sphyrapicus076,Canada,55.88666,N,-121.65861,W
21278,Sphyrapicus077,Canada,55.81861,N,-121.68861,W
21282,Sphyrapicus081,Canada,55.705,N,-121.73666,W
21286,Sphyrapicus085,Canada,55.75027,N,-122.47861,W
21287,Sphyrapicus086,Canada,55.65361,N,-122.54527,W
21288,Sphyrapicus087,Canada,55.82666,N,-122.27666,W
21289,Sphyrapicus088,Canada,55.875,N,-122.45138,W
21291,Sphyrapicus090,Canada,55.70722,N,-122.51416,W
21292,Sphyrapicus091,Canada,55.61972,N,-122.51666,W
21293,Sphyrapicus092,Canada,55.69,N,-122.49722,W
21294,Sphyrapicus093,Canada,55.71166,N,-122.5075,W
21295,Sphyrapicus093,Canada,55.71166,N,-122.5075,W
21296,Sphyrapicus094,Canada,55.49527,N,-123.17944,W
21305,Sphyrapicus100,Canada,55.70083,N,-123.37333,W
21313,Sphyrapicus106,Canada,54.685,N,-124.6125,W
21322,Sphyrapicus114,Canada,54.68888,N,-124.24722,W
21337,Sphyrapicus125,Canada,54.10973,N,-122.38529,W
21338,Sphyrapicus126,Canada,45.68339,N,-65.533342,W
21339,Sphyrapicus127,Canada,45.24187,N,-66.097986,W
21340,Sphyrapicus128,Canada,45.68776,N,-66.111695,W
21341,Sphyrapicus129,Canada,45.418,N,-75.702567,W
21342,Sphyrapicus130,Canada,45.34431,N,-75.924361,W
21343,Sphyrapicus131,Canada,59.97791,N,-111.82909,W
21344,Sphyrapicus132,Canada,42.04128,N,-74.80753,W
21345,Sphyrapicus133,Canada,50.75536,N,-104.70875,W
21346,Sphyrapicus134,Canada,64.857,N,-147.8043,W
21347,Sphyrapicus135,Canada,40.11457,N,-106.04763,W
21348,Sphyrapicus136,Canada,39.93373,N,-105.30238,W
21349,Sphyrapicus137,Canada,43.6821,N,-103.5363,W
