"INDIVIDUAL_ID","LOCALITY","COUNTRY","LATITUDE","N_S","LONGITUDE","E_W"
"xAbanta-Gölu1","Abanta-Gölu","Turkey",40.612,"N",31.288,"E"
"xAbanta-Gölu2","Abanta-Gölu","Turkey",40.612,"N",31.288,"E"
"xAbanta-Gölu3","Abanta-Gölu","Turkey",40.612,"N",31.288,"E"
"xAbanta-Gölu4","Abanta-Gölu","Turkey",40.612,"N",31.288,"E"
"xAbanta-Gölu5","Abanta-Gölu","Turkey",40.612,"N",31.288,"E"
"xAbanta-Gölu6","Abanta-Gölu","Turkey",40.612,"N",31.288,"E"
"xAdapazari1","Adapazari","Turkey",40.799,"N",30.44,"E"
"xAdapazari2","Adapazari","Turkey",40.799,"N",30.44,"E"
"xAdapazari3","Adapazari","Turkey",40.799,"N",30.44,"E"
"xAggtelek1","Aggtelek","Hungary",48.47,"N",20.54,"E"
"xAggtelek2","Aggtelek","Hungary",48.47,"N",20.54,"E"
"xAggtelek3","Aggtelek","Hungary",48.47,"N",20.54,"E"
"xAkçat-Merkez1","Akçat-Merkez","Turkey",40.62,"N",29.618,"E"
"xAkçat-Merkez2","Akçat-Merkez","Turkey",40.62,"N",29.618,"E"
"xAkçat-Merkez3","Akçat-Merkez","Turkey",40.62,"N",29.618,"E"
"xAkçat-Merkez4","Akçat-Merkez","Turkey",40.62,"N",29.618,"E"
"xAkçat-Merkez5","Akçat-Merkez","Turkey",40.62,"N",29.618,"E"
"xAkçat-Merkez6","Akçat-Merkez","Turkey",40.62,"N",29.618,"E"
"xAkçat-Merkez7","Akçat-Merkez","Turkey",40.62,"N",29.618,"E"
"xAkçat-Merkez8","Akçat-Merkez","Turkey",40.62,"N",29.618,"E"
"xAkçat-Merkez9","Akçat-Merkez","Turkey",40.62,"N",29.618,"E"
"xAkçat-Merkez10","Akçat-Merkez","Turkey",40.62,"N",29.618,"E"
"xAkçat-Merkez11","Akçat-Merkez","Turkey",40.62,"N",29.618,"E"
"xAkçat-Merkez12","Akçat-Merkez","Turkey",40.62,"N",29.618,"E"
"xAlap1","Alap","Hungary",46.8,"N",18.683,"E"
"xAlap2","Alap","Hungary",46.8,"N",18.683,"E"
"xAlap3","Alap","Hungary",46.8,"N",18.683,"E"
"xAleksandrovo1","Aleksandrovo","Bulgaria",42.60189819,"N",25.09939957,"E"
"xAleksandrovo2","Aleksandrovo","Bulgaria",42.60189819,"N",25.09939957,"E"
"xAleksandrovo3","Aleksandrovo","Bulgaria",42.60189819,"N",25.09939957,"E"
"xAlibahadir2_1","Alibahadir2","Turkey",41.187,"N",29.205,"E"
"xAlibahadir2_2","Alibahadir2","Turkey",41.187,"N",29.205,"E"
"xAlibahadir2_3","Alibahadir2","Turkey",41.187,"N",29.205,"E"
"xAlibahadir2_4","Alibahadir2","Turkey",41.187,"N",29.205,"E"
"xAlibahadir2_5","Alibahadir2","Turkey",41.187,"N",29.205,"E"
"xAlibahadir2_6","Alibahadir2","Turkey",41.187,"N",29.205,"E"
"xAlibahadir2_7","Alibahadir2","Turkey",41.187,"N",29.205,"E"
"xAlistrati1","Alistrati","Greece",41.077,"N",23.973,"E"
"xAmarasti-de-Jos1","Amarasti-de-Jos","Romania",43.965,"N",24.157,"E"
"xAmarasti-de-Jos2","Amarasti-de-Jos","Romania",43.965,"N",24.157,"E"
"xAmarasti-de-Jos3","Amarasti-de-Jos","Romania",43.965,"N",24.157,"E"
"xArchangelos1","Archangelos","Greece",41.0870018,"N",22.29999924,"E"
"xArchangelos2","Archangelos","Greece",41.0870018,"N",22.29999924,"E"
"xArchangelos3","Archangelos","Greece",41.0870018,"N",22.29999924,"E"
"xArifiye1","Arifiye","Turkey",40.693,"N",30.37,"E"
"xArifiye2","Arifiye","Turkey",40.693,"N",30.37,"E"
"xArifiye3","Arifiye","Turkey",40.693,"N",30.37,"E"
"xArifiye4","Arifiye","Turkey",40.693,"N",30.37,"E"
"xArifiye5","Arifiye","Turkey",40.693,"N",30.37,"E"
"xArifiye6","Arifiye","Turkey",40.693,"N",30.37,"E"
"xArifiye7","Arifiye","Turkey",40.693,"N",30.37,"E"
"xArifiye8","Arifiye","Turkey",40.693,"N",30.37,"E"
"xArifiye9","Arifiye","Turkey",40.693,"N",30.37,"E"
"xArifiye10","Arifiye","Turkey",40.693,"N",30.37,"E"
"xArifiye11","Arifiye","Turkey",40.693,"N",30.37,"E"
"xArifiye12","Arifiye","Turkey",40.693,"N",30.37,"E"
"xAvdancik1","Avdancik","Turkey",40.291,"N",29.16,"E"
"xAvdancik2","Avdancik","Turkey",40.291,"N",29.16,"E"
"xAvdancik3","Avdancik","Turkey",40.291,"N",29.16,"E"
