SP1,SP2,DISTANCE
bombina,bombina,0
bombina,variegata,15.44
bombina,marmoratus,629.707
bombina,pygmaeus,629.707
bombina,ivanbureschi,629.707
bombina,anatolicus,629.707
bombina,macedonicus,629.707
bombina,cristatus,629.707
bombina,montandoni,629.707001
bombina,vulgaris,629.707001
bombina,glareolus,692.2997
bombina,rutilus,692.2997
bombina,bocagei,692.2998
bombina,guadarramae,692.2998
bombina,virescens,692.2998
bombina,hispanicus,692.2998
bombina,vaucheri,692.2998
bombina,carbonelli,692.2998
bombina,liolepis,692.2998
bombina,astreptophora,692.2994
bombina,helvetica,692.2994
bombina,natrix,692.2994
bombina,colchica,692.2995
bombina,fragilis,692.2995
bombina,orbicularis,692.2995
bombina,trinacris,692.2995
bombina,varius,692.2998
bombina,ruber,692.2998
bombina,nuchalis,692.2998
bombina,salar,898.1456
bombina,trutta,898.1456
bombina,senegalensis,898.1456
bombina,aegyptiaca,898.1456
variegata,bombina,15.44
variegata,variegata,0
variegata,marmoratus,629.707
variegata,pygmaeus,629.707
variegata,ivanbureschi,629.707
variegata,anatolicus,629.707
variegata,macedonicus,629.707
variegata,cristatus,629.707
variegata,montandoni,629.707001
variegata,vulgaris,629.707001
variegata,glareolus,692.2997
variegata,rutilus,692.2997
variegata,bocagei,692.2998
variegata,guadarramae,692.2998
variegata,virescens,692.2998
variegata,hispanicus,692.2998
variegata,vaucheri,692.2998
variegata,carbonelli,692.2998
variegata,liolepis,692.2998
variegata,astreptophora,692.2994
variegata,helvetica,692.2994
variegata,natrix,692.2994
variegata,colchica,692.2995
variegata,fragilis,692.2995
variegata,orbicularis,692.2995
variegata,trinacris,692.2995
variegata,varius,692.2998
variegata,ruber,692.2998
variegata,nuchalis,692.2998
variegata,salar,898.1456
variegata,trutta,898.1456
variegata,senegalensis,898.1456
variegata,aegyptiaca,898.1456
marmoratus,bombina,629.707
marmoratus,variegata,629.707
marmoratus,marmoratus,0
marmoratus,pygmaeus,8.2
marmoratus,ivanbureschi,36.4
marmoratus,anatolicus,36.4
marmoratus,macedonicus,36.4
marmoratus,cristatus,36.4
marmoratus,montandoni,85.590887
marmoratus,vulgaris,85.590887
marmoratus,glareolus,692.2995
marmoratus,rutilus,692.2995
marmoratus,bocagei,692.2996
marmoratus,guadarramae,692.2996
marmoratus,virescens,692.2996
marmoratus,hispanicus,692.2996
marmoratus,vaucheri,692.2996
marmoratus,carbonelli,692.2996
marmoratus,liolepis,692.2996
marmoratus,astreptophora,692.2992
marmoratus,helvetica,692.2992
marmoratus,natrix,692.2992
marmoratus,colchica,692.2993
marmoratus,fragilis,692.2993
marmoratus,orbicularis,692.2993
marmoratus,trinacris,692.2993
marmoratus,varius,692.2996
marmoratus,ruber,692.2996
marmoratus,nuchalis,692.2996
marmoratus,salar,898.1454
marmoratus,trutta,898.1454
marmoratus,senegalensis,898.1454
marmoratus,aegyptiaca,898.1454
pygmaeus,bombina,629.707
pygmaeus,variegata,629.707
pygmaeus,marmoratus,8.2
pygmaeus,pygmaeus,0
pygmaeus,ivanbureschi,36.4
pygmaeus,anatolicus,36.4
pygmaeus,macedonicus,36.4
pygmaeus,cristatus,36.4
pygmaeus,montandoni,85.590887
pygmaeus,vulgaris,85.590887
pygmaeus,glareolus,692.2995
pygmaeus,rutilus,692.2995
pygmaeus,bocagei,692.2996
pygmaeus,guadarramae,692.2996
pygmaeus,virescens,692.2996
pygmaeus,hispanicus,692.2996
pygmaeus,vaucheri,692.2996
pygmaeus,carbonelli,692.2996
pygmaeus,liolepis,692.2996
pygmaeus,astreptophora,692.2992
pygmaeus,helvetica,692.2992
pygmaeus,natrix,692.2992
pygmaeus,colchica,692.2993
pygmaeus,fragilis,692.2993
pygmaeus,orbicularis,692.2993
pygmaeus,trinacris,692.2993
pygmaeus,varius,692.2996
pygmaeus,ruber,692.2996
pygmaeus,nuchalis,692.2996
pygmaeus,salar,898.1454
pygmaeus,trutta,898.1454
pygmaeus,senegalensis,898.1454
pygmaeus,aegyptiaca,898.1454
ivanbureschi,bombina,629.707
ivanbureschi,variegata,629.707
ivanbureschi,marmoratus,36.4
ivanbureschi,pygmaeus,36.4
ivanbureschi,ivanbureschi,0
ivanbureschi,anatolicus,8.62
ivanbureschi,macedonicus,14.56
ivanbureschi,cristatus,14.56
ivanbureschi,montandoni,85.590887
ivanbureschi,vulgaris,85.590887
ivanbureschi,glareolus,692.2995
ivanbureschi,rutilus,692.2995
ivanbureschi,bocagei,692.2996
ivanbureschi,guadarramae,692.2996
ivanbureschi,virescens,692.2996
ivanbureschi,hispanicus,692.2996
ivanbureschi,vaucheri,692.2996
ivanbureschi,carbonelli,692.2996
ivanbureschi,liolepis,692.2996
ivanbureschi,astreptophora,692.2992
ivanbureschi,helvetica,692.2992
ivanbureschi,natrix,692.2992
ivanbureschi,colchica,692.2993
ivanbureschi,fragilis,692.2993
ivanbureschi,orbicularis,692.2993
ivanbureschi,trinacris,692.2993
ivanbureschi,varius,692.2996
ivanbureschi,ruber,692.2996
ivanbureschi,nuchalis,692.2996
ivanbureschi,salar,898.1454
ivanbureschi,trutta,898.1454
ivanbureschi,senegalensis,898.1454
ivanbureschi,aegyptiaca,898.1454
anatolicus,bombina,629.707
anatolicus,variegata,629.707
anatolicus,marmoratus,36.4
anatolicus,pygmaeus,36.4
anatolicus,ivanbureschi,8.62
anatolicus,anatolicus,0
anatolicus,macedonicus,14.56
anatolicus,cristatus,14.56
anatolicus,montandoni,85.590887
anatolicus,vulgaris,85.590887
anatolicus,glareolus,692.2995
anatolicus,rutilus,692.2995
anatolicus,bocagei,692.2996
anatolicus,guadarramae,692.2996
anatolicus,virescens,692.2996
anatolicus,hispanicus,692.2996
anatolicus,vaucheri,692.2996
anatolicus,carbonelli,692.2996
anatolicus,liolepis,692.2996
anatolicus,astreptophora,692.2992
anatolicus,helvetica,692.2992
anatolicus,natrix,692.2992
anatolicus,colchica,692.2993
anatolicus,fragilis,692.2993
anatolicus,orbicularis,692.2993
anatolicus,trinacris,692.2993
anatolicus,varius,692.2996
anatolicus,ruber,692.2996
anatolicus,nuchalis,692.2996
anatolicus,salar,898.1454
anatolicus,trutta,898.1454
anatolicus,senegalensis,898.1454
anatolicus,aegyptiaca,898.1454
macedonicus,bombina,629.707
macedonicus,variegata,629.707
macedonicus,marmoratus,36.4
macedonicus,pygmaeus,36.4
macedonicus,ivanbureschi,14.56
macedonicus,anatolicus,14.56
macedonicus,macedonicus,0
macedonicus,cristatus,10.8
macedonicus,montandoni,85.590887
macedonicus,vulgaris,85.590887
macedonicus,glareolus,692.2995
macedonicus,rutilus,692.2995
macedonicus,bocagei,692.2996
macedonicus,guadarramae,692.2996
macedonicus,virescens,692.2996
macedonicus,hispanicus,692.2996
macedonicus,vaucheri,692.2996
macedonicus,carbonelli,692.2996
macedonicus,liolepis,692.2996
macedonicus,astreptophora,692.2992
macedonicus,helvetica,692.2992
macedonicus,natrix,692.2992
macedonicus,colchica,692.2993
macedonicus,fragilis,692.2993
macedonicus,orbicularis,692.2993
macedonicus,trinacris,692.2993
macedonicus,varius,692.2996
macedonicus,ruber,692.2996
macedonicus,nuchalis,692.2996
macedonicus,salar,898.1454
