"TAXON","SPECIES","CLASS","ALL_RICHNESS"
"Anguis","colchica","I",54.233
"Anguis","colchica","II",42.992
"Anguis","fragilis","I",52.588
"Anguis","fragilis","II",26.298
"Bombina","bombina","I",30.123
"Bombina","bombina","II",10.872
"Bombina","variegata","I",38.841
"Bombina","variegata","II",10.222
"Emys","occidentalis","I",11.497
"Emys","occidentalis","II",3.299
"Emys","orbicularis","I",9.671
"Emys","orbicularis","II",7.137
"Emys","trinacris","I",12.292
"Emys","trinacris","II",4.908
"Lissotriton","montandoni","I",43.182
"Lissotriton","montandoni","II",11.678
"Lissotriton","vulgaris","I",39.764
"Lissotriton","vulgaris","II",10.867
"Myodes","glareolus","I",101.817
"Myodes","glareolus","II",17.806
"Myodes","rutilus","I",83.287
"Myodes","rutilus","II",16.801
"Natrix","astreptophora","I",5.997
"Natrix","astreptophora","II",59.178
"Natrix","helvetica","I",7.835
"Natrix","helvetica","II",82.764
"Natrix","natrix","I",7.561
"Natrix","natrix","II",96.393
"Podarcis","bocagei","I",48.514
"Podarcis","bocagei","II",27.739
"Podarcis","carbonelli","I",61.264
"Podarcis","carbonelli","II",27.573
"Podarcis","guadarramae","I",56.709
"Podarcis","guadarramae","II",36.759
"Podarcis","hispanicus","I",55.573
"Podarcis","hispanicus","II",35.934
"Podarcis","liolepis","I",59.253
"Podarcis","liolepis","II",49.527
"Podarcis","vaucheri","I",51.524
"Podarcis","vaucheri","II",34.316
"Podarcis","virescens","I",61.342
"Podarcis","virescens","II",36.874
"Salmo","salar","I",11.694
"Salmo","salar","II",7.219
"Salmo","trutta","I",10.622
"Salmo","trutta","II",5.388
"Solea","aegyptiaca","I",16.737
"Solea","aegyptiaca","II",10.344
"Solea","senegalensis","I",15.39
"Solea","senegalensis","II",9.091
"Sphyrapicus","nuchalis","I",32.626
"Sphyrapicus","nuchalis","II",11.849
"Sphyrapicus","ruber","I",34.445
"Sphyrapicus","ruber","II",11.866
"Sphyrapicus","varius","I",34.955
"Sphyrapicus","varius","II",15.436
"Triturus","anatolicus","I",49.162
"Triturus","anatolicus","II",5.802
"Triturus","cristatus","I",56.117
"Triturus","cristatus","II",6.131
"Triturus","ivanbureschi","I",43.167
"Triturus","ivanbureschi","II",3.535
"Triturus","macedonicus","I",45.469
"Triturus","macedonicus","II",3.528
