"TAXON","HYBRID_ZONE","MARKER","J","d","v","PARAMETERS"
"Bombina","bombina_variegataK","MHC I",0.985781990521327,-0.055535307669785,0.0733613712460422,"width"
"Bombina","bombina_variegataK","MHC II",0.985221674876847,0.436528281910361,0.0775119927039802,"width"
"Bombina","bombina_variegataK","MHC I",0.985781990521327,0.514048615826174,0.0757355695099952,"center"
"Bombina","bombina_variegataK","MHC II",0.985221674876847,-0.352040645929499,0.0768834613405731,"center"
"Bombina","bombina_variegataJ","MHC I",0.96969696969697,0.304716031052136,0.150071127232763,"width"
"Bombina","bombina_variegataJ","MHC II",0.96969696969697,0.194984459342383,0.149055702784705,"width"
"Bombina","bombina_variegataJ","MHC I",0.96969696969697,0.281793899818408,0.149822163203035,"center"
"Bombina","bombina_variegataJ","MHC II",0.96969696969697,-0.0920438758906817,0.148508538631074,"center"
"Lissotriton","montandoni_vulgarisT","MHC I",0.986784140969163,0.308960688289072,0.0686250470973116,"width"
"Lissotriton","montandoni_vulgarisT","MHC II",0.986784140969163,-0.170398719883053,0.0680621574094279,"width"
"Lissotriton","montandoni_vulgarisT","MHC I",0.986784140969163,-0.077461302452322,0.067866941558918,"center"
"Lissotriton","montandoni_vulgarisT","MHC II",0.986784140969163,0.244355106663408,0.0683221039722644,"center"
"Lissotriton","montandoni_vulgarisS","MHC I",0.985507246376812,0.19046028428347,0.0745117049155403,"width"
"Lissotriton","montandoni_vulgarisS","MHC II",0.985507246376812,-1.85218442925257,0.105940520101432,"width"
"Lissotriton","montandoni_vulgarisS","MHC I",0.985507246376812,-0.0046984173945579,0.0741760285751391,"center"
"Lissotriton","montandoni_vulgarisS","MHC II",0.985507246376812,-1.30567829621688,0.0899609705944521,"center"
"Lissotriton","montandoni_vulgarisR2","MHC I",0.983606557377049,0.640379275224566,0.0876050585014286,"width"
"Lissotriton","montandoni_vulgarisR2","MHC II",0.983606557377049,-0.646441778780313,0.0876863226390902,"width"
"Lissotriton","montandoni_vulgarisR2","MHC I",0.983606557377049,0.0714250209582252,0.08338647430853,"center"
"Lissotriton","montandoni_vulgarisR2","MHC II",0.983606557377049,0.168943562376622,0.0836306450757136,"center"
"Lissotriton","montandoni_vulgarisR","MHC I",0.987012987012987,-0.0271204392728991,0.0666727959852196,"width"
"Lissotriton","montandoni_vulgarisR","MHC II",0.986784140969163,0.387241147734732,0.0690869030260477,"width"
"Lissotriton","montandoni_vulgarisR","MHC I",0.987012987012987,-0.0314903180191318,0.0666749303344079,"center"
"Lissotriton","montandoni_vulgarisR","MHC II",0.986784140969163,0.0979577158001207,0.0678974115649109,"center"
"Lissotriton","montandoni_vulgarisL","MHC I",0.991452991452991,-0.56921817965399,0.0464429090097938,"width"
"Lissotriton","montandoni_vulgarisL","MHC II",0.99135446685879,0.345457863222829,0.0458940330518537,"width"
"Lissotriton","montandoni_vulgarisL","MHC I",0.991452991452991,0.31783436673176,0.0452040720577226,"center"
"Lissotriton","montandoni_vulgarisL","MHC II",0.99135446685879,0.69299400554321,0.047921558649923,"center"
"Triturus","ivanbureschi_macedonicus","MHC I",0.996960486322188,0.68416595935651,0.0191230717264925,"width"
"Triturus","ivanbureschi_macedonicus","MHC II",0.996935648621042,-0.390316016979884,0.0187964178652761,"width"
"Triturus","ivanbureschi_macedonicus","MHC I",0.996960486322188,-0.738910041367,0.0192795074479599,"center"
"Triturus","ivanbureschi_macedonicus","MHC II",0.996935648621042,0.0881100590692424,0.0185037393013047,"center"
"Triturus","cristatus_macedonicus","MHC I",0.995918367346939,1.21425464454353,0.0287866477038332,"width"
"Triturus","cristatus_macedonicus","MHC II",0.995827538247566,0.058494590908637,0.0260652339770078,"width"
"Triturus","cristatus_macedonicus","MHC I",0.995918367346939,0.870208730974737,0.0268588221491803,"center"
"Triturus","cristatus_macedonicus","MHC II",0.995827538247566,0.083579417865787,0.0260750249163628,"center"
"Triturus","cristatus_ivanbureschi","MHC I",0.99644128113879,0.342291480210036,0.0242291476495773,"width"
"Triturus","cristatus_ivanbureschi","MHC II",0.996407185628743,0.631066394943703,0.0255357826366889,"width"
"Triturus","cristatus_ivanbureschi","MHC I",0.99644128113879,-0.146062281648646,0.0240041963178778,"center"
"Triturus","cristatus_ivanbureschi","MHC II",0.996407185628743,-0.611351040968181,0.0254777383249961,"center"
"Triturus","anatolicus_ivanbureschi","MHC I",0.996026490066225,1.11767481716286,0.0275704036595231,"width"
"Triturus","anatolicus_ivanbureschi","MHC II",0.996026490066225,1.24458719118829,0.028355221145256,"width"
"Triturus","anatolicus_ivanbureschi","MHC I",0.996026490066225,0.430518245687967,0.0247854533007541,"center"
"Triturus","anatolicus_ivanbureschi","MHC II",0.996026490066225,0.584530591819912,0.0251946942769402,"center"
"Anguis","colchica_fragilisA","MHC I",0.997668997668998,0.403650420664131,0.012614078199215,"width"
"Anguis","colchica_fragilisA","MHC II",0.997746055597295,0.409279602847777,0.0121904195213532,"width"
"Anguis","colchica_fragilisA","MHC I",0.997668997668998,-0.0560410839814637,0.01236748397235,"center"
"Anguis","colchica_fragilisA","MHC II",0.997746055597295,0.100340967948217,0.0119554322326093,"center"
"Emys","occidentalis_orbicularisA","MHC I",0.989247311827957,-0.385481170772126,0.0576802232312059,"width"
"Emys","occidentalis_orbicularisA","MHC II",0.988929889298893,0.75046962071143,0.062895892891777,"width"
"Emys","occidentalis_orbicularisA","MHC I",0.989247311827957,-0.194659307104065,0.0569114490146947,"center"
"Emys","occidentalis_orbicularisA","MHC II",0.988929889298893,0.72200384771771,0.0625964993525514,"center"
"Sphyrapicus","nuchalis_ruberNR","MHC I",0.989690721649485,0.138622795638534,0.0534709250305155,"width"
"Sphyrapicus","nuchalis_ruberNR","MHC II",0.989830508474576,0.131191397297217,0.0527448104126631,"width"
"Sphyrapicus","nuchalis_ruberNR","MHC I",0.989690721649485,-0.0360724964029962,0.0533514913340229,"center"
"Sphyrapicus","nuchalis_ruberNR","MHC II",0.989830508474576,0.0186362989764737,0.0526338638923654,"center"
"Natrix","helvetica_natrixHN4","MHC I",0.990353697749196,0.63709899854534,0.0620606541109812,"width"
"Natrix","helvetica_natrixHN4","MHC II",0.990353697749196,0.1784534261869,0.059722844682046,"width"
"Natrix","helvetica_natrixHN4","MHC I",0.990353697749196,0.0334018809477953,0.0595307825591273,"center"
"Natrix","helvetica_natrixHN4","MHC II",0.990353697749196,0.500456343237872,0.0610891629706034,"center"
"Natrix","helvetica_natrixHN2","MHC I",0.99626400996264,0.436183083608106,0.0294851909586095,"width"
"Natrix","helvetica_natrixHN2","MHC II",0.996245306633292,0.509982405852214,0.0301888895906752,"width"
"Natrix","helvetica_natrixHN2","MHC I",0.99626400996264,0.522149782438975,0.0296881089706174,"center"
"Natrix","helvetica_natrixHN2","MHC II",0.996245306633292,-0.252183329267758,0.0297025390393924,"center"
"Solea","aegyptiaca_senegalensisA","MHC I",0.962025316455696,0.717770149536966,0.193527136081053,"width"
"Solea","aegyptiaca_senegalensisA","MHC II",0.962025316455696,0.827703272448923,0.197388470618697,"width"
"Solea","aegyptiaca_senegalensisA","MHC I",0.962025316455696,0.713522742548197,0.193388970548489,"center"
"Solea","aegyptiaca_senegalensisA","MHC II",0.962025316455696,0.746011517914731,0.194466663292305,"center"
