"HYBRID_ZONE","LOCALITY","DISTANCE","H_INDEX_I","nSamples_H_I","H_INDEX_II","nSamples_H_II","Q_INDEX_I","nSamples_Q_I","Q_INDEX_II","nSamples_Q_II","genomic","nSamples_genomic"
"anatolicus_ivanbureschi","Abanta-Gölu",-190.091657103266,3.86666666666667,3,0,3,0.366666666666667,3,10.7,3,0.1,9
"anatolicus_ivanbureschi","Adapazari",-115.497508093577,7.63333333333333,3,1.16666666666667,3,0.366666666666667,3,10.4333333333333,3,0.116666666666667,6
"anatolicus_ivanbureschi","Aghios-Kosmas",337.160753898497,100,2,100,2,99.85,2,94.1,2,100,2
"cristatus_ivanbureschi","Aghios-Kosmas",237.239528026164,100,2,100,2,99.9,2,95.95,2,100,2
"ivanbureschi_macedonicus","Aghios-Kosmas",-158.31497119169,0,2,0,2,0.15,2,1.15,2,0,2
"anatolicus_ivanbureschi","Aleksandrovo",363.164059507565,100,2,100,2,99.8,2,97.7,2,99.8995376834318,5
"cristatus_ivanbureschi","Aleksandrovo",114.067922936014,100,2,100,2,99.9,2,95.55,2,99.7091804735145,5
"ivanbureschi_macedonicus","Aleksandrovo",-206.561054681016,0,2,0,2,0.15,2,1,2,0.100462316568212,5
"anatolicus_ivanbureschi","Alepu",167.521905130568,100,3,94.0666666666667,3,99.5333333333333,3,79.0666666666667,3,99.6322300234035,3
"cristatus_ivanbureschi","Alepu",311.402860814151,100,3,100,3,99.9,3,77.3333333333333,3,99.8994300134442,3
"ivanbureschi_macedonicus","Alepu",-418.016750270369,0,3,0,3,0.133333333333333,3,1.3,3,0.100569986555807,3
"anatolicus_ivanbureschi","Alibahadir2",-9.16586609314325,25.9,2,0,2,1.2,2,7.9,2,3.15472305472305,9
"anatolicus_ivanbureschi","Alistrati",394.594214350472,100,2,100,2,99.7,2,95.15,2,100,3
"cristatus_ivanbureschi","Alistrati",216.559469776509,100,2,100,2,99.85,2,95.5,2,99.8998965595555,3
"ivanbureschi_macedonicus","Alistrati",-100.152374376216,0,2,0,2,0.15,2,0.95,2,0.100103440444482,3
"cristatus_macedonicus","Ano-Kalliniki",274.143281029058,100,2,100,2,99.8,2,98.6,2,99.8997995991984,3
"ivanbureschi_macedonicus","Ano-Kalliniki",48.7704119712689,100,2,100,2,99.75,2,98.45,2,99.8997995991984,3
"anatolicus_ivanbureschi","Aranđelovac",766.812630811916,100,3,100,3,99.8,3,95.1,3,99.8955858834181,3
"cristatus_ivanbureschi","Aranđelovac",52.2569308658275,100,3,100,3,99.8666666666667,3,95.9333333333333,3,99.8955858834181,3
"ivanbureschi_macedonicus","Aranđelovac",-43.3119649902151,0,3,0,3,0.133333333333333,3,1.16666666666667,3,3.79697912937572,3
"anatolicus_ivanbureschi","Avdancik",-29.6482583726907,26.3666666666667,3,60.7,3,2.53333333333333,3,55.7,3,1.67249114521842,11
"anatolicus_ivanbureschi","Baçeköy-Merkez",8.74268955258863,58.5333333333333,3,93.9333333333333,3,53.1333333333333,3,76.8333333333333,3,98.1222222222222,9
"cristatus_ivanbureschi","Baçeköy-Merkez",467.208243458866,100,3,100,3,99.8333333333333,3,86.4,3,100,9
"ivanbureschi_macedonicus","Baçeköy-Merkez",-519.826267081703,0,3,0,3,0.333333333333333,3,1.03333333333333,3,0,9
"cristatus_macedonicus","Bejar",387.372979099151,100,2,100,2,99.8,2,98.7,2,99.8998062912708,3
"ivanbureschi_macedonicus","Bejar",188.974967728031,100,2,100,2,99.85,2,98.5,2,99.9064796259185,3
"anatolicus_ivanbureschi","Bigla",523.169864941336,100,3,100,3,99.6666666666667,3,94.3666666666667,3,100,3
"cristatus_ivanbureschi","Bigla",125.483646676777,100,3,100,3,99.9,3,96.0666666666667,3,99.89987985382,3
"ivanbureschi_macedonicus","Bigla",-25.6360593601401,0,3,0,3,0.233333333333333,3,1.03333333333333,3,0.100120146180024,3
"cristatus_macedonicus","Bjeloši2",273.985437393566,97.8666666666667,3,73.5,3,99.9,3,97.5666666666667,3,99.8998363885111,3
"ivanbureschi_macedonicus","Bjeloši2",196.097130092768,100,3,100,3,99.8,3,97.7666666666667,3,99.936539746159,3
"cristatus_macedonicus","Blato",94.4103849580475,58.2,3,73.5,3,99.9,3,98.8333333333333,3,99.8997426081042,3
"ivanbureschi_macedonicus","Blato",33.2958842241277,59.1666666666667,3,100,3,99.8333333333333,3,98.7,3,99.8430193720775,3
"anatolicus_ivanbureschi","Bolata",243.140897170744,100,3,100,3,99.7333333333333,3,94.7666666666667,3,99.7659645603477,3
"cristatus_ivanbureschi","Bolata",339.755396624454,100,3,100,3,99.8666666666667,3,95.5,3,99.8995646230453,3
"ivanbureschi_macedonicus","Bolata",-460.376341009438,0,3,0,3,0.2,3,1.23333333333333,3,0.100435376954736,3
"cristatus_ivanbureschi","Bor",-11.0506307045884,20.2,3,19.5333333333333,3,12.5666666666667,3,7.2,3,0.905274273052959,3
"cristatus_macedonicus","Bor",-23.9889714421545,4.06666666666667,3,0,3,0.233333333333333,3,1.03333333333333,3,0.134520109607456,3
"cristatus_ivanbureschi","Borovan",-19.8052233415625,20,3,33.3333333333333,3,4.33333333333333,3,13.9333333333333,3,1.67000668002672,3
"cristatus_macedonicus","Borovan",-78.4282384481216,13.4,3,0,3,0.2,3,1.46666666666667,3,0.101835682589367,3
"cristatus_ivanbureschi","Borovitsa",-30.5067624381359,18.2333333333333,3,66.6666666666667,3,0.266666666666667,3,7.53333333333333,3,1.12868868993154,3
"cristatus_macedonicus","Borovitsa",-17.9970859975452,16.5666666666667,3,0,3,0.166666666666667,3,1.1,3,0.250063522766459,3
"anatolicus_ivanbureschi","Bozdag",197.042041785181,77.7,3,32.1,3,98.5,3,55.3,3,99.6590386818269,5
"cristatus_ivanbureschi","Bozdag",642.427302612135,100,3,100,3,99.9,3,37.9333333333333,3,99.8994704552748,5
"ivanbureschi_macedonicus","Bozdag",-515.118547185053,0,3,0,3,0.133333333333333,3,1.4,3,0.100529544725153,5
"cristatus_ivanbureschi","Budeni",-317.282576231593,0,3,0,3,0.366666666666667,3,19.5666666666667,3,0.100267402072617,3
"cristatus_macedonicus","Budeni",-419.255235679654,0,3,0,3,0.366666666666667,3,1.83333333333333,3,0.133634035037644,3
"anatolicus_ivanbureschi","Büyük-Kalecik",199.661499619461,69.4666666666667,3,82.2,3,99.0666666666667,3,69.6,3,99.7997474696863,5
"cristatus_ivanbureschi","Büyük-Kalecik",741.419278107526,100,3,100,3,99.7666666666667,3,61.7,3,99.939813421607,5
"ivanbureschi_macedonicus","Büyük-Kalecik",-685.835979579093,0,3,0,3,0.4,3,1.53333333333333,3,0.0601865783930184,5
"cristatus_macedonicus","Ceklin-Pijavica",269.76274838615,100,1,73.5,1,99.9,1,98.1,1,100,1
"ivanbureschi_macedonicus","Ceklin-Pijavica",192.672194397541,100,1,100,1,99.7,1,97.6,1,100,1
"cristatus_ivanbureschi","Ciceu",-336.421626991622,0,3,0,3,0.2,3,14.0333333333333,3,0.100200400801603,3
"cristatus_macedonicus","Ciceu",-402.921157428125,0,3,0,3,0.166666666666667,3,1.1,3,0.100200400801603,3
"anatolicus_ivanbureschi","Dafnochori",490.560869987072,100,2,100,2,99.7,2,94.75,2,100,3
"cristatus_ivanbureschi","Dafnochori",227.165744135294,100,2,100,2,99.85,2,95.45,2,99.8950009218613,3
"ivanbureschi_macedonicus","Dafnochori",-9.89303135349811,14.05,2,0,2,2.8,2,1.05,2,4.58246823677054,3
"cristatus_macedonicus","Debreste",218.6615989634,86.75,2,100,2,99.85,2,98.8,2,99.8998263594464,3
"ivanbureschi_macedonicus","Debreste",44.7685472346964,100,2,100,2,99.9,2,98.55,2,99.9265197060788,3
"cristatus_macedonicus","Delimedje",137.73658636369,55.8,3,73.5,3,99.9,3,98.8333333333333,3,99.8981595808997,3
"ivanbureschi_macedonicus","Delimedje",66.8695664752742,46.1666666666667,3,100,3,99.6666666666667,3,98.7333333333333,3,98.3366733466934,3
"anatolicus_ivanbureschi","Dendrariuma",506.166132530924,100,3,100,3,99.7333333333333,3,96.3,3,100,3
"cristatus_ivanbureschi","Dendrariuma",37.4458192496891,100,3,100,3,99.9,3,95.7666666666667,3,99.8998296924212,3
"ivanbureschi_macedonicus","Dendrariuma",-59.2107161185051,0,3,0,3,0.2,3,1,3,0.100170307578818,3
"cristatus_macedonicus","Divcibare",129.846357015583,60,3,73.5,3,99.8666666666667,3,98.9333333333333,3,99.8277528681007,3
"ivanbureschi_macedonicus","Divcibare",12.8800567635423,44.8,3,100,3,99.6333333333333,3,98.7333333333333,3,82.4990733552145,3
"cristatus_macedonicus","Doganovic",167.894932591154,62.6333333333333,3,73.5,3,99.9,3,98.9,3,99.7529475142111,3
"ivanbureschi_macedonicus","Doganovic",61.5630406533794,54.5666666666667,3,100,3,99.8,3,98.6,3,98.0813581138998,3
"cristatus_macedonicus","Dojran",204.937653926583,91.6666666666667,3,100,2,99.7666666666667,3,98.8,2,99.8781139003604,3
"ivanbureschi_macedonicus","Dojran",5.79721699473637,77.9333333333333,3,100,2,98.6666666666667,3,98.5,2,82.5116900467602,3
"cristatus_macedonicus","Drugovo",251.484227359061,91.7333333333333,3,92.1,3,99.8333333333333,3,98.2,3,100,3
"ivanbureschi_macedonicus","Drugovo",83.3531457908672,100,3,100,3,99.8333333333333,3,98.2,3,100,3
"anatolicus_ivanbureschi","Dursunköy",31.0912096199374,57.6,3,29.6,3,48.1666666666667,3,27.2333333333333,3,99.83,10
"cristatus_ivanbureschi","Dursunköy",440.769353291529,100,3,100,3,99.7,3,55.1666666666667,3,100,10
"ivanbureschi_macedonicus","Dursunköy",-490.304994234681,0,3,0,3,0.233333333333333,3,1.56666666666667,3,0,10
"cristatus_macedonicus","Fushë-Krujë",305.701195993575,95.3666666666667,3,73.5,3,99.7666666666667,3,97.7,3,99.8997995991984,3
"ivanbureschi_macedonicus","Fushë-Krujë",178.663733978211,100,3,100,3,99.8333333333333,3,97.6333333333333,3,99.8997995991984,3
"anatolicus_ivanbureschi","Garnikovo1",556.611617191723,100,2,100,2,99.7,2,95.15,2,100,3
"cristatus_ivanbureschi","Garnikovo1",213.284984059456,100,2,100,2,99.8,2,95.65,2,99.8895139071369,3
"ivanbureschi_macedonicus","Garnikovo1",-16.9388082997544,0,2,0,2,0.25,2,1,2,9.35694795336995,3
"anatolicus_ivanbureschi","Golesh",543.811655303381,100,1,100,1,99.8,1,97.8,1,100,3
"cristatus_ivanbureschi","Golesh",21.2942512679878,100,1,100,1,99.9,1,95,1,99.9165799095722,3
"ivanbureschi_macedonicus","Golesh",-30.4110937226462,16.7,1,0,1,0.4,1,0.7,1,0.100086748748618,3
"cristatus_macedonicus","Gornji-Varbes",53.3586908766958,63.2333333333333,3,73.5,3,99.8666666666667,3,98.7,3,99.8873271116105,3
"ivanbureschi_macedonicus","Gornji-Varbes",38.8488770920335,42.1,3,100,3,99.5666666666667,3,98.8333333333333,3,89.0080160320641,3
"cristatus_macedonicus","Gostivar",214.825495634559,73.3,3,100,3,99.8333333333333,3,98.6333333333333,3,99.8994825379205,3
"ivanbureschi_macedonicus","Gostivar",85.6555628834042,59.3,3,100,3,99.6,3,98.0333333333333,3,99.5858383433534,3
"cristatus_macedonicus","Grdelica",65.2941322171622,54.8666666666667,3,73.5,3,99.9,3,98.8333333333333,3,99.8883719823198,3
"ivanbureschi_macedonicus","Grdelica",38.5442019935961,30.6666666666667,3,100,3,98.5,3,98.5333333333333,3,89.7962591850367,3
"anatolicus_ivanbureschi","Grivac",753.290594191755,97,3,96.4333333333333,3,99.7333333333333,3,94.0333333333333,3,100,3
"cristatus_ivanbureschi","Grivac",58.591507148478,94.9333333333333,3,100,3,99.8666666666667,3,81.7,3,99.8594142864168,3
"ivanbureschi_macedonicus","Grivac",-29.0372150559186,6.26666666666667,3,0,3,0.3,3,1.03333333333333,3,8.581368688564,3
"anatolicus_ivanbureschi","Gölköy",-374.534013756299,0,3,0,3,1.93333333333333,3,16.0666666666667,3,0.175,12
"anatolicus_ivanbureschi","Gürbulak",-883.847701033748,0.95,2,0,2,1.1,2,40.45,2,0.1,4
